鹈鹕
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
朱-霍勒迪,G,37,6-13,1-3,1-4,1,5,"
6","
11",1,0,3,0,"
14","
-5"
朗佐-鲍尔,G,35,5-9,5-8,1-1,0,6,"
6","
5",5,0,4,2,"
16","
-1"
蔡恩-威廉森,F,31,11-19,0-1,10-13,3,3,"
6","
1",2,0,3,1,"
32","
-5"
约什-哈特,F,27,1-4,1-4,4-4,1,7,"
8","
3",2,0,1,0,"
7","
-7"
德里克-费沃斯,C,20,4-8,0-0,0-0,3,6,"
9","
2",3,0,1,0,"
8","
-6"
JJ-雷迪克,G,31,8-19,4-11,4-4,0,2,"
2","
3",2,2,2,0,"
24","
-16"
尼科勒-梅利,F,24,2-7,2-5,0-0,0,3,"
3","
0",0,0,2,3,"
6","
-3"
伊托万-摩尔,G,20,1-2,0-1,0-0,0,4,"
4","
2",2,1,1,1,"
2","
+7"
贾克森-海斯,C-F,8,2-2,0-0,0-1,0,2,"
2","
3",3,0,0,0,"
4","
+7"
弗兰克-杰克逊,G,5,2-3,1-2,0-0,0,0,"
0","
1",0,0,0,0,"
5","
+4"
达里厄斯-米勒,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
尼基尔-亚历山大-沃克,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾利尔-奥卡福,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
肯里奇-威廉姆斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约什-格雷,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
布兰登-英格拉姆,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
泽尔-奇特汉,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
雷霆
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
克里斯-保罗,G,34,5-12,2-3,2-2,0,8,"
8","
12",2,2,1,0,"
14","
+18
"
吕冈茨-多尔特,G,23,2-6,1-3,2-2,1,2,"
3","
0",1,1,0,0,"
7","
+11
"
谢伊-吉尔杰斯-亚历山大,F,37,6-13,2-6,3-4,0,3,"
3","
7",2,1,0,0,"
17","
+5
"
达尼罗-加里纳利,F,33,12-18,3-5,2-2,0,2,"
2","
1",4,2,2,0,"
29","
+8
"
史蒂文-亚当斯,C,28,5-10,1-1,0-1,3,8,"
11","
2",4,1,1,3,"
11","
+9
"
丹尼斯-施罗德,G,29,7-16,1-4,7-7,0,3,"
3","
3",4,1,2,0,"
22","
-9"
特伦斯-弗格森,G,20,1-2,1-2,0-0,0,1,"
1","
2",1,1,0,0,"
3","
-10"
阿卜杜勒-纳迪尔,F,15,3-7,0-1,2-4,0,4,"
4","
1",2,2,1,0,"
8","
-3"
纳伦斯-诺埃尔,C-F,11,1-4,0-0,0-0,1,2,"
3","
0",1,0,0,0,"
2","
-3"
迈克-穆斯卡拉,F-C,9,4-4,2-2,0-0,0,2,"
2","
0",0,0,0,2,"
10","
-1"
达里厄斯-贝兹利,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
安德烈-罗伯森,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯文-赫维,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德翁特-伯顿,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
以赛亚-罗比,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
哈米杜-迪亚洛,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
