76人
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
约什-理查德森,G,39,3-12,1-6,0-0,2,5,"
7","
3",5,3,3,1,"
7","
+16"
劳尔-内托,G,28,1-4,0-1,4-4,0,2,"
2","
4",1,0,1,0,"
6","
+5"
托拜厄斯-哈里斯,F,46,10-20,0-4,2-3,2,10,"
12","
6",5,2,3,0,"
22","
+18"
格伦-罗宾逊三世,F,14,2-3,0-1,0-0,0,2,"
2","
0",1,1,0,0,"
4","
+1"
乔尔-恩比德,C,41,10-20,1-1,18-19,6,10,"
16","
2",4,2,5,2,"
39","
+24"
亚历克-伯克斯,G,30,6-11,2-4,5-5,0,4,"
4","
1",2,0,0,0,"
19","
+4"
艾尔-霍弗德,C-F,19,2-5,0-2,2-3,0,3,"
3","
2",2,1,0,2,"
6","
-26"
富尔坎-科尔克马兹,G-F,18,2-5,0-1,0-0,1,0,"
1","
0",1,0,0,1,"
4","
-13"
马蒂斯-赛布尔,F-G,16,0-2,0-1,0-0,0,0,"
0","
0",1,1,0,0,"
0","
-1"
谢克-米尔顿,G-F,14,2-4,0-1,1-1,0,1,"
1","
1",0,0,1,0,"
5","
+12"
迈克-斯科特,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
诺维尔-佩莱,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马里亚尔-沙约克,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
扎伊尔-史密斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
本-西蒙斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯尔-奥奎因,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
篮网
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
卡里斯-勒韦尔,G,39,9-29,3-8,4-5,3,3,"
6","
5",2,1,3,0,"
25","
-18
"
斯潘塞-丁威迪,G,37,7-19,1-6,7-10,0,5,"
5","
8",4,0,2,1,"
22","
-22
"
乔-哈里斯,F,34,4-8,1-5,3-3,1,2,"
3","
0",4,0,2,0,"
12","
-25
"
托里恩-普林斯,F,23,3-8,1-4,0-0,0,1,"
1","
2",3,1,2,0,"
7","
-24
"
贾勒特-阿伦,C,13,0-4,0-0,0-0,0,2,"
2","
0",2,0,2,0,"
0","
-15
"
德安德烈-乔丹,C,37,5-11,0-0,4-5,7,8,"
15","
4",5,0,1,0,"
14","
+6"
加莱特-坦普尔,G-F,33,2-8,1-5,2-2,0,4,"
4","
2",2,1,1,0,"
7","
+27"
威尔森-钱德勒,F,33,4-10,3-6,1-2,1,7,"
8","
0",4,0,0,0,"
12","
+17"
蒂莫泰-卢瓦乌-卡巴罗,G-F,16,2-5,0-0,1-1,3,2,"
5","
1",1,0,3,0,"
5","
+14"
尼古拉斯-克拉克斯顿,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯里-欧文,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
克里斯-奇奥萨,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
扎南-穆萨,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
罗季翁斯-库鲁茨,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯文-杜兰特,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰雷米亚-马丁,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
西奥-平森,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
