尼克斯
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
弗朗克-尼利基纳,G,32,5-11,2-4,2-2,1,1,"
2","
2",2,2,0,0,"
14","
-5"
RJ-巴雷特,G,27,8-19,0-5,1-3,0,4,"
4","
2",2,0,3,0,"
17","
-11"
朱利叶斯-兰德尔,F,30,2-9,0-1,3-6,0,7,"
7","
4",4,1,2,0,"
7","
-10"
雷吉-布洛克,F,18,2-4,2-2,3-4,1,3,"
4","
1",2,1,1,0,"
9","
-3"
泰-吉布森,C,16,3-4,0-0,2-4,0,3,"
3","
0",1,0,0,1,"
8","
-14"
博比-波蒂斯,F-C,28,6-11,3-5,4-4,1,5,"
6","
1",2,0,4,1,"
19","
+10"
丹伊恩-多特森,G,23,2-8,2-4,0-0,0,3,"
3","
3",1,1,0,0,"
6","
-3"
凯文-诺克斯,F,17,1-3,0-1,2-2,0,0,"
0","
2",5,0,2,1,"
4","
+3"
米切尔-罗宾逊,C-F,17,4-5,0-0,0-0,2,6,"
8","
0",5,0,1,4,"
8","
+4"
莫里斯-哈克利斯,F-G,17,1-1,1-1,0-0,0,3,"
3","
0",0,0,1,0,"
3","
-8"
丹尼斯-史密斯,G,16,1-6,1-2,0-0,0,0,"
0","
6",2,2,1,0,"
3","
-3"
伊格纳斯-布拉兹代基斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿朗佐-特里尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
肯尼-伍滕,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
埃尔弗里德-佩顿,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
韦恩-艾灵顿,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卡迪姆-阿伦,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
步行者
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
马尔科姆-布罗格登,G,34,4-14,0-5,3-4,2,6,"
8","
6",1,1,1,0,"
11","
+11
"
维克托-奥拉迪波,G,25,3-8,1-3,1-2,0,3,"
3","
1",3,0,4,0,"
8","
+16
"
多曼塔斯-萨博尼斯,F,37,8-16,0-0,8-10,4,9,"
13","
3",4,1,3,1,"
24","
+7
"
TJ-沃伦,F,37,10-21,2-5,5-5,3,5,"
8","
3",5,2,1,1,"
27","
+10
"
迈尔斯-特纳,C,31,3-7,1-4,1-2,1,7,"
8","
0",4,1,0,1,"
8","
+17
"
贾斯廷-霍勒迪,F-G,25,2-6,2-5,0-0,0,2,"
2","
1",3,0,0,2,"
6","
-3"
杰里米-兰姆,G-F,22,1-8,0-3,4-6,1,4,"
5","
3",1,2,1,0,"
6","
-10"
TJ-麦康奈尔,G,15,1-2,0-0,0-0,1,2,"
3","
3",0,0,1,0,"
2","
-3"
道格-麦克德莫特,F,14,4-6,2-3,4-4,0,0,"
0","
0",1,0,0,0,"
14","
-5"
亚卡尔-桑普森,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿龙-霍勒迪,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿利兹-约翰逊 ,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
戈加-比塔泽,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
TJ-利夫,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
布赖恩-鲍恩二世,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
埃德蒙-萨姆纳,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
纳兹-米特鲁-朗,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
