猛龙
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
弗雷德-范弗利特,G,36,6-13,2-7,0-0,0,7,"
7","
7",4,2,2,0,"
14","
+18"
凯尔-洛瑞,G,34,4-10,3-8,2-2,0,5,"
5","
10",3,1,6,0,"
13","
+4"
OG-阿奴诺比,F,39,5-9,0-2,2-2,1,4,"
5","
1",1,1,4,4,"
12","
+19"
帕斯卡尔-西亚卡姆,F,38,12-19,5-9,8-8,1,11,"
12","
3",1,0,2,3,"
37","
+16"
赛尔吉-伊巴卡,C,26,6-10,2-4,2-2,2,4,"
6","
0",5,0,3,1,"
16","
+13"
特伦斯-戴维斯,G,25,6-11,2-5,0-0,1,2,"
3","
1",0,1,3,0,"
14","
+12"
朗戴-霍利斯-杰弗森,F,24,2-5,0-1,6-8,1,3,"
4","
2",3,1,2,1,"
10","
+8"
克里斯-布歇,F-C,14,1-3,0-1,0-0,1,2,"
3","
0",3,1,0,4,"
2","
-5"
马特-托马斯,G,2,0-0,0-0,0-0,0,1,"
1","
0",0,0,0,0,"
0","
0"
奥谢-布里塞特,F-G,1,0-0,0-0,0-0,0,2,"
2","
0",0,0,0,0,"
0","
0"
斯坦利-约翰逊,F-G,1,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马尔科姆-米勒,F-G,1,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马克-加索尔,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
保罗-沃特森,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德万-埃尔南德斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
诺曼-鲍威尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
帕特里克-麦考,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
太阳
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
德文-布克,G,34,8-18,1-5,4-4,0,5,"
5","
8",0,0,0,0,"
21","
-24
"
里基-卢比奥,G,28,4-9,1-4,4-4,0,3,"
3","
9",2,4,4,0,"
13","
-5
"
凯利-乌布雷,F,32,5-15,0-4,1-2,1,3,"
4","
1",3,2,1,1,"
11","
-12
"
米卡尔-布里奇斯,F,24,3-7,0-2,2-2,0,1,"
1","
3",4,1,2,0,"
8","
+1
"
德安德烈-艾顿,C,36,8-14,0-0,1-3,5,5,"
10","
0",4,1,2,1,"
17","
-13
"
达里奥-沙里奇,F,20,2-6,1-4,3-4,3,2,"
5","
3",3,0,2,0,"
8","
-12"
卡梅伦-约翰逊,F,19,3-6,1-4,0-0,0,1,"
1","
2",1,2,1,0,"
7","
-11"
泰-杰罗姆,G-F,15,1-6,0-4,2-2,0,2,"
2","
2",1,0,3,0,"
4","
-1"
杰文-卡特,G,12,2-4,1-3,2-2,1,1,"
2","
0",1,1,0,0,"
7","
+7"
阿隆-贝恩斯,C-F,11,2-3,1-2,0-0,0,1,"
1","
1",4,0,1,1,"
5","
-4"
埃利-奥科博,G-F,7,0-2,0-1,0-0,0,0,"
0","
0",0,0,1,0,"
0","
-11"
谢赫-迪亚洛,F-C,1,0-1,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乔纳-博尔登,F,1,0-1,0-1,0-0,0,0,"
0","
0",0,1,0,0,"
0","
0"
杰伦-勒丘,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰里德-哈珀,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
塔里克-欧文斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
弗兰克-卡明斯基,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
