雷霆
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
克里斯-保罗,G,33,11-17,4-6,3-4,1,3,"
4","
2",3,0,7,0,"
29","
+8"
吕冈茨-多尔特,G,22,4-9,1-4,2-2,1,0,"
1","
2",2,3,0,0,"
11","
+6"
谢伊-吉尔杰斯-亚历山大,F,39,4-14,0-3,3-4,2,7,"
9","
9",3,0,1,1,"
11","
+12"
达尼罗-加里纳利,F,32,4-14,2-7,5-5,0,3,"
3","
2",1,1,1,0,"
15","
+2"
史蒂文-亚当斯,C,32,7-14,0-0,5-6,7,10,"
17","
2",0,4,0,2,"
19","
+9"
丹尼斯-施罗德,G,29,4-9,1-4,2-2,1,4,"
5","
2",3,2,2,0,"
11","
+9"
特伦斯-弗格森,G-F,21,0-1,0-1,0-0,0,1,"
1","
0",1,0,1,0,"
0","
+1"
阿卜杜勒-纳迪尔,F,16,2-3,1-1,2-2,1,0,"
1","
0",1,0,0,0,"
7","
+10"
纳伦斯-诺埃尔,C-F,16,4-6,0-0,2-2,1,2,"
3","
0",5,2,0,0,"
10","
+3"
达里厄斯-贝兹利,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
安德烈-罗伯森,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯文-赫维,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德翁特-伯顿,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
以赛亚-罗比,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
哈米杜-迪亚洛,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迈克-穆斯卡拉,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
掘金
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
贾马尔-默里,G,38,8-16,1-5,4-4,1,5,"
6","
4",0,1,5,1,"
21","
-2
"
加里-哈里斯,G,31,1-7,1-3,4-4,1,3,"
4","
0",4,0,2,0,"
7","
-3
"
威尔-巴顿,F,32,6-12,2-5,2-4,2,7,"
9","
5",4,1,2,0,"
16","
+3
"
保罗-米尔萨普,F,27,1-4,0-1,0-0,0,6,"
6","
1",4,0,3,1,"
2","
+5
"
尼古拉-约基奇,C,34,12-15,1-2,7-7,1,6,"
7","
5",1,1,2,1,"
32","
-2
"
杰拉米-格兰特,F,21,1-6,0-3,4-4,0,1,"
1","
1",0,0,1,0,"
6","
-17"
蒙特-莫里斯,G,20,3-7,0-4,0-0,1,0,"
1","
0",2,2,1,0,"
6","
-7"
托里-克雷格,F,16,1-3,1-3,0-0,1,0,"
1","
2",1,0,0,0,"
3","
-13"
梅森-普拉姆利,F-C,14,2-2,0-0,0-0,0,2,"
2","
1",4,2,2,0,"
4","
-10"
小迈克尔-波特,F,8,2-5,0-1,0-0,1,1,"
2","
0",0,0,1,0,"
4","
-14"
凯塔-贝茨-迪奥普,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
弗拉特科-钱查尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乔丹-麦克雷,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
诺阿-冯莱,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
波尔-波尔,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
PJ-多齐尔,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
