魔术
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
埃文-富尼耶,G,33,10-19,5-12,3-3,1,1,"
2","
1",3,2,1,0,"
28","
-8"
马克尔-富尔茨,G,25,7-12,0-2,0-0,0,1,"
1","
9",1,0,2,0,"
14","
0"
阿龙-戈登,F,35,4-13,0-3,2-4,2,10,"
12","
7",5,2,2,1,"
10","
+1"
詹姆斯-恩尼斯,F,22,1-6,0-3,0-0,2,1,"
3","
0",1,0,0,0,"
2","
+1"
尼古拉-武切维奇,C,37,12-27,1-7,2-2,4,8,"
12","
1",1,4,0,1,"
27","
-5"
特伦斯-罗斯,G-F,28,5-16,3-8,6-8,2,3,"
5","
1",3,2,0,0,"
19","
-23"
迈克尔-卡特-威廉姆斯,G,25,1-4,0-3,2-2,5,6,"
11","
0",2,0,1,0,"
4","
-11"
DJ-奥古斯丁,G,16,0-2,0-2,0-0,0,1,"
1","
0",1,1,1,0,"
0","
-14"
穆罕默德-班巴,C,11,1-3,0-1,0-0,0,1,"
1","
2",4,0,0,0,"
2","
-11"
加里-克拉克,F,8,0-2,0-2,0-0,0,0,"
0","
0",1,0,0,0,"
0","
-10"
肯-伯奇,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
维克-劳,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乔纳森-艾萨克,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
艾尔-法鲁克-阿米奴,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
梅尔文-弗雷泽,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
韦斯利-艾旺杜,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
BJ-约翰逊,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
独行侠
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
卢卡-东契奇,G,34,10-21,4-8,9-12,0,10,"
10","
8",0,1,6,1,"
33","
+13
"
塞思-库里,G,28,3-9,0-4,0-0,1,5,"
6","
1",0,1,2,0,"
6","
+3
"
多里安-芬尼-史密斯,F,36,2-6,1-4,0-0,2,5,"
7","
1",1,1,0,0,"
5","
+14
"
小蒂姆-哈达威,F,33,5-9,3-5,3-4,1,5,"
6","
0",1,0,1,0,"
16","
+8
"
克里斯塔普斯-波尔津吉斯,C,34,8-16,4-9,4-4,2,8,"
10","
5",3,0,2,5,"
24","
+15
"
德朗-赖特,G,24,2-3,0-1,1-1,1,4,"
5","
4",2,1,2,1,"
5","
+18"
马克西-克勒贝尔,F,23,10-13,3-6,3-3,0,3,"
3","
1",1,0,1,1,"
26","
+10"
杰伦-布伦森,G,20,2-5,0-1,0-0,0,1,"
1","
5",2,1,1,0,"
4","
+8"
贾斯廷-杰克逊,F,6,1-2,0-0,1-2,1,1,"
2","
1",1,1,0,0,"
3","
-2"
迈克尔-基德-吉尔克里斯特,F,4,0-0,0-0,0-0,0,0,"
0","
0",3,0,0,0,"
0","
-7"
何塞-巴里亚,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德怀特-鲍威尔,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
考特尼-李,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
博班-马里亚诺维奇,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
威利-考利-斯坦,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
安东尼斯-克利夫兰,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约什-里夫斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
