开拓者
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
CJ-麦科勒姆,G,43,15-30,6-11,5-8,1,8,"
9","
12",2,1,1,0,"
41","
+17"
小加里-特伦特,G,34,3-8,0-2,0-0,0,2,"
2","
2",0,3,1,1,"
6","
+13"
卡梅罗-安东尼,F,37,11-16,5-9,5-6,0,4,"
4","
1",2,0,0,0,"
32","
+9"
特雷沃-阿里扎,F,36,1-4,0-2,0-0,1,3,"
4","
0",3,2,5,0,"
2","
+14"
哈桑-怀特塞德,C,38,8-14,0-0,0-3,5,12,"
17","
3",2,0,2,4,"
16","
+5"
安芬尼-西蒙斯,G,18,2-8,2-5,0-0,0,0,"
0","
1",4,0,1,0,"
6","
-21"
韦尼恩-加布里埃尔,F,13,1-2,0-0,2-2,2,2,"
4","
0",2,0,0,0,"
4","
+2"
马里奥-海佐尼亚,F-G,12,0-0,0-0,0-0,0,0,"
0","
1",0,0,0,0,"
0","
-11"
纳西尔-利特尔,F-G,7,0-2,0-1,0-0,0,1,"
1","
0",3,0,0,0,"
0","
-13"
罗德尼-胡德,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
扎克-科林斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
优素福-努尔基奇,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰伦-霍尔德,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
达米安-利拉德,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
摩西-布朗,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯莱布-斯瓦尼根,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
活塞
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
德里克-罗斯,G,28,6-16,1-4,2-2,0,2,"
2","
3",0,0,5,0,"
15","
-19
"
斯维亚托斯拉夫-米哈伊柳克,G,15,2-5,1-4,0-0,1,0,"
1","
2",1,0,1,0,"
5","
-10
"
托尼-斯内尔,F,25,1-4,1-3,0-0,0,3,"
3","
0",0,1,1,0,"
3","
-15
"
塞古-敦布亚,F,24,3-7,1-4,0-0,0,3,"
3","
0",3,1,0,0,"
7","
-23
"
索恩-梅克,C,16,2-6,0-2,0-0,1,2,"
3","
2",1,1,1,1,"
4","
-17
"
布鲁斯-布朗,G-F,33,3-10,0-1,2-2,2,8,"
10","
1",4,1,2,0,"
8","
+5"
克里斯蒂安-伍德,F,31,9-15,2-4,6-7,2,7,"
9","
1",2,0,0,2,"
26","
+17"
兰斯顿-加洛韦,G,24,4-9,2-5,3-3,1,3,"
4","
4",3,1,1,0,"
13","
+10"
约翰-亨森,F-C,23,3-6,0-1,2-2,4,3,"
7","
2",1,2,0,2,"
8","
+21"
布兰登-奈特,G,20,4-8,3-7,4-4,0,2,"
2","
3",2,0,0,0,"
15","
+16"
路易斯-金,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯里-托马斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德里克-沃顿,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卢克-肯纳德,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
布雷克-格里芬,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
Donta Hall,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乔丹-博恩,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
Donta Hall,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
