雷霆
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
克里斯-保罗,G,28,5-13,0-3,2-2,0,9,"
9","
10",0,1,0,0,"
12","
+14"
吕冈茨-多尔特,G,24,6-6,2-2,1-2,0,2,"
2","
2",3,3,1,0,"
15","
+36"
谢伊-吉尔杰斯-亚历山大,F,32,8-14,1-2,5-5,2,11,"
13","
4",0,0,3,0,"
22","
+22"
达尼罗-加里纳利,F,26,3-8,2-4,4-4,0,4,"
4","
1",2,0,3,0,"
12","
+26"
史蒂文-亚当斯,C,27,8-12,0-0,5-6,3,11,"
14","
0",0,1,1,0,"
21","
+7"
丹尼斯-施罗德,G,29,4-11,1-3,4-4,0,3,"
3","
6",0,0,1,0,"
13","
+16"
阿卜杜勒-纳迪尔,F,22,4-6,2-3,0-0,0,3,"
3","
1",2,0,1,0,"
10","
+2"
纳伦斯-诺埃尔,C-F,16,5-5,0-0,0-0,0,1,"
1","
0",5,1,0,5,"
10","
+17"
哈米杜-迪亚洛,G-F,15,3-5,0-1,0-1,0,0,"
0","
2",2,1,0,0,"
6","
+7"
特伦斯-弗格森,G-F,9,0-2,0-2,0-0,0,1,"
1","
1",2,0,1,1,"
0","
-11"
迈克-穆斯卡拉,F-C,4,3-3,1-1,0-0,1,1,"
2","
0",0,0,0,0,"
7","
+4"
德翁特-伯顿,G-F,4,1-2,1-1,0-0,0,1,"
1","
1",1,0,1,1,"
3","
0"
以赛亚-罗比,F,3,0-0,0-0,0-0,0,1,"
1","
0",0,0,0,0,"
0","
0"
安德烈-罗伯森,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
达里厄斯-贝兹利,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯文-赫维,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马刺
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
德章泰-默里,G,21,0-7,0-0,0-0,0,3,"
3","
7",3,1,2,0,"
0","
-10
"
布林-福布斯,G,21,3-5,2-4,2-2,0,2,"
2","
0",2,0,0,0,"
10","
-23
"
德马尔-德罗赞,F,23,4-12,0-0,3-4,1,4,"
5","
3",2,0,2,0,"
11","
-21
"
拉马库斯-阿尔德里奇,F,21,3-10,0-5,2-2,2,1,"
3","
2",3,0,2,0,"
8","
-28
"
特雷-莱尔斯,C,18,3-4,2-3,0-0,0,2,"
2","
2",2,0,0,0,"
8","
-24
"
德里克-怀特,G,27,1-6,1-2,0-0,0,3,"
3","
2",0,0,0,0,"
3","
-18"
朗尼-沃克,G-F,23,1-5,0-1,0-0,0,4,"
4","
3",1,0,0,1,"
2","
-5"
鲁迪-盖伊,F-G,18,4-11,1-5,5-5,4,2,"
6","
2",2,1,0,0,"
14","
+3"
雅各布-珀尔特尔,C,16,4-7,0-0,1-2,4,0,"
4","
1",2,2,0,0,"
9","
0"
帕蒂-米尔斯,G,15,2-10,2-9,2-2,0,3,"
3","
0",3,1,0,0,"
8","
-2"
马科-贝里内利,G,15,5-10,3-7,0-0,0,2,"
2","
1",0,0,0,0,"
13","
-7"
凯尔登-约翰逊,F-G,13,4-10,0-1,1-2,2,1,"
3","
3",2,0,1,0,"
9","
-5"
奇梅齐耶-梅图,F-C,8,4-6,0-1,0-0,1,2,"
3","
1",1,0,2,0,"
8","
0"
卢卡-沙马尼奇,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奎因达里-韦瑟斯庞,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德鲁-尤班克斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
