火箭
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
詹姆斯-哈登,G,34,14-25,4-11,5-9,2,4,"
6","
9",3,2,6,0,"
37","
+3"
埃里克-戈登,G,28,4-13,1-7,7-7,0,0,"
0","
2",3,2,3,0,"
16","
+26"
罗伯特-科温顿,F,30,4-10,3-8,0-0,0,7,"
7","
1",2,1,1,4,"
11","
-5"
丹纽尔-豪斯,F,26,3-6,0-2,4-5,1,4,"
5","
4",2,1,0,1,"
10","
-11"
PJ-塔克,C,25,1-3,0-2,0-0,1,4,"
5","
1",1,1,0,1,"
2","
+3"
本-麦克勒摩,G,29,6-11,4-9,1-2,0,3,"
3","
0",3,0,2,0,"
17","
+8"
奥斯汀-里弗斯,G,24,5-8,2-3,2-3,0,1,"
1","
1",5,0,1,0,"
14","
+11"
杰夫-格林,F,16,3-3,1-1,2-2,0,2,"
2","
1",1,2,0,1,"
9","
+22"
德马雷-卡罗尔,F,14,3-5,1-3,0-3,0,4,"
4","
0",1,1,0,0,"
7","
-10"
萨博-塞福洛沙,F-G,10,0-1,0-1,0-0,0,3,"
3","
1",1,1,0,0,"
0","
+16"
布鲁诺-卡博克洛,F,3,0-1,0-1,0-0,1,1,"
2","
0",0,0,0,0,"
0","
-8"
拉塞尔-威斯布鲁克,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
克里斯-克莱蒙斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
泰森-钱德勒,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
以赛亚-哈尔滕施泰因,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
威廉-霍华德,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迈克尔-弗雷泽,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
尼克斯
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
RJ-巴雷特,G,34,8-17,2-5,3-7,1,5,"
6","
3",2,1,5,0,"
21","
-5
"
丹尼斯-史密斯,G,29,5-12,1-2,4-5,1,6,"
7","
5",2,7,3,0,"
15","
-19
"
莫里斯-哈克利斯,F,28,3-6,1-3,0-0,0,1,"
1","
1",4,1,0,2,"
7","
-13
"
朱利叶斯-兰德尔,F,28,5-14,0-2,7-8,5,7,"
12","
3",2,1,4,0,"
17","
+3
"
泰-吉布森,C,12,3-5,0-0,0-0,3,2,"
5","
0",1,0,0,0,"
6","
-2
"
米切尔-罗宾逊,C-F,26,4-5,0-0,2-4,5,3,"
8","
2",3,2,1,5,"
10","
+5"
博比-波蒂斯,F-C,25,4-10,0-3,4-4,0,8,"
8","
2",2,0,1,0,"
12","
-16"
雷吉-布洛克,G-F,22,1-5,1-3,0-0,0,1,"
1","
3",2,0,0,1,"
3","
-25"
丹伊恩-多特森,G,18,3-7,3-6,0-0,0,4,"
4","
1",2,0,1,0,"
9","
-3"
凯文-诺克斯,F,12,1-6,1-3,0-0,0,1,"
1","
0",1,0,1,0,"
3","
+8"
阿朗佐-特里尔,G,6,3-4,2-2,1-2,1,0,"
1","
0",0,0,1,0,"
9","
+12"
伊格纳斯-布拉兹代基斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
肯尼-伍滕,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
埃尔弗里德-佩顿,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
韦恩-艾灵顿,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
弗朗克-尼利基纳,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卡迪姆-阿伦,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
