爵士
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
多诺万-米切尔,G,35,11-19,6-9,10-12,1,3,"
4","
4",4,1,4,0,"
38","
-19"
迈克-康利,G,22,4-6,0-1,0-0,0,0,"
0","
1",3,0,3,0,"
8","
-10"
博扬-波格丹诺维奇,F,34,4-10,0-3,8-8,0,3,"
3","
2",1,2,3,0,"
16","
-7"
乔-英格尔斯,F,29,2-7,2-5,3-4,0,0,"
0","
4",4,0,4,0,"
9","
-17"
鲁迪-戈贝尔,C,37,3-5,0-0,7-8,0,8,"
8","
2",3,1,1,1,"
13","
-12"
罗伊斯-奥尼尔,F,25,1-2,1-2,2-4,1,8,"
9","
3",3,2,1,0,"
5","
-4"
乔丹-克拉克森,G,25,5-11,1-3,3-3,2,0,"
2","
0",3,2,2,0,"
14","
-7"
乔治-尼昂,F,10,0-3,0-2,0-0,0,2,"
2","
0",0,0,0,0,"
0","
-5"
托尼-布拉德利,C-F,8,1-1,0-0,2-2,1,0,"
1","
0",1,0,0,1,"
4","
-2"
伊曼纽尔-穆迪埃,G,6,1-3,0-0,2-2,0,0,"
0","
0",1,0,1,0,"
4","
-9"
朱万-摩根,F,6,0-1,0-1,0-0,0,0,"
0","
0",0,0,0,0,"
0","
-7"
雷琼-塔克,G-F,2,0-0,0-0,0-0,0,1,"
1","
0",0,0,0,0,"
0","
-1"
贾斯廷-赖特-福尔曼,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
尼格尔-威廉姆斯-戈斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾雷尔-布兰特利,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
埃德-戴维斯,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
米耶-奥尼,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
太阳
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
德文-布克,G,34,8-18,2-4,6-7,0,4,"
4","
10",5,0,4,0,"
24","
+13
"
里基-卢比奥,G,33,6-13,2-3,8-9,1,5,"
6","
11",4,7,1,0,"
22","
+31
"
凯利-乌布雷,F,38,7-13,1-3,3-4,0,3,"
3","
2",4,1,1,1,"
18","
+31
"
米卡尔-布里奇斯,F,30,3-3,0-0,2-2,1,2,"
3","
0",4,0,0,0,"
8","
+15
"
德安德烈-艾顿,C,21,8-9,0-0,0-0,2,3,"
5","
2",4,0,1,0,"
16","
+5
"
卡梅伦-约翰逊,F,20,3-3,2-2,0-0,0,0,"
0","
1",2,1,0,0,"
8","
0"
阿隆-贝恩斯,C-F,16,4-10,1-2,0-0,6,2,"
8","
1",2,0,0,0,"
9","
+1"
达里奥-沙里奇,F,16,5-5,2-2,2-2,0,3,"
3","
2",2,0,2,0,"
14","
+15"
杰文-卡特,G,15,3-8,2-4,0-0,0,1,"
1","
4",3,1,0,0,"
8","
+7"
埃利-奥科博,G-F,11,0-2,0-0,0-0,0,3,"
3","
0",0,0,3,0,"
0","
-14"
泰-杰罗姆,G-F,2,1-1,0-0,0-0,0,1,"
1","
0",0,0,0,0,"
2","
-2"
谢赫-迪亚洛,F-C,2,1-2,0-0,0-0,1,0,"
1","
0",1,0,1,0,"
2","
-2"
塔里克-欧文斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰里德-哈珀,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰伦-勒丘,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
弗兰克-卡明斯基,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
