公牛
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
扎克-拉文,G,39,19-35,3-13,0-3,2,3,"
5","
4",4,1,5,0,"
41","
+3"
里安-阿尔奇迪亚科诺,G,18,1-3,0-1,0-0,0,1,"
1","
2",5,1,0,0,"
2","
-9"
托马什-萨托兰斯基,F,33,4-10,0-2,2-2,1,4,"
5","
7",4,0,5,0,"
10","
-17"
赛迪斯-杨,F,30,3-8,2-3,0-0,2,1,"
3","
4",2,1,0,0,"
8","
-2"
丹尼尔-加福德,C,14,3-4,0-0,0-0,2,2,"
4","
0",3,0,0,1,"
6","
+7"
科比-怀特,G,33,13-21,6-9,3-3,1,6,"
7","
3",3,0,1,0,"
35","
+15"
克里斯蒂亚诺-费利西奥,F-C,33,3-6,0-0,0-0,4,5,"
9","
2",1,1,0,1,"
6","
-5"
沙奎尔-哈里森,F,22,5-9,0-2,1-1,1,2,"
3","
0",0,2,0,2,"
11","
+2"
亚当-莫科卡,G,19,1-1,1-1,0-0,0,2,"
2","
0",3,0,0,0,"
3","
-4"
马克思-斯特鲁斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奥托-波特,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
温德尔-卡特,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
登泽尔-瓦伦丁,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
钱德勒-哈奇森,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
劳里-马尔卡宁,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
克里斯-邓恩,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卢克-科内特,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
雷霆
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
克里斯-保罗,G,35,7-15,0-3,5-6,0,3,"
3","
9",1,1,1,0,"
19","
+16
"
吕冈茨-多尔特,G,24,0-2,0-1,0-0,0,2,"
2","
1",2,0,0,0,"
0","
-3
"
谢伊-吉尔杰斯-亚历山大,F,34,5-11,2-5,9-12,1,10,"
11","
3",1,1,3,2,"
21","
-1
"
达尼罗-加里纳利,F,32,8-16,5-10,3-4,0,4,"
4","
0",0,1,1,0,"
24","
-6
"
史蒂文-亚当斯,C,28,6-8,0-0,4-6,5,4,"
9","
2",1,3,1,3,"
16","
+11
"
丹尼斯-施罗德,G,32,8-12,2-4,3-3,0,2,"
2","
5",4,1,4,0,"
21","
-7"
纳伦斯-诺埃尔,C-F,20,3-3,0-0,0-2,0,0,"
0","
1",4,0,1,0,"
6","
-9"
特伦斯-弗格森,G-F,18,3-5,3-5,2-2,0,0,"
0","
3",2,0,0,1,"
11","
+1"
阿卜杜勒-纳迪尔,F,16,2-4,2-2,0-0,1,5,"
6","
1",2,1,0,1,"
6","
+8"
达里厄斯-贝兹利,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
安德烈-罗伯森,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯文-赫维,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德翁特-伯顿,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
以赛亚-罗比,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
哈米杜-迪亚洛,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迈克-穆斯卡拉,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
