猛龙
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
凯尔-洛瑞,G,41,2-12,1-7,5-6,0,4,"
4","
6",5,0,4,1,"
10","
-11"
弗雷德-范弗利特,G,37,5-14,3-9,1-1,0,2,"
2","
1",5,1,3,0,"
14","
-14"
帕斯卡尔-西亚卡姆,F,38,6-14,5-9,5-7,0,6,"
6","
3",3,0,4,1,"
22","
-20"
OG-阿奴诺比,F,30,4-8,2-3,1-1,2,3,"
5","
4",2,2,0,0,"
11","
-20"
赛尔吉-伊巴卡,C,29,2-15,1-10,0-2,1,4,"
5","
1",3,0,3,0,"
5","
-17"
克里斯-布歇,F-C,19,4-8,2-4,0-0,3,4,"
7","
0",2,0,1,1,"
10","
+6"
朗戴-霍利斯-杰弗森,F,18,3-6,0-0,0-1,2,6,"
8","
2",2,0,0,2,"
6","
+9"
特伦斯-戴维斯,G,17,3-9,1-5,3-3,0,4,"
4","
2",2,1,1,0,"
10","
0"
马特-托马斯,G,12,3-5,3-5,0-0,1,1,"
2","
2",2,0,0,0,"
9","
+12"
奥谢-布里塞特,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
诺曼-鲍威尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德万-埃尔南德斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
保罗-沃特森,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马克-加索尔,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马尔科姆-米勒,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
斯坦利-约翰逊,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
帕特里克-麦考,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
雄鹿
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
埃里克-布莱索,G,34,5-14,2-6,5-7,2,5,"
7","
4",2,1,2,1,"
17","
+11
"
韦斯利-马修斯,G,20,2-6,1-5,2-2,0,1,"
1","
1",1,0,1,0,"
7","
+2
"
扬尼斯-阿德托昆博,F,38,5-14,2-4,7-8,0,19,"
19","
8",1,0,4,3,"
19","
+13
"
克里斯-米德尔顿,F,32,7-14,2-4,6-7,0,8,"
8","
3",4,0,2,0,"
22","
+6
"
布鲁克-洛佩斯,C,28,5-13,2-6,3-4,1,2,"
3","
0",3,2,2,5,"
15","
-2
"
乔治-希尔,G,25,2-5,1-4,4-4,0,1,"
1","
2",2,3,1,0,"
9","
+16"
唐特-迪温琴佐,G,21,1-6,0-4,3-4,3,4,"
7","
3",2,2,0,0,"
5","
+2"
马文-威廉姆斯,F,16,3-7,3-6,0-0,1,4,"
5","
1",4,2,0,0,"
9","
0"
罗宾-洛佩斯,C,14,1-4,1-3,0-0,0,0,"
0","
0",0,0,1,1,"
3","
+11"
帕特-康诺顿,G-F,12,1-1,0-0,0-0,1,1,"
2","
1",0,0,0,0,"
2","
-4"
萨纳西斯-阿德托昆博,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
DJ-威尔森,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
斯特林-布朗,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
艾森-伊利亚索瓦,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
弗兰克-梅森,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯尔-科沃尔,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卡姆-雷诺兹,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
