马刺
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
德章泰-默里,G,23,3-13,0-2,2-2,2,6,"
8","
2",2,0,2,1,"
8","
-10"
布林-福布斯,G,22,4-9,2-6,0-0,0,0,"
0","
0",3,1,3,0,"
10","
-20"
德马尔-德罗赞,F,34,9-15,0-1,9-9,2,6,"
8","
9",3,1,2,0,"
27","
-10"
朗尼-沃克,F,27,5-9,2-2,0-0,1,2,"
3","
2",4,0,2,3,"
12","
-16"
特雷-莱尔斯,C,24,2-6,1-2,1-2,5,4,"
9","
1",2,0,2,0,"
6","
-3"
德里克-怀特,G,28,4-9,0-3,1-2,1,6,"
7","
2",5,1,0,1,"
9","
+6"
帕蒂-米尔斯,G,28,3-11,2-8,0-0,0,3,"
3","
2",0,2,1,0,"
8","
+11"
马科-贝里内利,G,21,5-8,4-6,0-0,1,7,"
8","
1",1,1,1,1,"
14","
+17"
鲁迪-盖伊,F-G,21,2-9,0-3,0-0,0,5,"
5","
2",1,2,2,1,"
4","
+6"
雅各布-珀尔特尔,C,10,2-3,0-0,1-4,1,3,"
4","
1",0,0,0,0,"
5","
-11"
奎因达里-韦瑟斯庞,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奇梅齐耶-梅图,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卢卡-沙马尼奇,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
拉马库斯-阿尔德里奇,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯尔登-约翰逊,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德鲁-尤班克斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
独行侠
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
卢卡-东契奇,G,37,10-25,3-11,3-4,1,9,"
10","
14",5,1,7,0,"
26","
+14
"
塞思-库里,G,35,2-8,2-4,1-2,0,3,"
3","
2",2,2,0,0,"
7","
+22
"
小蒂姆-哈达威,F,36,5-14,3-8,4-7,0,2,"
2","
0",1,0,1,0,"
17","
+8
"
多里安-芬尼-史密斯,F,35,5-7,2-4,2-2,1,3,"
4","
1",2,2,1,3,"
14","
+13
"
克里斯塔普斯-波尔津吉斯,C,29,8-14,4-8,8-10,1,11,"
12","
1",4,2,2,3,"
28","
+16
"
马克西-克勒贝尔,C,23,3-6,1-2,2-5,1,4,"
5","
0",3,1,1,2,"
9","
-13"
德朗-赖特,G,20,1-3,1-2,0-0,0,0,"
0","
3",2,1,1,1,"
3","
-10"
迈克尔-基德-吉尔克里斯特,F,11,0-1,0-1,0-0,1,4,"
5","
1",0,1,0,0,"
0","
-10"
何塞-巴里亚,G,10,2-5,1-3,0-0,0,1,"
1","
2",1,1,2,0,"
5","
-6"
考特尼-李,G,5,0-3,0-2,0-0,0,1,"
1","
1",0,0,0,0,"
0","
-4"
德怀特-鲍威尔,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰伦-布伦森,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾斯廷-杰克逊,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
博班-马里亚诺维奇,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
威利-考利-斯坦,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
安东尼斯-克利夫兰,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约什-里夫斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
