骑士
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
科林-塞克斯顿,G,35,9-16,2-3,8-9,1,0,"
1","
2",1,2,4,0,"
28","
+18"
达里厄斯-加兰,G,34,5-12,2-5,0-0,0,0,"
0","
1",0,0,2,0,"
12","
+9"
凯文-乐福,F,33,3-9,3-7,4-4,0,9,"
9","
6",1,0,3,1,"
13","
+15"
切迪-奥斯曼,F,17,1-2,1-2,2-2,0,3,"
3","
1",4,0,3,0,"
5","
+15"
特里斯坦-汤普森,C,32,7-15,0-2,0-0,6,7,"
13","
2",2,1,1,1,"
14","
+13"
小拉里-南斯,F-C,31,6-9,1-1,0-0,2,13,"
15","
3",3,1,1,0,"
13","
+1"
小凯文-波特,G-F,27,2-6,0-2,1-2,0,5,"
5","
6",2,0,2,1,"
5","
-10"
马修-戴拉维多瓦,G,25,5-5,2-2,0-0,0,1,"
1","
2",1,1,0,0,"
12","
+3"
安特-日日奇,C,7,3-4,0-0,0-0,0,2,"
2","
1",2,0,2,1,"
6","
+6"
阿方索-麦金尼,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迪恩-韦德,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马特-穆尼,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迪伦-温德勒,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
安德烈-德拉蒙德,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
丹特-埃克萨姆,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
76人
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
谢克-米尔顿,G,37,8-14,4-6,0-0,0,4,"
4","
4",3,0,0,1,"
20","
-5
"
约什-理查德森,G,32,4-12,1-5,0-1,0,8,"
8","
4",0,2,1,2,"
9","
-13
"
托拜厄斯-哈里斯,F,36,4-13,1-4,2-2,2,2,"
4","
3",1,3,2,1,"
11","
-10
"
艾尔-霍弗德,F,34,4-10,2-5,0-0,1,4,"
5","
5",1,3,1,0,"
10","
-15
"
乔尔-恩比德,C,8,1-1,0-0,1-4,0,0,"
0","
0",0,0,1,1,"
3","
-9
"
富尔坎-科尔克马兹,G-F,25,4-12,4-11,2-3,0,1,"
1","
2",2,1,1,0,"
14","
+1"
亚历克-伯克斯,G,17,6-12,1-4,0-0,0,2,"
2","
2",1,2,1,0,"
13","
-8"
格伦-罗宾逊三世,F-G,15,1-5,0-2,2-2,4,0,"
4","
0",0,0,0,0,"
4","
-8"
马蒂斯-赛布尔,F-G,15,2-5,0-0,0-0,1,0,"
1","
1",3,2,1,0,"
4","
-10"
凯尔-奥奎因,C-F,12,2-5,0-1,2-2,0,2,"
2","
1",0,0,0,4,"
6","
+4"
迈克-斯科特,F,9,0-0,0-0,0-0,0,1,"
1","
0",0,0,0,0,"
0","
+3"
扎伊尔-史密斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
劳尔-内托,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
诺维尔-佩莱,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
本-西蒙斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马里亚尔-沙约克,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
