灰熊
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
贾-莫兰特,G,35,7-17,1-5,5-7,1,2,"
3","
11",2,0,2,0,"
20","
-1"
丹东尼-梅尔顿,G,25,4-7,2-3,0-0,1,5,"
6","
6",4,0,3,0,"
10","
+6"
狄龙-布鲁克斯,F,40,12-22,3-7,5-5,2,0,"
2","
1",6,0,2,1,"
32","
+3"
凯尔-安德森,F,33,2-5,0-0,0-0,0,3,"
3","
3",1,1,0,1,"
4","
-7"
约纳斯-瓦兰丘纳斯,C,32,4-14,1-3,4-4,6,19,"
25","
0",1,0,1,2,"
13","
+6"
约什-杰克逊,F-G,24,4-10,1-5,0-0,0,3,"
3","
3",0,3,1,0,"
9","
+1"
戈尔吉-吉昂,C,23,2-7,0-4,1-2,0,7,"
7","
0",0,1,1,1,"
5","
-4"
泰厄斯-琼斯,G,19,3-7,0-2,0-0,0,2,"
2","
3",1,1,2,0,"
6","
-7"
渡边雄太,G-F,4,0-0,0-0,0-2,0,0,"
0","
0",1,0,0,0,"
0","
-6"
约翰-康查尔,G,4,1-2,0-1,0-0,0,1,"
1","
0",0,1,0,0,"
2","
-6"
贾罗德-尤托夫,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
小贾伦-杰克逊,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
布兰登-克拉克,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乔丹-贝尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马尔科-古杜里奇,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾斯蒂斯-温斯洛,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
格雷森-阿伦,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
国王
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
达龙-福克斯,G,33,10-19,3-6,2-3,1,3,"
4","
5",3,2,1,0,"
25","
-2
"
波格丹-波格丹诺维奇,G,27,1-9,1-7,2-2,1,7,"
8","
4",1,1,0,0,"
5","
-1
"
内马尼亚-别利察,F,33,5-15,2-8,1-2,2,9,"
11","
2",2,1,1,0,"
13","
+5
"
哈里森-巴恩斯,F,32,1-6,0-3,5-6,1,3,"
4","
2",1,1,3,0,"
7","
+6
"
哈里-贾尔斯,C,31,8-14,0-0,0-0,1,4,"
5","
2",3,1,1,1,"
16","
-6
"
肯特-贝兹莫尔,G-F,29,5-9,2-4,1-2,0,4,"
4","
0",2,2,1,1,"
13","
-3"
巴迪-希尔德,G,23,4-12,2-8,4-4,0,4,"
4","
2",2,1,1,0,"
14","
+8"
亚历克斯-莱恩,C,16,3-3,0-0,0-0,2,5,"
7","
3",1,1,1,1,"
6","
+3"
科里-约瑟夫,G,15,1-4,1-2,2-2,0,0,"
0","
4",1,1,0,0,"
5","
+5"
马文-巴格利,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾巴里-帕克,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯尔-盖伊,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾斯廷-詹姆斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约吉-费雷尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
达匡-杰弗里斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
安东尼-托利弗,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
里乔恩-霍姆斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
