老鹰
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
凯文-赫尔特,G,33,6-10,3-4,0-0,0,4,"
4","
3",2,0,0,1,"
15","
+31"
特雷-杨,G,31,6-18,1-6,9-10,0,2,"
2","
14",2,1,3,0,"
22","
+14"
卡姆-雷迪什,F,34,9-14,6-9,2-4,0,4,"
4","
1",2,1,0,1,"
26","
+17"
德安德烈-亨特,F,32,6-10,4-8,2-2,1,9,"
10","
2",3,0,0,0,"
18","
+22"
约翰-科林斯,C,32,11-15,3-4,8-10,5,8,"
13","
2",2,0,3,1,"
33","
+18"
布鲁诺-费尔南多,F-C,20,4-8,0-0,1-2,3,6,"
9","
2",2,2,0,0,"
9","
+4"
杰夫-蒂格,G,20,3-6,0-1,0-0,2,0,"
2","
3",0,2,1,0,"
6","
-6"
特雷韦恩-格雷厄姆,G-F,13,0-4,0-3,0-2,2,1,"
3","
1",2,0,0,1,"
0","
+9"
布兰登-古德温,G,13,4-7,2-3,0-0,1,2,"
3","
3",0,0,1,0,"
10","
+3"
文斯-卡特,G-F,12,1-5,0-1,0-0,1,1,"
2","
1",0,2,0,0,"
2","
+3"
斯卡尔-拉比西埃,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
达米安-琼斯,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德维恩-戴德蒙,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
克林特-卡佩拉,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
查理-布朗,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德安德烈-本布里,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
篮网
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
斯潘塞-丁威迪,G,32,6-16,4-9,8-8,0,1,"
1","
13",2,1,1,0,"
24","
-7
"
卡里斯-勒韦尔,G,27,7-17,1-8,3-3,1,2,"
3","
3",3,0,1,0,"
18","
-11
"
乔-哈里斯,F,29,7-16,3-8,1-2,0,3,"
3","
3",0,0,2,1,"
18","
-7
"
托里恩-普林斯,F,29,6-10,4-6,0-0,1,4,"
5","
3",3,0,1,0,"
16","
-9
"
贾勒特-阿伦,C,22,2-2,0-0,1-3,2,7,"
9","
2",2,1,0,2,"
5","
-5
"
加莱特-坦普尔,G-F,30,6-13,4-8,0-0,1,4,"
5","
3",3,2,2,2,"
16","
-5"
德安德烈-乔丹,C,20,4-6,0-0,1-3,2,6,"
8","
1",0,0,1,1,"
9","
-9"
蒂莫泰-卢瓦乌-卡巴罗,G-F,20,2-5,2-4,0-0,0,0,"
0","
0",2,0,0,1,"
6","
-13"
威尔森-钱德勒,F,18,1-3,0-2,0-0,0,3,"
3","
0",3,0,1,0,"
2","
-17"
尼古拉斯-克拉克斯顿,F-C,4,1-2,0-0,2-2,0,1,"
1","
0",0,0,0,0,"
4","
-8"
克里斯-奇奥萨,G,4,0-1,0-0,0-0,0,0,"
0","
0",0,0,2,0,"
0","
-8"
西奥-平森,G-F,4,0-0,0-0,0-0,0,0,"
0","
2",1,1,0,0,"
0","
-8"
罗季翁斯-库鲁茨,F,4,0-1,0-1,0-0,0,0,"
0","
0",0,0,0,1,"
0","
-8"
凯文-杜兰特,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰雷米亚-马丁,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯里-欧文,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
扎南-穆萨,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
