勇士
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
安德鲁-威金斯,G,35,9-19,1-5,8-11,1,5,"
6","
2",3,2,4,2,"
27","
-31"
达米恩-李,G,34,4-11,2-6,0-0,0,6,"
6","
2",1,2,1,1,"
10","
-2"
马基斯-克里斯,F,30,6-8,0-0,0-0,2,11,"
13","
2",3,0,5,2,"
12","
-18"
胡安-托斯卡诺-安德森,F,29,1-6,0-2,0-0,2,3,"
5","
5",4,2,3,1,"
2","
-8"
德拉甘-本德尔,C,19,4-12,0-3,0-0,6,4,"
10","
0",5,0,2,0,"
8","
-6"
埃里克-帕斯卡尔,F,33,7-14,1-2,2-3,5,2,"
7","
6",1,0,2,0,"
17","
-6"
迈克尔-穆尔德,G,31,6-10,3-7,2-3,0,2,"
2","
1",5,1,0,1,"
17","
+5"
乔丹-普尔,G,28,5-9,2-3,5-7,2,1,"
3","
7",2,0,4,0,"
17","
-4"
克莱-汤普森,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯-鲍曼,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德雷蒙德-格林,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
斯蒂芬-库里,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿伦-斯马伊拉吉奇,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯文-卢尼,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奇才
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
布拉德利-比尔,G,35,10-24,7-9,7-8,1,1,"
2","
8",1,5,1,0,"
34","
+22
"
沙巴兹-内皮尔,G,25,3-5,1-1,2-2,0,3,"
3","
5",1,3,2,0,"
9","
+16
"
八村垒,F,30,4-8,1-2,6-7,1,7,"
8","
1",1,0,1,0,"
15","
+12
"
伊萨克-邦加,F,21,2-4,2-3,0-0,0,1,"
1","
1",4,0,1,1,"
6","
+15
"
托马斯-布莱恩特,C,15,5-6,1-1,1-1,1,1,"
2","
0",0,1,1,2,"
12","
+13
"
戴维斯-贝尔坦斯,F,30,9-14,8-10,3-3,1,3,"
4","
0",2,0,2,1,"
29","
+3"
杰罗姆-罗宾逊,G,22,2-5,0-2,2-2,0,3,"
3","
0",3,0,1,0,"
6","
-12"
伊斯梅尔-史密斯,G,21,3-9,0-0,0-0,0,4,"
4","
5",1,0,2,1,"
6","
+1"
特洛伊-布朗,F-G,17,0-4,0-1,2-2,1,4,"
5","
2",2,1,1,0,"
2","
-4"
莫里茨-瓦格纳,F-C,11,0-0,0-0,0-0,0,1,"
1","
2",3,0,1,0,"
0","
-3"
安热伊斯-帕塞奇尼克斯,C,11,1-1,0-0,1-2,0,1,"
1","
0",2,0,0,0,"
3","
+10"
加里-佩顿二世,G,2,1-2,0-1,0-0,0,0,"
0","
0",0,0,0,0,"
2","
-3"
加里森-马修斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约翰-沃尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乔纳森-威廉姆斯,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
伊安-马辛米,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿德米拉尔-斯科菲尔德,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
