国王
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
达龙-福克斯,G,32,7-16,0-4,9-10,2,1,"
3","
7",3,0,2,1,"
23","
+7"
波格丹-波格丹诺维奇,G,28,5-12,3-8,2-3,0,0,"
0","
0",3,4,1,0,"
15","
-1"
哈里森-巴恩斯,F,36,3-9,1-3,3-4,1,7,"
8","
4",1,1,1,0,"
10","
0"
内马尼亚-别利察,F,24,3-10,1-6,0-0,4,3,"
7","
2",2,1,1,0,"
7","
-1"
哈里-贾尔斯,C,20,5-9,0-0,2-2,2,5,"
7","
0",4,1,0,1,"
12","
-5"
肯特-贝兹莫尔,G-F,31,1-6,0-2,5-5,0,4,"
4","
2",4,0,2,0,"
7","
+6"
亚历克斯-莱恩,C,28,4-8,0-0,0-0,6,7,"
13","
0",3,0,0,5,"
8","
+9"
巴迪-希尔德,G,25,7-17,3-11,2-2,0,6,"
6","
2",0,0,3,0,"
19","
+16"
科里-约瑟夫,G,16,2-4,1-1,0-0,2,1,"
3","
1",0,1,0,0,"
5","
-1"
马文-巴格利,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾巴里-帕克,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯尔-盖伊,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾斯廷-詹姆斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约吉-费雷尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
达匡-杰弗里斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
里乔恩-霍姆斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
活塞
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
斯维亚托斯拉夫-米哈伊柳克,G,39,4-11,4-9,2-2,1,5,"
6","
2",5,0,4,0,"
14","
-2
"
德里克-罗斯,G,9,3-5,1-1,2-2,0,3,"
3","
2",1,0,1,0,"
9","
+11
"
托尼-斯内尔,F,38,3-9,3-6,3-3,0,4,"
4","
6",2,1,0,1,"
12","
+8
"
克里斯蒂安-伍德,F,35,7-16,1-4,5-7,2,10,"
12","
0",1,0,0,1,"
20","
+3
"
约翰-亨森,C,22,5-8,0-1,0-4,2,3,"
5","
3",1,2,2,1,"
10","
+6
"
布兰登-奈特,G,25,5-12,5-10,1-2,0,3,"
3","
7",3,0,4,0,"
16","
-12"
兰斯顿-加洛韦,G,24,4-12,3-8,0-0,1,1,"
2","
1",4,0,0,0,"
11","
-8"
塞古-敦布亚,F,16,1-3,0-1,3-4,0,3,"
3","
0",4,0,2,0,"
5","
-17"
Donta Hall,F,13,0-2,0-0,0-0,1,3,"
4","
0",1,0,0,1,"
0","
-8"
德里克-沃顿,G,13,1-1,1-1,0-0,0,0,"
0","
2",2,2,1,0,"
3","
-5"
凯里-托马斯,G,4,0-1,0-1,0-0,0,0,"
0","
0",1,1,0,0,"
0","
-6"
路易斯-金,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
索恩-梅克,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乔丹-博恩,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
布雷克-格里芬,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卢克-肯纳德,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
布鲁斯-布朗,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
