森林狼
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
丹吉洛-拉塞尔,G,37,6-18,2-9,2-3,1,8,"
9","
7",1,2,4,0,"
16","
-12"
马利克-比斯利,G,30,5-15,4-9,0-0,0,3,"
3","
1",1,1,1,0,"
14","
-21"
胡安-埃尔南戈麦斯,F,28,5-11,2-6,0-3,1,11,"
12","
1",4,0,1,1,"
12","
-24"
约什-奥科吉,F,23,4-8,1-2,0-0,3,3,"
6","
1",3,1,2,2,"
9","
-9"
纳兹-里德,C,27,4-13,0-2,1-2,5,7,"
12","
2",1,0,0,0,"
9","
+1"
贾勒特-卡尔弗,G-F,25,5-10,2-4,0-1,1,3,"
4","
2",1,1,0,0,"
12","
-11"
詹姆斯-约翰逊,F,24,2-4,0-1,0-0,2,2,"
4","
2",4,0,2,0,"
4","
-24"
乔丹-麦克劳克林,G,17,1-4,0-2,2-4,0,2,"
2","
3",0,4,1,0,"
4","
-12"
杰克-莱曼,F,15,2-7,1-2,1-2,0,2,"
2","
0",1,0,0,0,"
6","
+12"
凯勒-马丁,F,12,2-7,1-4,0-0,1,1,"
2","
0",1,0,2,0,"
5","
+1"
杰伦-诺埃尔,G,3,0-2,0-1,0-0,0,1,"
1","
0",0,0,0,0,"
0","
-1"
埃文-特纳,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卡尔-安东尼-唐斯,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
雅各布-埃文斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奥马里-斯佩尔曼,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾里德-范德比尔特,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
独行侠
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
德朗-赖特,G,32,2-9,0-3,0-0,0,8,"
8","
6",2,3,2,0,"
4","
+5
"
塞思-库里,G,30,11-17,3-7,2-4,0,1,"
1","
4",1,1,1,0,"
27","
+6
"
小蒂姆-哈达威,F,32,7-16,2-7,3-3,0,6,"
6","
0",1,2,1,0,"
19","
+37
"
多里安-芬尼-史密斯,F,31,4-6,0-0,1-2,2,9,"
11","
4",3,2,2,1,"
9","
+35
"
克里斯塔普斯-波尔津吉斯,C,37,13-25,6-14,6-10,2,11,"
13","
4",2,1,2,5,"
38","
+22
"
考特尼-李,G,21,2-4,0-0,0-0,1,3,"
4","
0",2,1,0,0,"
4","
+2"
贾斯廷-杰克逊,F,20,1-4,0-2,0-0,1,1,"
2","
0",1,0,1,0,"
2","
-13"
何塞-巴里亚,G,17,2-8,0-4,0-0,0,1,"
1","
7",1,0,2,0,"
4","
+12"
马克西-克勒贝尔,C,16,1-3,0-2,0-0,0,8,"
8","
2",3,0,2,1,"
2","
-11"
迈克尔-基德-吉尔克里斯特,F,3,0-0,0-0,0-0,0,1,"
1","
0",0,0,1,0,"
0","
+1"
博班-马里亚诺维奇,C,2,1-2,0-1,0-0,0,1,"
1","
1",0,0,0,0,"
2","
+4"
卢卡-东契奇,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德怀特-鲍威尔,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰伦-布伦森,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
威利-考利-斯坦,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
安东尼斯-克利夫兰,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约什-里夫斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
