尼克斯
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
RJ-巴雷特,G,30,10-18,3-8,4-7,0,5,"
5","
5",2,1,3,0,"
27","
-2"
埃尔弗里德-佩顿,G,19,2-7,0-1,0-0,0,6,"
6","
6",2,2,3,0,"
4","
+4"
朱利叶斯-兰德尔,F,30,5-14,0-1,6-8,6,10,"
16","
4",2,0,3,1,"
16","
-9"
莫里斯-哈克利斯,F,30,4-8,0-1,3-6,4,2,"
6","
2",5,0,2,0,"
11","
0"
泰-吉布森,C,24,3-7,0-0,2-2,4,6,"
10","
2",2,0,1,1,"
8","
-4"
弗朗克-尼利基纳,G,29,5-10,1-6,0-0,0,0,"
0","
4",2,2,2,0,"
11","
-2"
米切尔-罗宾逊,C-F,24,5-8,0-0,2-4,5,8,"
13","
0",1,0,0,0,"
12","
+5"
韦恩-艾灵顿,G,19,5-8,5-8,0-0,0,3,"
3","
2",1,0,0,2,"
15","
+1"
博比-波蒂斯,F-C,18,6-10,2-3,1-2,1,4,"
5","
0",1,1,2,2,"
15","
+11"
凯文-诺克斯,F,17,2-7,1-2,1-1,0,1,"
1","
1",1,0,1,1,"
6","
+6"
阿朗佐-特里尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
丹尼斯-史密斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
肯尼-伍滕,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
伊格纳斯-布拉兹代基斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
雷吉-布洛克,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
丹伊恩-多特森,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卡迪姆-阿伦,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
火箭
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
詹姆斯-哈登,G,39,8-22,3-13,16-16,1,1,"
2","
8",4,4,3,0,"
35","
+9
"
拉塞尔-威斯布鲁克,G,37,9-19,1-3,5-7,3,6,"
9","
3",3,0,6,1,"
24","
-9
"
罗伯特-科温顿,F,34,7-14,6-11,0-0,2,11,"
13","
2",4,2,0,1,"
20","
+8
"
丹纽尔-豪斯,F,30,7-15,4-11,2-2,0,2,"
2","
1",2,1,0,2,"
20","
+2
"
PJ-塔克,C,34,0-2,0-1,0-0,1,4,"
5","
3",5,1,1,0,"
0","
+6
"
埃里克-戈登,G-F,23,4-11,3-9,0-0,0,1,"
1","
3",0,0,1,0,"
11","
-6"
本-麦克勒摩,G,17,3-6,3-6,0-0,0,1,"
1","
1",2,2,0,0,"
9","
-5"
杰夫-格林,F,14,1-2,0-1,2-2,0,0,"
0","
2",0,1,1,1,"
4","
-8"
奥斯汀-里弗斯,G,12,0-3,0-1,0-0,1,0,"
1","
2",0,0,0,0,"
0","
-7"
迈克尔-弗雷泽,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
萨博-塞福洛沙,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
布鲁诺-卡博克洛,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德马雷-卡罗尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
泰森-钱德勒,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
以赛亚-哈尔滕施泰因,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
威廉-霍华德,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
克里斯-克莱蒙斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
