太阳
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
德文-布克,G,37,5-14,2-8,10-12,0,4,"
4","
10",5,1,3,0,"
22","
-16"
里基-卢比奥,G,35,5-11,2-4,4-4,1,3,"
4","
10",2,1,3,0,"
16","
-4"
米卡尔-布里奇斯,F,36,5-10,2-6,0-0,0,3,"
3","
3",2,0,4,0,"
12","
-23"
达里奥-沙里奇,F,23,6-8,2-3,2-2,0,3,"
3","
2",4,0,2,0,"
16","
0"
德安德烈-艾顿,C,39,5-14,0-0,3-4,4,10,"
14","
1",4,1,5,3,"
13","
-15"
卡梅伦-约翰逊,F,33,7-16,5-13,2-2,0,4,"
4","
2",2,1,1,3,"
21","
+3"
杰文-卡特,G,22,5-9,1-3,0-1,1,0,"
1","
1",2,0,0,0,"
11","
+3"
埃利-奥科博,G-F,14,1-3,1-2,0-0,0,2,"
2","
1",1,2,0,0,"
3","
+7"
泰-杰罗姆,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰伦-勒丘,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿隆-贝恩斯,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰里德-哈珀,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
塔里克-欧文斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯利-乌布雷,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
谢赫-迪亚洛,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
弗兰克-卡明斯基,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
猛龙
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
诺曼-鲍威尔,G,38,8-15,2-6,8-9,0,2,"
2","
4",4,2,3,1,"
26","
+8
"
凯尔-洛瑞,G,37,8-19,4-8,8-8,0,5,"
5","
6",1,1,3,0,"
28","
+18
"
OG-阿奴诺比,F,37,5-12,1-3,0-0,1,8,"
9","
2",6,2,1,1,"
11","
+13
"
帕特里克-麦考,F,34,2-6,0-2,1-2,0,3,"
3","
2",4,1,0,0,"
5","
+8
"
帕斯卡尔-西亚卡姆,C,43,12-20,5-9,4-6,1,6,"
7","
3",4,1,5,2,"
33","
+13
"
克里斯-布歇,F-C,29,5-12,2-5,7-8,6,9,"
15","
0",3,2,1,1,"
19","
+13"
朗戴-霍利斯-杰弗森,F,8,0-0,0-0,0-0,0,1,"
1","
0",1,0,1,0,"
0","
-14"
特伦斯-戴维斯,G,7,0-1,0-1,1-2,0,1,"
1","
0",1,0,1,0,"
1","
-12"
马特-托马斯,G,7,0-1,0-0,0-0,1,3,"
4","
0",1,0,0,0,"
0","
-2"
德万-埃尔南德斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
保罗-沃特森,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马克-加索尔,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马尔科姆-米勒,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
斯坦利-约翰逊,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
弗雷德-范弗利特,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奥谢-布里塞特,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
赛尔吉-伊巴卡,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
