湖人
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
埃弗里-布拉德利,G,34,4-9,2-5,0-0,0,5,"
5","
3",1,2,0,0,"
10","
+24"
丹尼-格林,G,26,3-7,1-4,0-0,3,2,"
5","
2",2,0,1,0,"
7","
+5"
安东尼-戴维斯,F,39,13-19,4-5,7-8,3,10,"
13","
2",1,4,2,2,"
37","
+30"
勒布朗-詹姆斯,F,34,9-16,2-5,2-3,1,6,"
7","
14",1,1,3,2,"
22","
-2"
贾维尔-麦基,C,15,3-4,0-0,0-0,1,4,"
5","
0",2,0,1,1,"
6","
-4"
肯塔维厄斯-考德威尔-波普,G,24,4-7,1-2,1-2,1,0,"
1","
0",3,0,0,0,"
10","
+11"
凯尔-库兹马,F,20,3-10,1-5,0-0,1,4,"
5","
0",3,0,1,0,"
7","
+18"
拉简-隆多,G,20,3-8,2-5,0-0,0,0,"
0","
3",4,1,2,0,"
8","
-2"
德怀特-霍华德,C,13,4-4,0-0,3-3,0,1,"
1","
0",1,1,0,0,"
11","
-1"
马基夫-莫里斯,F,13,0-2,0-2,2-2,0,0,"
0","
0",0,0,2,1,"
2","
-16"
贾里德-杜德利,F,1,0-0,0-0,0-0,0,1,"
1","
0",0,0,0,0,"
0","
+1"
奎因-库克,G,1,0-0,0-0,0-0,0,0,"
0","
1",0,0,1,0,"
0","
+1"
塔伦-霍顿-塔克,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德文泰-卡考克,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
亚历克斯-卡鲁索,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
科斯塔斯-阿德托昆博,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
76人
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
谢克-米尔顿,G,29,4-9,2-6,2-4,0,1,"
1","
6",4,3,5,0,"
12","
-8
"
马蒂斯-赛布尔,G,18,1-3,0-2,0-0,3,1,"
4","
3",0,1,1,0,"
2","
-5
"
迈克-斯科特,F,36,4-8,4-7,0-0,1,7,"
8","
2",4,1,1,0,"
12","
-9
"
托拜厄斯-哈里斯,F,33,8-18,2-6,0-1,2,5,"
7","
2",4,0,3,0,"
18","
-14
"
艾尔-霍弗德,C,33,2-8,0-2,4-5,3,8,"
11","
3",2,2,2,1,"
8","
-14
"
格伦-罗宾逊三世,F-G,31,10-15,3-5,2-2,1,3,"
4","
1",0,1,0,0,"
25","
-2"
富尔坎-科尔克马兹,G-F,24,4-10,3-5,0-0,0,2,"
2","
2",0,2,0,0,"
11","
0"
亚历克-伯克斯,G,22,2-7,1-5,7-8,1,3,"
4","
1",1,0,1,0,"
12","
-7"
劳尔-内托,G,10,3-5,1-2,0-0,0,0,"
0","
4",0,0,2,0,"
7","
-4"
诺维尔-佩莱,F-C,3,0-2,0-0,0-0,1,0,"
1","
0",2,0,0,0,"
0","
-2"
凯尔-奥奎因,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乔尔-恩比德,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马里亚尔-沙约克,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
扎伊尔-史密斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
本-西蒙斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约什-理查德森,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
