森林狼
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
马利克-比斯利,G,34,8-14,4-8,4-4,1,2,"
3","
2",1,0,3,0,"
24","
-5"
丹吉洛-拉塞尔,G,31,6-13,4-10,3-3,0,3,"
3","
4",1,1,6,0,"
19","
+23"
胡安-埃尔南戈麦斯,F,31,4-8,2-5,2-4,0,7,"
7","
2",2,1,1,0,"
12","
0"
约什-奥科吉,F,26,2-4,1-3,0-0,1,3,"
4","
2",3,0,2,0,"
5","
+4"
纳兹-里德,C,25,5-10,3-3,3-6,5,6,"
11","
3",2,0,0,2,"
16","
+12"
乔丹-麦克劳克林,G,27,5-10,0-2,0-2,1,0,"
1","
7",1,1,3,0,"
10","
-11"
詹姆斯-约翰逊,F,22,3-6,1-3,1-2,2,2,"
4","
5",3,2,3,3,"
8","
0"
贾勒特-卡尔弗,G-F,21,5-11,3-6,0-0,0,5,"
5","
0",2,0,0,0,"
13","
+3"
杰克-莱曼,F,14,1-2,0-1,0-0,0,2,"
2","
1",0,0,0,0,"
2","
+5"
凯勒-马丁,F,9,1-2,1-2,3-4,0,3,"
3","
1",0,0,0,0,"
6","
+4"
埃文-特纳,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卡尔-安东尼-唐斯,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
雅各布-埃文斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奥马里-斯佩尔曼,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰伦-诺埃尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾里德-范德比尔特,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
公牛
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
托马什-萨托兰斯基,G,30,5-11,0-1,0-0,1,4,"
5","
5",0,1,3,0,"
10","
-3
"
登泽尔-瓦伦丁,G,18,5-11,1-4,0-1,0,2,"
2","
0",2,1,1,0,"
11","
-5
"
沙奎尔-哈里森,F,29,5-8,3-3,4-6,1,1,"
2","
2",2,3,1,0,"
17","
-10
"
劳里-马尔卡宁,F,21,6-10,1-4,0-0,0,4,"
4","
0",0,0,1,0,"
13","
-5
"
温德尔-卡特,C,25,3-6,0-0,0-0,3,6,"
9","
1",2,1,1,1,"
6","
-14
"
科比-怀特,G,35,11-22,2-7,2-2,0,1,"
1","
6",2,0,0,0,"
26","
+3"
赛迪斯-杨,F,29,6-11,1-4,0-0,1,5,"
6","
4",3,3,1,2,"
13","
0"
里安-阿尔奇迪亚科诺,G,23,3-6,3-4,0-0,0,3,"
3","
2",2,2,0,0,"
9","
0"
奥托-波特,F,18,1-8,0-3,0-0,1,3,"
4","
3",0,0,1,1,"
2","
-4"
丹尼尔-加福德,F-C,10,0-1,0-0,1-2,1,1,"
2","
0",5,0,1,0,"
1","
+1"
克里斯蒂亚诺-费利西奥,F-C,3,0-0,0-0,0-0,1,0,"
1","
1",1,0,0,0,"
0","
+2"
克里斯-邓恩,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
钱德勒-哈奇森,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
亚当-莫科卡,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
扎克-拉文,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马克思-斯特鲁斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卢克-科内特,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
