勇士
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
达米恩-李,G,36,8-17,5-12,2-4,0,5,"
5","
3",6,1,2,0,"
23","
-1"
斯蒂芬-库里,G,27,6-16,3-12,8-8,0,6,"
6","
7",1,0,1,0,"
23","
-13"
安德鲁-威金斯,F,37,9-20,3-9,0-1,5,5,"
10","
2",3,0,2,1,"
21","
-11"
胡安-托斯卡诺-安德森,F,22,1-4,0-2,0-0,2,3,"
5","
3",3,1,0,0,"
2","
-14"
马基斯-克里斯,C,30,6-14,0-1,5-6,5,7,"
12","
4",2,1,1,2,"
17","
+5"
埃里克-帕斯卡尔,F,32,6-10,1-4,3-4,0,4,"
4","
8",2,0,3,0,"
16","
+7"
迈克尔-穆尔德,G,24,3-9,2-8,0-0,0,3,"
3","
1",2,1,2,0,"
8","
+1"
德拉甘-本德尔,F,16,1-6,0-3,1-2,2,3,"
5","
4",3,0,1,0,"
3","
-11"
乔丹-普尔,G,16,0-2,0-1,0-0,0,2,"
2","
2",1,0,3,1,"
0","
-3"
德雷蒙德-格林,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯-鲍曼,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
克莱-汤普森,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯文-卢尼,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
查森-兰德尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿伦-斯马伊拉吉奇,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
猛龙
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
诺曼-鲍威尔,G,38,13-20,4-8,7-7,0,3,"
3","
2",5,3,3,0,"
37","
+7
"
凯尔-洛瑞,G,33,6-14,4-12,10-10,0,5,"
5","
10",4,2,3,0,"
26","
+1
"
帕斯卡尔-西亚卡姆,F,38,5-17,0-7,7-9,0,5,"
5","
5",4,1,3,1,"
17","
-2
"
OG-阿奴诺比,F,38,5-7,3-4,1-2,2,2,"
4","
0",2,3,0,0,"
14","
+11
"
赛尔吉-伊巴卡,C,30,6-11,1-3,0-0,1,12,"
13","
3",3,0,0,1,"
13","
-2
"
帕特里克-麦考,G-F,24,0-1,0-1,0-0,0,2,"
2","
3",1,0,0,0,"
0","
+5"
特伦斯-戴维斯,G,17,3-7,1-3,3-3,0,2,"
2","
4",2,0,2,0,"
10","
+10"
朗戴-霍利斯-杰弗森,F,8,0-1,0-0,0-0,0,3,"
3","
1",0,1,0,0,"
0","
+1"
克里斯-布歇,F-C,8,1-2,0-1,0-0,0,1,"
1","
0",2,0,0,1,"
2","
+9"
马特-托马斯,G,6,1-3,0-2,0-0,0,1,"
1","
0",1,0,1,0,"
2","
0"
弗雷德-范弗利特,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
斯坦利-约翰逊,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奥谢-布里塞特,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马克-加索尔,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
保罗-沃特森,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德万-埃尔南德斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马尔科姆-米勒,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
