国王
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
达龙-福克斯,G,36,9-17,0-4,5-6,0,3,"
3","
7",2,1,1,1,"
23","
-12"
波格丹-波格丹诺维奇,G,35,5-8,1-4,2-2,0,6,"
6","
5",1,1,1,0,"
13","
-4"
哈里森-巴恩斯,F,38,5-10,2-3,3-4,1,5,"
6","
5",0,0,1,0,"
15","
-16"
内马尼亚-别利察,F,31,3-8,1-5,0-0,0,5,"
5","
3",2,0,1,0,"
7","
-14"
哈里-贾尔斯,C,15,5-8,0-0,0-0,1,1,"
2","
1",3,1,2,0,"
10","
-15"
肯特-贝兹莫尔,G-F,33,5-9,1-3,3-4,1,8,"
9","
0",4,1,3,1,"
14","
-2"
巴迪-希尔德,G,25,8-16,6-10,0-0,0,1,"
1","
1",4,3,3,0,"
22","
-5"
亚历克斯-莱恩,C,15,2-2,0-0,0-2,1,3,"
4","
0",3,0,4,0,"
4","
-9"
科里-约瑟夫,G,12,0-1,0-0,0-0,0,1,"
1","
1",2,0,1,2,"
0","
-8"
马文-巴格利,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾巴里-帕克,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯尔-盖伊,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾斯廷-詹姆斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约吉-费雷尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
达匡-杰弗里斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
里乔恩-霍姆斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
76人
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
谢克-米尔顿,G,27,8-14,3-5,1-1,0,3,"
3","
3",4,1,1,1,"
20","
+19
"
马蒂斯-赛布尔,G,19,1-3,0-2,1-2,2,0,"
2","
1",3,1,1,0,"
3","
+13
"
托拜厄斯-哈里斯,F,36,11-22,4-6,2-3,4,10,"
14","
3",1,0,2,1,"
28","
+21
"
迈克-斯科特,F,25,5-10,1-3,0-0,3,4,"
7","
4",1,0,1,0,"
11","
+11
"
艾尔-霍弗德,C,36,7-14,2-6,2-2,3,5,"
8","
6",1,0,1,0,"
18","
+41
"
格伦-罗宾逊三世,F-G,29,2-6,1-3,0-0,1,4,"
5","
1",2,0,0,0,"
5","
-2"
富尔坎-科尔克马兹,G-F,25,2-7,1-3,2-2,0,1,"
1","
3",2,3,3,0,"
7","
-3"
劳尔-内托,G,21,5-8,2-3,4-5,0,2,"
2","
2",2,1,2,0,"
16","
-2"
亚历克-伯克斯,G,19,6-12,3-6,2-2,1,2,"
3","
1",2,2,1,0,"
17","
-1"
诺维尔-佩莱,F-C,3,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
-12"
凯尔-奥奎因,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乔尔-恩比德,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马里亚尔-沙约克,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
扎伊尔-史密斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
本-西蒙斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约什-理查德森,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
