公牛
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
登泽尔-瓦伦丁,G,27,6-17,1-7,0-0,3,3,"
6","
2",3,2,1,0,"
13","
-6"
托马什-萨托兰斯基,G,26,2-8,0-3,2-2,3,4,"
7","
8",0,1,5,0,"
6","
-9"
沙奎尔-哈里森,F,34,9-14,5-6,2-2,1,3,"
4","
4",4,3,0,2,"
25","
+5"
劳里-马尔卡宁,F,22,1-10,0-5,1-2,1,4,"
5","
0",0,1,1,1,"
3","
-4"
温德尔-卡特,C,26,2-4,0-1,4-4,2,4,"
6","
1",5,0,4,0,"
8","
-8"
科比-怀特,G,38,10-21,3-10,3-3,0,2,"
2","
6",2,1,2,0,"
26","
-4"
赛迪斯-杨,F,26,3-10,0-5,0-0,2,5,"
7","
3",3,4,1,1,"
6","
-2"
丹尼尔-加福德,F-C,19,3-4,0-0,1-2,2,1,"
3","
2",3,0,2,1,"
7","
+7"
奥托-波特,F,19,4-9,0-1,0-0,3,2,"
5","
1",4,0,1,1,"
8","
-4"
克里斯蒂亚诺-费利西奥,F-C,3,0-0,0-0,0-0,0,0,"
0","
0",1,0,0,0,"
0","
-5"
克里斯-邓恩,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
钱德勒-哈奇森,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
亚当-莫科卡,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
里安-阿尔奇迪亚科诺,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
扎克-拉文,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马克思-斯特鲁斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卢克-科内特,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
步行者
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
阿龙-霍勒迪,G,34,2-6,0-2,5-6,0,3,"
3","
4",3,2,1,1,"
9","
+2
"
维克托-奥拉迪波,G,26,5-10,2-4,4-6,0,3,"
3","
4",2,2,4,0,"
16","
+9
"
多曼塔斯-萨博尼斯,F,36,10-14,1-1,3-6,4,8,"
12","
3",1,1,7,0,"
24","
-1
"
布赖恩-鲍恩二世,F,15,0-4,0-1,0-0,1,3,"
4","
0",2,0,1,0,"
0","
+3
"
迈尔斯-特纳,C,35,5-12,0-2,5-6,2,6,"
8","
1",3,0,0,4,"
15","
0
"
贾斯廷-霍勒迪,F-G,25,3-7,2-5,1-1,0,3,"
3","
0",2,1,2,1,"
9","
-6"
埃德蒙-萨姆纳,G,24,5-11,2-5,0-0,1,2,"
3","
5",0,0,2,1,"
12","
+7"
TJ-麦康奈尔,G,19,2-2,1-1,0-0,1,3,"
4","
4",1,1,2,0,"
5","
+3"
亚卡尔-桑普森,F,17,5-6,0-0,4-6,1,4,"
5","
3",1,1,1,0,"
14","
+7"
戈加-比塔泽,C-F,7,1-3,0-1,2-2,0,1,"
1","
0",1,1,1,1,"
4","
+6"
TJ-利夫,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰里米-兰姆,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
纳兹-米特鲁-朗,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
道格-麦克德莫特,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
TJ-沃伦,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿利兹-约翰逊 ,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马尔科姆-布罗格登,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
