太阳
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
德文-布克,G,39,8-20,3-9,4-4,0,5,"
5","
12",4,1,3,0,"
23","
-3"
里基-卢比奥,G,33,5-11,1-3,2-2,1,3,"
4","
10",4,2,1,0,"
13","
+32"
米卡尔-布里奇斯,F,39,7-10,2-4,2-2,2,3,"
5","
2",1,2,2,1,"
18","
+23"
达里奥-沙里奇,F,38,9-13,2-4,4-5,3,5,"
8","
0",2,3,1,1,"
24","
+3"
阿隆-贝恩斯,C,36,12-23,9-14,4-4,6,10,"
16","
1",4,1,2,2,"
37","
+17"
谢赫-迪亚洛,F-C,15,1-4,0-0,0-0,1,4,"
5","
1",0,0,1,0,"
2","
0"
杰文-卡特,G,14,2-5,1-4,2-2,1,1,"
2","
0",2,0,1,0,"
7","
-13"
泰-杰罗姆,G-F,14,1-2,1-2,0-0,0,1,"
1","
0",1,0,0,0,"
3","
+9"
埃利-奥科博,G-F,12,0-3,0-2,0-0,1,0,"
1","
3",4,0,1,0,"
0","
-18"
杰伦-勒丘,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰里德-哈珀,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
塔里克-欧文斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯利-乌布雷,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德安德烈-艾顿,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卡梅伦-约翰逊,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
弗兰克-卡明斯基,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
开拓者
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
CJ-麦科勒姆,G,39,10-20,3-8,2-2,1,2,"
3","
8",4,1,1,1,"
25","
-7
"
达米安-利拉德,G,38,6-16,3-7,9-10,0,3,"
3","
6",2,0,4,0,"
24","
-6
"
特雷沃-阿里扎,F,36,5-9,3-5,4-5,2,3,"
5","
3",4,1,3,0,"
17","
-5
"
卡梅罗-安东尼,F,34,3-12,1-3,0-0,0,4,"
4","
2",2,0,2,0,"
7","
-8
"
哈桑-怀特塞德,C,40,11-14,1-1,0-3,5,15,"
20","
1",1,0,3,4,"
23","
0
"
小加里-特伦特,G-F,21,4-10,0-5,1-2,0,1,"
1","
0",2,2,1,0,"
9","
-5"
马里奥-海佐尼亚,F-G,13,1-2,1-1,0-0,0,0,"
0","
3",0,0,0,1,"
3","
0"
安芬尼-西蒙斯,G,10,2-3,0-1,0-0,0,0,"
0","
0",1,1,0,0,"
4","
-10"
韦尼恩-加布里埃尔,F,5,1-1,1-1,2-2,1,1,"
2","
0",2,1,0,0,"
5","
-4"
凯莱布-斯瓦尼根,F,4,0-0,0-0,0-0,0,1,"
1","
3",1,0,2,0,"
0","
-5"
摩西-布朗,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
纳西尔-利特尔,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
优素福-努尔基奇,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
扎克-科林斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
罗德尼-胡德,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰伦-霍尔德,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
