尼克斯
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
埃尔弗里德-佩顿,G,30,7-12,0-1,4-4,1,8,"
9","
8",1,0,2,0,"
18","
-11"
RJ-巴雷特,G,29,5-12,1-3,6-6,0,4,"
4","
3",3,1,4,0,"
17","
-11"
朱利叶斯-兰德尔,F,28,5-10,0-2,2-2,2,6,"
8","
0",2,0,3,0,"
12","
-16"
莫里斯-哈克利斯,F,18,1-3,0-1,1-2,0,0,"
0","
1",4,1,0,0,"
3","
-10"
泰-吉布森,C,12,3-7,0-0,0-0,3,1,"
4","
0",0,0,1,1,"
6","
-11"
博比-波蒂斯,F-C,27,6-11,0-1,2-3,0,7,"
7","
0",1,1,0,1,"
14","
-17"
米切尔-罗宾逊,C-F,22,5-5,0-0,1-2,2,2,"
4","
0",3,0,1,3,"
11","
-11"
韦恩-艾灵顿,G,13,1-4,1-2,0-0,0,1,"
1","
4",1,0,0,0,"
3","
0"
丹伊恩-多特森,G,13,2-8,0-2,0-1,2,1,"
3","
0",0,1,0,0,"
4","
-6"
凯文-诺克斯,F,13,1-7,0-4,1-2,2,3,"
5","
0",1,0,0,2,"
3","
+7"
阿朗佐-特里尔,G,12,2-4,1-3,0-0,1,0,"
1","
3",1,0,0,0,"
5","
-6"
雷吉-布洛克,G-F,11,0-2,0-2,0-0,0,2,"
2","
0",1,0,0,1,"
0","
-5"
弗朗克-尼利基纳,G,10,3-6,1-3,0-0,0,0,"
0","
0",2,0,1,0,"
7","
-18"
丹尼斯-史密斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
肯尼-伍滕,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
伊格纳斯-布拉兹代基斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卡迪姆-阿伦,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
雷霆
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
克里斯-保罗,G,30,8-13,4-6,1-1,0,3,"
3","
12",1,3,1,0,"
21","
+12
"
吕冈茨-多尔特,G,21,3-8,0-1,0-0,1,1,"
2","
1",3,0,0,0,"
6","
+10
"
达尼罗-加里纳利,F,28,7-13,3-6,5-6,0,1,"
1","
2",1,0,0,0,"
22","
+18
"
谢伊-吉尔杰斯-亚历山大,F,22,6-10,1-3,5-6,0,3,"
3","
5",4,2,0,0,"
18","
+14
"
史蒂文-亚当斯,C,24,5-8,0-0,2-2,6,5,"
11","
1",0,0,0,2,"
12","
+14
"
丹尼斯-施罗德,G,30,5-16,2-5,4-5,0,5,"
5","
3",4,2,1,0,"
16","
+21"
哈米杜-迪亚洛,G-F,26,5-8,1-2,1-3,1,3,"
4","
0",3,0,0,1,"
12","
+14"
阿卜杜勒-纳迪尔,F,20,3-9,1-4,2-2,1,2,"
3","
1",0,1,1,0,"
9","
+5"
纳伦斯-诺埃尔,C-F,19,4-6,0-0,0-0,1,2,"
3","
0",0,0,0,3,"
8","
+18"
特伦斯-弗格森,G-F,11,0-2,0-2,0-0,0,1,"
1","
1",0,0,1,0,"
0","
+3"
迈克-穆斯卡拉,F-C,6,0-1,0-1,0-0,0,1,"
1","
0",2,0,0,0,"
0","
-9"
德翁特-伯顿,G-F,4,1-2,0-1,0-0,0,1,"
1","
0",0,0,0,0,"
2","
-5"
达里厄斯-贝兹利,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
安德烈-罗伯森,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯文-赫维,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
以赛亚-罗比,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
