森林狼
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
马利克-比斯利,G,28,14-21,1-5,0-0,0,4,"
4","
1",0,0,1,0,"
29","
-20"
丹吉洛-拉塞尔,G,23,2-14,0-4,1-2,0,5,"
5","
3",1,0,0,0,"
5","
-14"
胡安-埃尔南戈麦斯,F,30,3-9,1-5,1-2,2,6,"
8","
1",5,1,0,0,"
8","
-17"
约什-奥科吉,F,21,1-2,1-1,0-0,2,2,"
4","
0",2,0,1,0,"
3","
-25"
纳兹-里德,C,28,5-14,1-5,5-6,1,2,"
3","
3",4,1,2,1,"
16","
-14"
乔丹-麦克劳克林,G,28,6-10,2-4,0-0,1,2,"
3","
9",4,1,1,0,"
14","
+1"
贾勒特-卡尔弗,G-F,27,3-7,1-3,0-0,3,1,"
4","
2",2,0,2,0,"
7","
+11"
詹姆斯-约翰逊,F,19,3-7,2-5,1-2,0,2,"
2","
7",1,1,1,2,"
9","
-3"
杰克-莱曼,F,18,5-8,1-3,3-3,1,1,"
2","
1",0,1,0,0,"
14","
+3"
杰伦-诺埃尔,G,12,3-4,0-1,5-5,0,0,"
0","
2",2,1,0,0,"
11","
+5"
凯勒-马丁,F,5,1-2,0-1,0-0,0,1,"
1","
1",0,0,0,0,"
2","
+3"
埃文-特纳,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卡尔-安东尼-唐斯,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
雅各布-埃文斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奥马里-斯佩尔曼,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾里德-范德比尔特,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
魔术
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
马克尔-富尔茨,G,27,11-14,0-1,2-5,0,5,"
5","
5",3,1,1,1,"
24","
+16
"
韦斯利-艾旺杜,G,23,3-5,0-1,2-2,0,2,"
2","
1",2,0,0,1,"
8","
+21
"
阿龙-戈登,F,37,6-15,0-4,3-6,2,8,"
10","
4",0,1,1,1,"
15","
+18
"
詹姆斯-恩尼斯,F,25,1-2,1-2,0-0,0,5,"
5","
3",3,0,1,0,"
3","
+1
"
尼古拉-武切维奇,C,36,12-21,1-2,3-3,3,9,"
12","
4",3,1,3,0,"
28","
+23
"
特伦斯-罗斯,G-F,34,7-10,2-4,0-0,0,3,"
3","
4",2,1,0,1,"
16","
-2"
DJ-奥古斯丁,G,27,4-7,1-3,9-11,0,3,"
3","
5",1,0,2,0,"
18","
-2"
迈克尔-卡特-威廉姆斯,G,22,6-7,1-2,4-4,1,1,"
2","
5",1,1,2,0,"
17","
+1"
穆罕默德-班巴,C,7,1-3,1-2,0-0,0,2,"
2","
0",2,0,0,1,"
3","
-5"
加里-克拉克,F,2,0-0,0-0,0-0,0,1,"
1","
0",1,0,0,0,"
0","
-1"
肯-伯奇,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
埃文-富尼耶,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
维克-劳,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乔纳森-艾萨克,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
艾尔-法鲁克-阿米奴,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
梅尔文-弗雷泽,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
BJ-约翰逊,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
