开拓者
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
CJ-麦科勒姆,G,34,7-15,1-7,4-6,1,3,"
4","
6",4,2,3,0,"
19","
-18"
达米安-利拉德,G,33,4-15,2-10,2-4,0,3,"
3","
6",1,2,1,0,"
12","
-19"
特雷沃-阿里扎,F,29,1-6,1-5,2-2,0,7,"
7","
2",0,0,1,0,"
5","
-15"
卡梅罗-安东尼,F,23,2-5,1-2,3-4,1,3,"
4","
3",1,0,0,0,"
8","
-18"
哈桑-怀特塞德,C,30,8-11,0-0,3-5,2,9,"
11","
0",1,0,4,3,"
19","
-18"
马里奥-海佐尼亚,F-G,23,7-11,2-4,0-0,1,2,"
3","
1",1,1,1,0,"
16","
+1"
小加里-特伦特,G-F,22,5-9,2-5,2-2,0,0,"
0","
0",2,0,0,0,"
14","
-9"
安芬尼-西蒙斯,G,19,3-8,0-2,0-0,2,0,"
2","
1",4,1,1,0,"
6","
+3"
韦尼恩-加布里埃尔,F,15,3-5,1-2,1-2,3,2,"
5","
0",1,2,0,0,"
8","
+9"
纳西尔-利特尔,F-G,6,2-4,0-2,0-1,0,0,"
0","
1",1,1,0,0,"
4","
+12"
凯莱布-斯瓦尼根,F,6,0-0,0-0,0-0,0,2,"
2","
2",0,0,0,0,"
0","
+12"
摩西-布朗,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
优素福-努尔基奇,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
扎克-科林斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
罗德尼-胡德,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰伦-霍尔德,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
国王
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
波格丹-波格丹诺维奇,G,29,10-15,7-11,0-0,0,5,"
5","
8",3,1,1,1,"
27","
+14
"
达龙-福克斯,G,28,3-11,0-2,8-8,0,5,"
5","
11",1,2,1,0,"
14","
+25
"
哈里森-巴恩斯,F,35,7-13,5-7,1-2,2,3,"
5","
1",2,0,0,0,"
20","
+17
"
内马尼亚-别利察,F,20,3-7,1-3,3-3,1,2,"
3","
2",1,0,3,0,"
10","
+14
"
哈里-贾尔斯,C,18,3-5,0-0,0-0,0,7,"
7","
0",2,1,1,0,"
6","
+10
"
巴迪-希尔德,G,26,8-14,6-9,0-0,1,2,"
3","
3",1,2,2,0,"
22","
-3"
肯特-贝兹莫尔,G-F,25,3-6,2-4,0-0,0,7,"
7","
4",3,3,2,0,"
8","
+5"
科里-约瑟夫,G,24,1-4,0-2,2-2,0,0,"
0","
1",4,0,1,1,"
4","
-5"
里乔恩-霍姆斯,F-C,19,3-8,0-0,4-6,5,3,"
8","
0",5,0,2,1,"
10","
+2"
亚历克斯-莱恩,C,10,0-1,0-0,0-0,2,2,"
4","
0",1,0,1,0,"
0","
-6"
约吉-费雷尔,G,4,0-1,0-1,2-2,0,0,"
0","
0",0,0,0,0,"
2","
-7"
贾斯廷-詹姆斯,G-F,2,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
-6"
达匡-杰弗里斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯尔-盖伊,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾巴里-帕克,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马文-巴格利,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
