黄蜂
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
特里-罗齐尔,G,38,8-15,6-9,2-3,1,2,"
3","
6",1,1,3,0,"
24","
+10"
德文特-格雷厄姆,G,32,7-12,4-8,5-5,0,0,"
0","
6",1,1,3,0,"
23","
+18"
PJ-华盛顿,F,33,8-11,3-6,3-3,0,5,"
5","
3",1,0,1,0,"
22","
+3"
迈尔斯-布里奇斯,F,27,3-11,0-4,4-4,0,3,"
3","
1",2,0,0,0,"
10","
+2"
科迪-泽勒,C,28,5-6,0-0,3-4,0,5,"
5","
1",2,3,4,0,"
13","
+25"
科迪-马丁,F-G,29,1-6,0-1,1-4,1,0,"
1","
9",3,2,1,0,"
3","
-1"
凯莱布-马丁,F-G,22,2-4,2-3,0-0,0,0,"
0","
2",3,0,2,1,"
6","
-4"
吉列尔莫-埃尔南戈麦斯,C-F,18,1-2,0-0,1-2,4,7,"
11","
1",0,0,1,0,"
3","
-6"
杰伦-麦克丹尼尔斯,F-C,13,2-3,0-1,0-0,0,2,"
2","
0",2,0,2,0,"
4","
-2"
德维恩-培根,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马利克-蒙克,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乔-奇利,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
雷-斯波尔丁,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
俾斯麦-比永博,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
尼古拉斯-巴图姆,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
科比-西蒙斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
火箭
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
詹姆斯-哈登,G,45,8-22,2-11,12-14,1,9,"
10","
14",5,2,10,0,"
30","
-9
"
本-麦克勒摩,G,15,1-3,0-2,0-0,0,2,"
2","
0",0,0,1,0,"
2","
-11
"
罗伯特-科温顿,F,38,9-16,7-13,0-0,2,4,"
6","
0",3,1,3,2,"
25","
-23
"
丹纽尔-豪斯,F,26,1-4,1-4,0-0,0,3,"
3","
2",3,1,1,0,"
3","
-22
"
PJ-塔克,C,36,1-5,1-5,0-0,2,6,"
8","
1",3,0,2,0,"
3","
-25
"
奥斯汀-里弗斯,G,32,2-7,2-4,1-4,2,1,"
3","
1",5,2,2,0,"
7","
+6"
杰夫-格林,F,29,10-15,0-3,0-0,5,3,"
8","
2",4,3,1,1,"
20","
+28"
德马雷-卡罗尔,F,18,3-4,2-3,1-2,1,1,"
2","
2",2,0,0,0,"
9","
+11"
克里斯-克莱蒙斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迈克尔-弗雷泽,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
萨博-塞福洛沙,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
拉塞尔-威斯布鲁克,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
布鲁诺-卡博克洛,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
泰森-钱德勒,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
以赛亚-哈尔滕施泰因,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
威廉-霍华德,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
埃里克-戈登,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
