快船
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
保罗-乔治,G,37,9-16,3-7,10-11,2,4,"
6","
3",4,3,4,1,"
31","
-10"
帕特里克-贝弗利,G,26,1-3,0-0,0-0,1,3,"
4","
1",3,1,3,0,"
2","
-16"
科怀-伦纳德,F,37,9-18,2-9,7-8,0,2,"
2","
0",2,0,1,1,"
27","
-17"
马库斯-莫里斯,F,29,0-9,0-7,1-2,1,5,"
6","
1",5,1,1,0,"
1","
-13"
伊维察-祖巴茨,C,14,1-4,0-0,3-4,4,3,"
7","
1",4,0,0,1,"
5","
-9"
蒙特雷兹-哈勒尔,F-C,34,7-10,0-0,6-11,3,5,"
8","
1",4,0,2,2,"
20","
-3"
路易斯-威廉姆斯,G,28,3-11,1-3,0-0,0,5,"
5","
3",1,0,1,0,"
7","
+6"
雷吉-杰克逊,G,14,3-7,1-2,1-1,0,3,"
3","
0",1,0,1,0,"
8","
+4"
杰迈克尔-格林,F-C,11,1-5,0-2,0-0,3,4,"
7","
1",1,0,1,0,"
2","
+6"
兰德里-沙梅特,G,8,0-3,0-1,0-0,1,0,"
1","
1",1,0,1,0,"
0","
+1"
阿米尔-科菲,G-F,1,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
+3"
罗德尼-麦格鲁德,G,1,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
+3"
菲翁杜-卡本盖莱,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
特伦斯-曼,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
帕特里克-帕特森,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乔纳森-莫特利,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
湖人
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
埃弗里-布拉德利,G,33,9-17,6-12,0-0,0,3,"
3","
1",2,2,3,0,"
24","
+13
"
丹尼-格林,G,25,0-3,0-2,0-0,1,3,"
4","
0",3,2,1,1,"
0","
+3
"
勒布朗-詹姆斯,F,35,7-17,2-6,12-14,1,6,"
7","
9",3,0,2,2,"
28","
+7
"
安东尼-戴维斯,F,34,11-19,1-4,7-8,1,7,"
8","
2",5,2,1,1,"
30","
+12
"
贾维尔-麦基,C,12,1-2,0-0,3-4,0,3,"
3","
0",2,0,1,0,"
5","
+7
"
肯塔维厄斯-考德威尔-波普,G,28,4-6,1-2,0-0,0,1,"
1","
1",3,0,0,0,"
9","
+9"
凯尔-库兹马,F,22,3-8,0-4,2-2,3,7,"
10","
0",2,1,0,2,"
8","
-1"
拉简-隆多,G,22,2-8,0-2,0-0,1,1,"
2","
7",3,0,2,0,"
4","
0"
马基夫-莫里斯,F,16,2-5,0-3,0-0,1,4,"
5","
0",3,0,1,1,"
4","
+7"
德怀特-霍华德,C,7,0-1,0-0,0-0,1,1,"
2","
1",1,0,1,0,"
0","
-9"
亚历克斯-卡鲁索,G,7,0-1,0-0,0-0,0,0,"
0","
1",1,1,0,0,"
0","
-3"
德文泰-卡考克,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
塔伦-霍顿-塔克,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾里德-杜德利,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奎因-库克,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迪昂-韦特斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
科斯塔斯-阿德托昆博,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
