骑士
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
马修-戴拉维多瓦,G,45,3-11,2-6,6-7,0,2,"
2","
11",2,1,4,0,"
14","
-2"
科林-塞克斯顿,G,39,8-19,1-5,9-11,1,0,"
1","
4",3,1,7,0,"
26","
+2"
凯文-乐福,F,40,3-12,1-5,7-8,3,15,"
18","
3",4,0,4,0,"
14","
+14"
切迪-奥斯曼,F,37,6-14,4-8,3-4,1,3,"
4","
6",2,2,1,0,"
19","
-4"
安德烈-德拉蒙德,C,33,11-16,0-2,6-11,4,13,"
17","
1",5,0,1,3,"
28","
+18"
小拉里-南斯,F-C,43,7-13,3-5,2-2,2,8,"
10","
0",2,0,0,0,"
19","
+3"
阿方索-麦金尼,F,19,4-6,2-2,0-0,3,2,"
5","
1",4,0,1,1,"
10","
-9"
特里斯坦-汤普森,C-F,8,1-3,0-1,0-2,0,3,"
3","
0",2,0,0,0,"
2","
-7"
丹特-埃克萨姆,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
小凯文-波特,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迪恩-韦德,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
达里厄斯-加兰,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
谢尔登-麦克莱伦,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马特-穆尼,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
Sir'Dominic Pointer,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迪伦-温德勒,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
安特-日日奇,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马刺
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
布林-福布斯,G,32,6-12,4-8,3-3,0,1,"
1","
1",2,0,1,0,"
19","
+1
"
德章泰-默里,G,31,8-18,1-1,0-0,2,5,"
7","
6",6,6,0,1,"
17","
+3
"
德马尔-德罗赞,F,42,7-19,0-0,11-12,0,8,"
8","
4",5,2,3,0,"
25","
-8
"
德鲁-尤班克斯,F,22,2-4,0-0,2-2,1,5,"
6","
1",4,1,2,2,"
6","
+7
"
特雷-莱尔斯,C,41,4-10,0-3,5-6,1,8,"
9","
2",2,1,1,1,"
13","
-12
"
鲁迪-盖伊,F-G,36,7-19,3-9,2-2,1,8,"
9","
0",4,1,1,2,"
19","
-5"
德里克-怀特,G,25,4-7,1-2,8-9,0,0,"
0","
3",5,1,1,0,"
17","
-7"
帕蒂-米尔斯,G,19,3-6,1-3,0-0,0,0,"
0","
2",4,1,0,0,"
7","
+2"
凯尔登-约翰逊,F-G,17,2-3,0-0,2-2,1,3,"
4","
1",2,2,0,0,"
6","
+5"
奇梅齐耶-梅图,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卢卡-沙马尼奇,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马科-贝里内利,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
拉马库斯-阿尔德里奇,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奎因达里-韦瑟斯庞,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
朗尼-沃克,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
雅各布-珀尔特尔,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
