76人
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
约什-理查德森,G,30,2-6,1-2,3-4,0,1,"
1","
1",2,0,0,2,"
8","
+11"
谢克-米尔顿,G,28,5-11,1-4,1-2,0,0,"
0","
4",3,1,2,0,"
12","
+1"
托拜厄斯-哈里斯,F,29,5-14,1-7,4-4,1,6,"
7","
5",2,0,0,0,"
15","
+4"
艾尔-霍弗德,F,29,8-11,4-6,0-0,2,8,"
10","
6",1,0,2,2,"
20","
+4"
乔尔-恩比德,C,27,9-17,2-3,10-12,5,9,"
14","
3",3,1,4,0,"
30","
+10"
富尔坎-科尔克马兹,G-F,21,5-7,3-4,4-5,0,4,"
4","
2",2,0,1,0,"
17","
+15"
亚历克-伯克斯,G,20,1-5,1-3,4-4,1,3,"
4","
3",1,2,3,0,"
7","
+17"
迈克-斯科特,F,19,2-4,0-1,0-1,3,2,"
5","
3",2,0,0,0,"
4","
+14"
马蒂斯-赛布尔,G-F,18,4-5,1-2,0-0,0,0,"
0","
1",0,3,1,0,"
9","
+9"
格伦-罗宾逊三世,F,16,1-3,0-1,0-0,1,2,"
3","
0",1,0,0,0,"
2","
+4"
凯尔-奥奎因,C-F,3,0-0,0-0,0-0,0,2,"
2","
0",1,0,0,0,"
0","
+1"
劳尔-内托,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
诺维尔-佩莱,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
扎伊尔-史密斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
本-西蒙斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马里亚尔-沙约克,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
活塞
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
布兰登-奈特,G,34,1-7,1-6,3-5,1,4,"
5","
6",4,0,3,0,"
6","
-6
"
斯维亚托斯拉夫-米哈伊柳克,G,24,4-13,3-9,5-5,0,2,"
2","
4",1,2,1,0,"
16","
-1
"
克里斯蒂安-伍德,F,39,14-18,3-4,1-4,1,6,"
7","
2",1,3,3,2,"
32","
-4
"
托尼-斯内尔,F,28,3-5,0-1,3-3,0,1,"
1","
3",3,3,1,0,"
9","
+1
"
索恩-梅克,C,17,5-9,2-4,1-2,2,1,"
3","
1",4,0,0,1,"
13","
+4
"
兰斯顿-加洛韦,G,28,6-12,1-4,0-0,1,1,"
2","
3",0,1,0,0,"
13","
-21"
乔丹-麦克雷,G,27,4-13,0-3,2-2,0,7,"
7","
3",1,0,0,0,"
10","
-23"
塞古-敦布亚,F,23,1-4,0-1,0-0,0,1,"
1","
2",2,0,0,0,"
2","
-19"
凯里-托马斯,G,14,1-3,1-3,1-2,0,0,"
0","
1",4,1,0,0,"
4","
-12"
Donta Hall,F,7,0-0,0-0,1-2,1,3,"
4","
0",4,0,0,0,"
1","
-9"
路易斯-金,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德里克-罗斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乔丹-博恩,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
布雷克-格里芬,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卢克-肯纳德,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约翰-亨森,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
布鲁斯-布朗,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
