热火
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
邓肯-罗宾逊,G,35,3-13,3-13,3-3,0,4,"
4","
2",2,2,1,0,"
12","
+2"
肯德里克-纳恩,G,31,9-15,6-10,0-0,1,1,"
2","
3",2,0,2,0,"
24","
+8"
小德里克-琼斯,F,30,10-13,3-5,0-0,1,1,"
2","
1",1,1,0,2,"
23","
-4"
所罗门-希尔,F,23,0-3,0-1,0-0,1,1,"
2","
1",1,0,1,2,"
0","
0"
巴姆-阿德巴约,C,34,10-15,0-0,1-2,3,4,"
7","
10",3,0,3,0,"
21","
-10"
杰-克劳德,F,31,3-8,2-7,0-0,2,8,"
10","
5",3,2,0,0,"
8","
-20"
戈兰-德拉季奇,G,26,1-9,0-4,1-1,1,4,"
5","
5",2,1,5,0,"
3","
-13"
安德烈-伊格达拉,F-G,17,1-1,1-1,0-0,0,3,"
3","
5",2,1,1,1,"
3","
-11"
泰勒-希罗,G,7,1-3,0-1,0-0,0,1,"
1","
0",1,1,0,0,"
2","
-13"
凯利-奥利尼克,F-C,5,1-4,0-2,0-0,0,0,"
0","
0",0,0,1,0,"
2","
+6"
KZ-奥克帕拉,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迈耶斯-伦纳德,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
盖布-文森特,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
克里斯-席尔瓦,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯尔-亚历山大,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
犹多尼斯-哈斯勒姆,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
吉米-巴特勒,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
黄蜂
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
德文特-格雷厄姆,G,37,11-19,8-11,0-0,0,1,"
1","
6",0,1,5,0,"
30","
+3
"
科迪-马丁,G,32,3-5,0-1,0-0,2,6,"
8","
2",2,1,2,1,"
6","
+8
"
PJ-华盛顿,F,36,7-17,3-10,0-2,4,3,"
7","
2",2,1,1,1,"
17","
+2
"
迈尔斯-布里奇斯,F,35,5-16,1-4,5-6,2,6,"
8","
2",1,0,1,1,"
16","
+10
"
科迪-泽勒,C,22,5-8,1-1,3-4,6,5,"
11","
3",1,0,1,1,"
14","
+8
"
凯莱布-马丁,F-G,35,4-12,3-6,8-8,1,6,"
7","
3",0,4,1,0,"
19","
+15"
杰伦-麦克丹尼尔斯,F-C,29,1-3,1-1,2-2,0,6,"
6","
2",2,0,3,0,"
5","
+17"
俾斯麦-比永博,C-F,11,1-2,0-0,0-0,0,2,"
2","
0",1,0,0,0,"
2","
-7"
乔-奇利,G,2,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
-1"
吉列尔莫-埃尔南戈麦斯,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德维恩-培根,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
雷-斯波尔丁,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马利克-蒙克,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
尼古拉斯-巴图姆,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
科比-西蒙斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
特里-罗齐尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
