马刺
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
德里克-怀特,G,34,8-15,4-9,6-6,2,6,"
8","
5",3,1,5,1,"
26","
+19"
德章泰-默里,G,21,5-11,1-2,0-0,0,4,"
4","
4",5,0,2,0,"
11","
-9"
德马尔-德罗赞,F,38,10-13,0-0,7-9,1,4,"
5","
10",4,0,4,0,"
27","
+7"
朗尼-沃克,F,32,7-12,1-2,1-1,0,3,"
3","
4",0,0,2,0,"
16","
+10"
雅各布-珀尔特尔,C,32,3-7,0-0,1-2,4,2,"
6","
3",3,2,0,2,"
7","
+7"
凯尔登-约翰逊,F-G,30,3-7,2-4,0-2,1,5,"
6","
2",1,1,0,0,"
8","
+7"
鲁迪-盖伊,F-G,26,8-15,3-5,0-0,1,7,"
8","
1",0,0,1,1,"
19","
+3"
马科-贝里内利,G,15,1-4,0-2,7-7,0,1,"
1","
1",0,1,0,0,"
9","
-2"
奎因达里-韦瑟斯庞,G,10,2-5,0-1,0-0,0,1,"
1","
2",1,1,1,0,"
4","
0"
德鲁-尤班克斯,F-C,2,1-1,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
2","
+3"
布林-福布斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
帕蒂-米尔斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奇梅齐耶-梅图,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卢卡-沙马尼奇,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
特雷-莱尔斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
泰勒-泽勒,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
国王
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
达龙-福克斯,G,38,17-33,1-7,4-5,3,0,"
3","
6",3,1,3,1,"
39","
-12
"
波格丹-波格丹诺维奇,G,32,8-15,6-11,2-2,0,2,"
2","
2",2,2,1,0,"
24","
+2
"
哈里森-巴恩斯,F,37,4-5,1-2,1-2,1,6,"
7","
1",2,2,2,0,"
10","
-16
"
内马尼亚-别利察,F,30,5-8,1-3,1-1,0,5,"
5","
1",6,2,1,1,"
12","
-4
"
里乔恩-霍姆斯,C,24,3-5,0-0,4-4,2,4,"
6","
1",6,0,2,0,"
10","
-3
"
科里-约瑟夫,G,26,2-5,1-4,0-0,0,2,"
2","
4",1,1,1,0,"
5","
+8"
肯特-贝兹莫尔,G-F,23,3-8,1-3,1-1,2,9,"
11","
5",3,2,2,0,"
8","
-3"
巴迪-希尔德,G,20,2-13,1-8,1-3,0,4,"
4","
1",2,1,3,0,"
6","
-13"
达匡-杰弗里斯,G-F,7,1-1,0-0,2-2,0,1,"
1","
0",0,0,0,0,"
4","
+6"
哈里-贾尔斯,F-C,4,1-2,0-0,0-0,0,1,"
1","
1",0,0,0,0,"
2","
-10"
科里-布鲁尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
亚历克斯-莱恩,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约吉-费雷尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾斯廷-詹姆斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯尔-盖伊,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾巴里-帕克,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马文-巴格利,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
