步行者
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
阿龙-霍勒迪,G,34,5-10,1-3,4-5,0,5,"
5","
10",2,0,1,0,"
15","
+17"
维克托-奥拉迪波,G,32,6-14,2-6,1-2,2,5,"
7","
2",1,1,3,0,"
15","
+9"
TJ-沃伦,F,41,20-29,9-12,4-4,0,4,"
4","
3",4,0,1,2,"
53","
+18"
贾斯廷-霍勒迪,F,38,2-9,1-5,1-2,0,2,"
2","
2",2,4,1,0,"
6","
+5"
迈尔斯-特纳,C,20,4-5,1-1,0-0,2,0,"
2","
0",6,0,1,2,"
9","
-13"
亚卡尔-桑普森,F,20,2-6,0-0,0-0,2,4,"
6","
2",4,1,2,0,"
4","
+20"
道格-麦克德莫特,F,18,4-7,0-2,2-2,0,1,"
1","
2",2,0,0,0,"
10","
-11"
TJ-麦康奈尔,G,17,3-6,0-1,4-4,2,1,"
3","
8",1,2,0,0,"
10","
-3"
埃德蒙-萨姆纳,G,13,0-2,0-2,1-2,0,0,"
0","
0",1,0,0,0,"
1","
-11"
TJ-利夫,F,9,2-7,0-2,0-2,2,2,"
4","
2",2,0,1,1,"
4","
-1"
戈加-比塔泽,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
布赖恩-鲍恩二世,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰里米-兰姆,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
纳兹-米特鲁-朗,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿利兹-约翰逊 ,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
多曼塔斯-萨博尼斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马尔科姆-布罗格登,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
76人
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
约什-理查德森,G,30,2-4,0-1,0-0,0,0,"
0","
1",3,2,3,0,"
4","
-9
"
谢克-米尔顿,G,19,0-1,0-1,0-0,0,1,"
1","
3",5,0,3,0,"
0","
-3
"
本-西蒙斯,F,38,8-14,0-0,3-6,4,9,"
13","
4",5,1,4,0,"
19","
-11
"
托拜厄斯-哈里斯,F,37,12-29,3-8,3-3,4,4,"
8","
0",2,1,0,1,"
30","
0
"
乔尔-恩比德,C,34,15-23,1-5,10-12,9,12,"
21","
4",3,1,4,3,"
41","
+21
"
艾尔-霍弗德,C-F,23,4-9,1-1,1-1,2,4,"
6","
2",3,0,3,1,"
10","
-26"
劳尔-内托,G,21,1-3,0-1,0-0,0,2,"
2","
3",2,1,0,0,"
2","
+14"
富尔坎-科尔克马兹,G-F,14,0-4,0-4,3-3,0,1,"
1","
2",0,0,0,0,"
3","
-8"
亚历克-伯克斯,G,12,3-4,3-3,0-0,0,2,"
2","
1",3,0,4,0,"
9","
-2"
马蒂斯-赛布尔,G-F,12,1-2,1-1,0-0,1,0,"
1","
0",4,0,0,0,"
3","
-6"
迈克-斯科特,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
诺维尔-佩莱,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马里亚尔-沙约克,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
格伦-罗宾逊三世,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯尔-奥奎因,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
