凯尔特人
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
杰伦-布朗,G,37,10-18,6-8,4-6,1,5,"
6","
1",0,2,1,0,"
30","
+3"
肯巴-沃克,G,22,5-6,2-2,2-2,0,1,"
1","
2",2,0,2,1,"
14","
+7"
杰森-塔特姆,F,40,11-22,5-8,7-9,0,4,"
4","
8",1,2,2,1,"
34","
+6"
戈登-海沃德,F,34,6-10,4-5,6-6,0,8,"
8","
3",4,1,4,0,"
22","
+9"
丹尼尔-泰斯,C,28,4-4,0-0,1-1,0,2,"
2","
3",5,1,1,1,"
9","
-10"
马库斯-斯马特,G,33,0-4,0-2,3-4,0,5,"
5","
4",4,3,2,2,"
3","
-4"
埃内斯-坎特,C,20,4-7,0-0,3-6,5,3,"
8","
2",2,0,1,1,"
11","
+16"
布拉德-沃纳梅克,G,10,0-0,0-0,0-0,0,0,"
0","
1",0,0,0,0,"
0","
-3"
谢米-奥杰莱,F,9,1-3,1-3,0-0,0,1,"
1","
0",0,0,1,0,"
3","
0"
格兰特-威廉姆斯,F,7,1-3,0-2,0-0,0,1,"
1","
0",3,0,0,0,"
2","
-4"
樊尚-普瓦里耶,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
哈维特-格林,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
罗伯特-威廉姆斯,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
特里蒙特-沃特斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
罗密欧-兰福德,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卡森-爱德华兹,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
塔科-法尔,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
开拓者
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
达米安-利拉德,G,44,8-20,5-14,9-9,0,2,"
2","
16",3,0,5,1,"
30","
+3
"
CJ-麦科勒姆,G,41,7-17,3-7,0-0,0,8,"
8","
4",5,2,1,1,"
17","
-7
"
卡梅罗-安东尼,F,34,5-14,3-6,0-0,1,2,"
3","
2",5,0,1,1,"
13","
-13
"
扎克-科林斯,F,27,3-3,0-0,0-0,1,4,"
5","
2",3,1,1,0,"
6","
+9
"
优素福-努尔基奇,C,32,12-20,1-3,5-5,3,6,"
9","
5",4,2,2,1,"
30","
-13
"
小加里-特伦特,G-F,34,7-12,7-11,0-0,1,0,"
1","
1",2,1,0,1,"
21","
+8"
哈桑-怀特塞德,C,16,2-2,0-0,1-2,1,4,"
5","
1",2,0,1,0,"
5","
+9"
马里奥-海佐尼亚,F-G,12,1-2,0-1,0-0,2,0,"
2","
0",1,2,1,0,"
2","
-16"
杰伦-霍尔德,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰伦-亚当斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
韦尼恩-加布里埃尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
摩西-布朗,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
安芬尼-西蒙斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
纳西尔-利特尔,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
