灰熊
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
贾-莫兰特,G,37,10-18,0-2,5-6,0,9,"
9","
9",2,0,3,0,"
25","
+1"
狄龙-布鲁克斯,G,36,7-20,1-7,1-1,0,2,"
2","
3",5,0,1,0,"
16","
0"
小贾伦-杰克逊,F,35,8-13,2-5,3-3,0,3,"
3","
0",3,2,3,2,"
21","
+4"
凯尔-安德森,F,25,2-7,2-4,2-2,0,2,"
2","
8",2,1,1,0,"
8","
-7"
约纳斯-瓦兰丘纳斯,C,28,6-12,0-1,1-2,3,8,"
11","
2",4,0,0,1,"
13","
-2"
格雷森-阿伦,G,28,5-9,2-6,3-3,0,3,"
3","
2",2,1,2,0,"
15","
+4"
布兰登-克拉克,F-G,25,4-9,0-3,0-1,0,3,"
3","
1",3,1,1,0,"
8","
-6"
丹东尼-梅尔顿,G,14,0-3,0-2,0-0,0,5,"
5","
0",5,0,1,0,"
0","
-8"
安东尼-托利弗,F,8,0-0,0-0,0-0,0,1,"
1","
1",0,0,0,0,"
0","
0"
约什-杰克逊,G-F,5,0-0,0-0,0-0,0,0,"
0","
1",1,0,0,0,"
0","
+4"
约翰-康查尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
Jontay Porter,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾斯蒂斯-温斯洛,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
泰厄斯-琼斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马尔科-古杜里奇,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
戈尔吉-吉昂,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
渡边雄太,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马刺
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
德章泰-默里,G,34,9-19,2-4,1-2,1,9,"
10","
3",1,2,1,0,"
21","
+6
"
德里克-怀特,G,34,4-12,3-8,5-8,1,5,"
6","
7",3,0,0,0,"
16","
-3
"
德马尔-德罗赞,F,34,5-10,0-0,4-6,0,4,"
4","
7",1,1,2,1,"
14","
-4
"
朗尼-沃克,F,25,4-12,2-5,2-2,0,1,"
1","
2",1,0,1,0,"
12","
-1
"
雅各布-珀尔特尔,C,21,3-3,0-0,0-0,3,4,"
7","
0",6,0,2,2,"
6","
+25
"
鲁迪-盖伊,F-G,29,3-15,2-6,4-4,2,5,"
7","
1",1,1,4,1,"
12","
-1"
凯尔登-约翰逊,F-G,25,4-6,1-2,0-2,2,4,"
6","
0",2,1,1,0,"
9","
-1"
德鲁-尤班克斯,F-C,23,2-4,0-0,4-5,2,3,"
5","
0",4,0,3,2,"
8","
-15"
帕蒂-米尔斯,G,13,2-5,2-4,4-4,1,1,"
2","
1",1,0,1,0,"
10","
+11"
奎因达里-韦瑟斯庞,G,3,0-0,0-0,0-0,0,1,"
1","
1",0,0,1,0,"
0","
-7"
泰勒-泽勒,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卢卡-沙马尼奇,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
特雷-莱尔斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马科-贝里内利,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
布林-福布斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奇梅齐耶-梅图,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
