开拓者
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
达米安-利拉德,G,40,6-19,3-7,6-7,0,9,"
9","
8",1,2,3,0,"
21","
+3"
CJ-麦科勒姆,G,40,8-18,2-6,2-4,1,6,"
7","
5",2,0,3,0,"
20","
0"
卡梅罗-安东尼,F,36,5-14,2-4,3-5,3,8,"
11","
1",3,2,2,1,"
15","
+3"
扎克-科林斯,F,27,4-9,0-2,0-2,3,4,"
7","
1",4,1,2,0,"
8","
+2"
优素福-努尔基奇,C,29,6-15,0-0,6-6,6,13,"
19","
3",5,1,2,3,"
18","
+7"
小加里-特伦特,G-F,35,5-11,4-9,2-2,1,1,"
2","
0",3,1,0,0,"
16","
+7"
哈桑-怀特塞德,C,17,4-5,0-0,1-3,1,6,"
7","
0",1,0,0,1,"
9","
+5"
安芬尼-西蒙斯,G,16,1-4,1-3,0-0,0,2,"
2","
0",2,0,0,0,"
3","
+13"
杰伦-霍尔德,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰伦-亚当斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
韦尼恩-加布里埃尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马里奥-海佐尼亚,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
纳西尔-利特尔,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
火箭
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
拉塞尔-威斯布鲁克,G,35,5-14,0-2,5-12,0,3,"
3","
9",5,2,1,1,"
15","
-10
"
詹姆斯-哈登,G,33,7-17,3-8,6-7,3,3,"
6","
9",5,0,4,0,"
23","
-8
"
丹纽尔-豪斯,F,35,6-14,4-10,1-1,1,3,"
4","
3",3,0,1,1,"
17","
-5
"
PJ-塔克,F,34,2-7,2-6,0-0,1,7,"
8","
0",1,1,0,0,"
6","
0
"
罗伯特-科温顿,C,36,2-11,2-11,0-0,0,8,"
8","
1",2,2,0,0,"
6","
-10
"
杰夫-格林,F,28,7-15,5-9,3-4,0,6,"
6","
1",5,0,1,0,"
22","
-8"
本-麦克勒摩,G,25,3-5,2-4,0-0,0,2,"
2","
0",3,2,1,1,"
8","
-2"
奥斯汀-里弗斯,G,15,2-4,1-3,0-0,0,2,"
2","
1",2,0,2,0,"
5","
+3"
克里斯-克莱蒙斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迈克尔-弗雷泽,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卢克-理查德-巴莫特,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
布鲁诺-卡博克洛,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德马雷-卡罗尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
泰森-钱德勒,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
埃里克-戈登,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
