雄鹿
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
乔治-希尔,G,20,3-4,1-2,0-0,0,2,"
2","
2",1,1,0,0,"
7","
+4"
埃里克-布莱索,G,18,1-5,1-3,5-6,1,1,"
2","
4",1,0,2,0,"
8","
+1"
克里斯-米德尔顿,F,16,3-8,2-7,0-0,0,4,"
4","
2",2,0,2,0,"
8","
+4"
扬尼斯-阿德托昆博,F,16,7-8,2-3,0-3,0,6,"
6","
4",1,0,3,0,"
16","
+4"
罗宾-洛佩斯,C,20,1-4,0-2,0-0,1,1,"
2","
1",6,0,4,2,"
2","
-10"
唐特-迪温琴佐,G,24,5-10,1-4,0-0,1,3,"
4","
6",0,1,0,0,"
11","
0"
艾森-伊利亚索瓦,F,23,4-6,2-3,1-2,0,10,"
10","
2",1,0,0,1,"
11","
-12"
马文-威廉姆斯,F,23,2-3,1-2,1-1,3,3,"
6","
1",2,0,2,2,"
6","
+17"
弗兰克-梅森,G,18,4-9,0-3,3-4,0,2,"
2","
4",2,0,3,0,"
11","
+5"
帕特-康诺顿,G,18,3-6,2-5,0-0,0,5,"
5","
2",1,1,1,0,"
8","
-3"
凯尔-科沃尔,G-F,16,4-6,3-5,2-2,0,2,"
2","
0",1,0,0,0,"
13","
-13"
DJ-威尔森,F,14,3-11,1-6,1-3,1,5,"
6","
0",1,0,1,0,"
8","
-5"
斯特林-布朗,G-F,14,2-8,1-6,2-2,0,3,"
3","
0",0,0,0,0,"
7","
-7"
韦斯利-马修斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
萨纳西斯-阿德托昆博,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
布鲁克-洛佩斯,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
篮网
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
泰勒-约翰逊,G,27,4-13,1-4,2-2,1,3,"
4","
2",1,1,1,0,"
11","
-6
"
加莱特-坦普尔,G,26,7-15,5-11,0-0,0,5,"
5","
4",0,0,0,2,"
19","
+5
"
蒂莫泰-卢瓦乌-卡巴罗,F,31,8-12,5-7,5-5,0,3,"
3","
1",6,0,0,0,"
26","
+8
"
罗季翁斯-库鲁茨,F,29,4-11,2-8,0-0,1,3,"
4","
2",3,2,2,0,"
10","
-1
"
兰斯-托马斯,C,15,2-7,0-3,2-2,0,2,"
2","
2",2,0,1,0,"
6","
-5
"
克里斯-奇奥萨,G,31,4-13,2-9,0-0,0,3,"
3","
10",5,0,3,0,"
10","
+17"
Donta Hall,F,21,2-4,0-0,0-2,3,6,"
9","
0",4,1,0,2,"
4","
-6"
杰雷米亚-马丁,G,20,3-10,1-4,2-4,1,2,"
3","
2",1,1,0,1,"
9","
-7"
扎南-穆萨,G-F,19,3-7,1-4,1-1,1,4,"
5","
3",2,0,0,0,"
8","
+5"
贾斯廷-安德森,G-F,16,4-7,3-5,0-0,0,4,"
4","
1",1,0,0,1,"
11","
+1"
贾马尔-克劳福德,G,6,2-4,1-2,0-0,0,0,"
0","
3",1,0,0,0,"
5","
+4"
乔-哈里斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾勒特-阿伦,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卡里斯-勒韦尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
