爵士
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
多诺万-米切尔,G,38,7-18,3-7,1-1,3,4,"
7","
6",4,0,2,0,"
18","
+22"
迈克-康利,G,34,6-13,4-9,7-7,1,4,"
5","
7",5,1,2,0,"
23","
+14"
罗伊斯-奥尼尔,F,35,4-8,3-7,4-4,0,7,"
7","
3",4,1,3,1,"
15","
+16"
乔-英格尔斯,F,34,7-13,6-11,5-5,0,4,"
4","
5",2,0,2,0,"
25","
+6"
鲁迪-戈贝尔,C,37,5-9,0-0,11-12,5,11,"
16","
1",1,2,2,3,"
21","
+21"
乔丹-克拉克森,G,23,6-14,1-4,1-2,0,4,"
4","
1",3,1,2,0,"
14","
-11"
乔治-尼昂,F,17,1-5,1-5,0-0,0,0,"
0","
0",1,0,0,0,"
3","
0"
托尼-布拉德利,C-F,11,2-2,0-0,0-0,2,1,"
3","
1",1,0,2,0,"
4","
-12"
雷琼-塔克,G-F,7,0-1,0-1,1-2,0,0,"
0","
1",2,0,1,0,"
1","
-4"
伊曼纽尔-穆迪埃,G,4,0-1,0-1,0-0,0,0,"
0","
0",0,0,1,0,"
0","
-3"
朱万-摩根,F,1,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
-4"
贾斯廷-赖特-福尔曼,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
尼格尔-威廉姆斯-戈斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾雷尔-布兰特利,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
埃德-戴维斯,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
米耶-奥尼,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
灰熊
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
贾-莫兰特,G,37,8-15,2-3,2-5,1,5,"
6","
9",4,2,4,0,"
20","
-16
"
狄龙-布鲁克斯,G,32,7-17,1-5,8-10,0,3,"
3","
1",6,1,3,0,"
23","
-3
"
凯尔-安德森,F,30,5-9,0-2,2-2,1,2,"
3","
4",5,1,0,1,"
12","
+9
"
布兰登-克拉克,F,27,3-7,0-1,0-0,1,4,"
5","
1",1,2,1,1,"
6","
-10
"
约纳斯-瓦兰丘纳斯,C,34,8-17,0-3,5-6,4,10,"
14","
3",3,0,3,0,"
21","
+10
"
格雷森-阿伦,G,27,7-10,6-8,0-0,0,2,"
2","
1",4,0,1,0,"
20","
-18"
安东尼-托利弗,F,20,2-2,2-2,0-0,1,4,"
5","
0",1,1,1,0,"
6","
-2"
丹东尼-梅尔顿,G,17,2-10,0-4,1-2,1,2,"
3","
1",2,0,1,0,"
5","
-7"
戈尔吉-吉昂,C,11,1-4,0-1,0-0,0,0,"
0","
0",2,0,0,1,"
2","
-12"
约翰-康查尔,G,5,0-0,0-0,0-0,0,0,"
0","
1",0,0,0,0,"
0","
+4"
小贾伦-杰克逊,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
Jontay Porter,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
渡边雄太,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
泰厄斯-琼斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马尔科-古杜里奇,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾斯蒂斯-温斯洛,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约什-杰克逊,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
