马刺
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
德里克-怀特,G,33,6-15,4-10,7-8,1,2,"
3","
7",4,2,1,1,"
23","
-5"
德章泰-默里,G,26,2-8,0-2,0-0,0,1,"
1","
3",1,3,0,0,"
4","
-19"
德马尔-德罗赞,F,32,5-11,0-2,8-9,1,4,"
5","
8",3,1,2,2,"
18","
-6"
朗尼-沃克,F,21,4-7,1-3,0-0,0,0,"
0","
0",0,0,1,0,"
9","
-16"
雅各布-珀尔特尔,C,26,1-5,0-0,0-0,3,4,"
7","
1",1,0,1,0,"
2","
-12"
鲁迪-盖伊,F-G,26,9-18,2-6,4-6,0,4,"
4","
4",5,1,0,2,"
24","
-2"
凯尔登-约翰逊,F-G,26,7-10,2-2,4-4,1,5,"
6","
2",2,1,0,0,"
20","
+8"
帕蒂-米尔斯,G,22,6-10,2-5,0-0,1,2,"
3","
3",3,0,1,0,"
14","
+13"
德鲁-尤班克斯,F-C,18,6-8,0-0,0-0,3,2,"
5","
1",1,1,1,0,"
12","
+6"
奎因达里-韦瑟斯庞,G,9,0-1,0-0,0-0,0,1,"
1","
0",0,1,0,0,"
0","
+3"
布林-福布斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奇梅齐耶-梅图,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卢卡-沙马尼奇,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
特雷-莱尔斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马科-贝里内利,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
泰勒-泽勒,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
掘金
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
蒙特-莫里斯,G,35,8-13,1-4,2-2,0,2,"
2","
4",1,1,0,0,"
19","
-1
"
托里-克雷格,G,30,3-8,0-4,2-2,1,3,"
4","
0",3,0,1,2,"
8","
-3
"
小迈克尔-波特,F,36,11-19,5-9,3-4,4,11,"
15","
0",4,0,2,1,"
30","
+13
"
保罗-米尔萨普,F,17,2-6,1-2,2-2,2,5,"
7","
1",4,1,1,1,"
7","
-2
"
尼古拉-约基奇,C,32,10-17,3-5,2-2,3,1,"
4","
11",4,1,5,0,"
25","
+8
"
杰拉米-格兰特,F,35,8-14,2-6,4-5,1,1,"
2","
1",3,1,1,1,"
22","
+1"
PJ-多齐尔,G-F,26,4-8,1-3,3-4,2,3,"
5","
8",1,1,4,0,"
12","
0"
梅森-普拉姆利,F-C,15,2-2,0-0,0-0,1,5,"
6","
6",0,0,0,0,"
4","
+4"
特洛伊-丹尼尔斯,G,14,2-4,1-3,0-0,0,1,"
1","
0",1,1,0,0,"
5","
+10"
凯塔-贝茨-迪奥普,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
弗拉特科-钱查尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
威尔-巴顿,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
诺阿-冯莱,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
加里-哈里斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾马尔-默里,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
波尔-波尔,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
泰勒-库克,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
