马刺
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
德里克-怀特,G,33,8-15,4-9,4-5,0,6,"
6","
4",3,1,1,1,"
24","
+15"
德章泰-默里,G,32,4-10,0-1,3-4,0,6,"
6","
6",1,0,2,0,"
11","
+11"
朗尼-沃克,F,30,6-15,1-3,1-3,0,4,"
4","
2",1,1,0,0,"
14","
+9"
德马尔-德罗赞,F,30,4-10,0-0,5-6,1,1,"
2","
5",3,2,5,0,"
13","
+5"
雅各布-珀尔特尔,C,31,9-12,0-0,1-2,4,6,"
10","
2",4,0,1,3,"
19","
+17"
凯尔登-约翰逊,F-G,24,1-2,0-1,2-2,0,5,"
5","
1",2,3,2,1,"
4","
+5"
鲁迪-盖伊,F-G,21,5-9,2-3,2-2,1,6,"
7","
3",1,3,1,0,"
14","
-2"
马科-贝里内利,G,18,2-6,2-4,2-2,1,1,"
2","
1",0,0,0,0,"
8","
-7"
德鲁-尤班克斯,F-C,13,4-5,0-0,0-0,1,4,"
5","
1",2,0,0,0,"
8","
-8"
奎因达里-韦瑟斯庞,G,8,2-5,0-1,0-0,0,0,"
0","
2",1,0,1,0,"
4","
-5"
布林-福布斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
帕蒂-米尔斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奇梅齐耶-梅图,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卢卡-沙马尼奇,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
特雷-莱尔斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
泰勒-泽勒,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
爵士
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
伊曼纽尔-穆迪埃,G,28,4-13,0-1,6-8,0,1,"
1","
5",2,1,1,0,"
14","
-14
"
乔-英格尔斯,G,17,4-8,4-6,0-0,0,3,"
3","
3",2,0,0,0,"
12","
-7
"
米耶-奥尼,F,30,4-9,2-4,4-5,3,4,"
7","
0",2,1,1,0,"
14","
-11
"
乔治-尼昂,F,28,3-11,1-5,0-0,0,8,"
8","
2",1,2,2,0,"
7","
-2
"
埃德-戴维斯,C,12,0-2,0-0,0-0,0,2,"
2","
2",2,0,0,0,"
0","
-13
"
朱万-摩根,F,25,1-2,1-1,1-2,2,3,"
5","
3",3,0,2,0,"
4","
-1"
乔丹-克拉克森,G,24,8-18,4-9,4-4,1,1,"
2","
4",2,0,3,0,"
24","
+4"
贾雷尔-布兰特利,F,24,3-8,2-4,0-0,1,5,"
6","
3",2,2,2,1,"
8","
-5"
托尼-布拉德利,C-F,22,7-9,1-1,0-1,2,9,"
11","
2",1,1,0,3,"
15","
+10"
雷琼-塔克,G-F,19,1-3,1-3,2-2,1,1,"
2","
0",1,0,2,0,"
5","
-3"
贾斯廷-赖特-福尔曼,G,11,3-8,0-3,2-2,0,2,"
2","
1",1,1,2,0,"
8","
+2"
迈克-康利,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
鲁迪-戈贝尔,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
罗伊斯-奥尼尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
尼格尔-威廉姆斯-戈斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
多诺万-米切尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
