步行者
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
马尔科姆-布罗格登,G,39,8-13,4-6,4-4,1,4,"
5","
6",1,1,5,0,"
24","
-16"
维克托-奥拉迪波,G,35,9-17,2-4,2-2,0,7,"
7","
5",3,1,6,0,"
22","
+18"
TJ-沃伦,F,37,15-22,5-8,4-4,0,5,"
5","
1",0,0,3,0,"
39","
+22"
阿龙-霍勒迪,F,35,3-3,1-1,0-0,0,6,"
6","
7",3,3,2,1,"
7","
+21"
迈尔斯-特纳,C,25,2-8,0-4,3-4,1,2,"
3","
1",5,1,1,1,"
7","
+2"
TJ-麦康奈尔,G,18,0-3,0-0,0-0,1,4,"
5","
4",0,4,2,0,"
0","
+4"
贾斯廷-霍勒迪,F-G,15,1-5,1-5,0-0,1,1,"
2","
0",1,1,0,1,"
3","
-14"
道格-麦克德莫特,F,13,1-5,1-3,0-0,0,0,"
0","
0",3,0,0,0,"
3","
-13"
戈加-比塔泽,C-F,12,3-4,1-2,0-0,1,1,"
2","
0",3,1,0,1,"
7","
0"
亚卡尔-桑普森,F,10,2-4,0-0,0-0,2,5,"
7","
1",2,0,1,0,"
4","
+1"
多曼塔斯-萨博尼斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
埃德蒙-萨姆纳,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
布赖恩-鲍恩二世,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
TJ-利夫,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰里米-兰姆,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿利兹-约翰逊 ,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
纳兹-米特鲁-朗,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
湖人
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
肯塔维厄斯-考德威尔-波普,G,32,3-7,2-4,0-0,0,2,"
2","
1",1,0,1,0,"
8","
-19
"
亚历克斯-卡鲁索,G,27,2-8,1-4,0-0,0,1,"
1","
5",2,3,2,0,"
5","
-11
"
安东尼-戴维斯,F,35,3-14,0-4,2-2,3,5,"
8","
4",1,2,4,2,"
8","
-20
"
勒布朗-詹姆斯,F,35,13-24,2-6,3-6,1,7,"
8","
7",4,0,1,1,"
31","
+13
"
贾维尔-麦基,C,13,2-3,0-0,1-1,2,2,"
4","
0",0,2,1,0,"
5","
-5
"
凯尔-库兹马,F,25,3-14,1-5,4-5,3,2,"
5","
1",2,3,2,1,"
11","
-10"
奎因-库克,G,24,8-14,5-9,0-0,1,0,"
1","
0",2,0,2,0,"
21","
-9"
德怀特-霍华德,C,20,3-5,0-0,4-5,3,9,"
12","
0",3,1,0,1,"
10","
+13"
塔伦-霍顿-塔克,G,16,4-7,2-4,0-0,1,0,"
1","
0",0,0,1,1,"
10","
+8"
贾里德-杜德利,F,13,1-4,0-3,0-0,1,1,"
2","
2",1,2,1,0,"
2","
+15"
JR-史密斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
丹尼-格林,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
拉简-隆多,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马基夫-莫里斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迪昂-韦特斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德文泰-卡考克,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
科斯塔斯-阿德托昆博,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
