国王
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
达龙-福克斯,G,36,9-17,1-6,7-9,0,2,"
2","
9",1,2,2,0,"
26","
-13"
科里-约瑟夫,G,28,1-4,0-2,2-2,1,3,"
4","
2",2,2,4,0,"
4","
-21"
波格丹-波格丹诺维奇,F,36,5-12,2-8,1-2,0,5,"
5","
8",3,1,4,1,"
13","
-11"
哈里森-巴恩斯,F,26,5-11,0-2,1-1,1,9,"
10","
0",1,0,2,0,"
11","
-21"
亚历克斯-莱恩,C,15,2-3,0-0,0-0,1,2,"
3","
0",2,0,0,1,"
4","
-13"
达匡-杰弗里斯,G-F,30,5-8,1-3,2-2,0,2,"
2","
2",3,1,0,0,"
13","
-4"
巴迪-希尔德,G,25,6-11,4-9,0-0,0,3,"
3","
2",2,0,3,0,"
16","
-5"
哈里-贾尔斯,F-C,15,1-4,0-0,0-0,1,2,"
3","
3",3,0,1,0,"
2","
-8"
贾巴里-帕克,F,12,4-9,0-0,4-4,1,3,"
4","
0",2,2,0,0,"
12","
+5"
内马尼亚-别利察,F,5,1-3,1-3,0-0,0,2,"
2","
1",1,0,0,0,"
3","
0"
贾斯廷-詹姆斯,G-F,5,0-2,0-2,0-0,0,0,"
0","
1",1,0,0,0,"
0","
+2"
科里-布鲁尔,F,5,0-0,0-0,0-0,0,3,"
3","
0",0,1,1,0,"
0","
+2"
约吉-费雷尔,G,4,2-3,1-2,3-3,0,0,"
0","
1",1,0,0,0,"
8","
+2"
马文-巴格利,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯尔-盖伊,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
肯特-贝兹莫尔,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
里乔恩-霍姆斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
火箭
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
詹姆斯-哈登,G,33,10-21,3-12,9-9,0,8,"
8","
7",1,3,4,1,"
32","
+24
"
本-麦克勒摩,G,28,7-16,6-14,0-0,1,2,"
3","
1",2,0,1,0,"
20","
0
"
PJ-塔克,F,33,0-5,0-4,1-2,1,6,"
7","
1",1,1,0,1,"
1","
+15
"
丹纽尔-豪斯,F,31,1-7,0-5,0-0,0,5,"
5","
2",2,0,2,0,"
2","
+19
"
罗伯特-科温顿,C,33,5-10,1-5,1-3,4,9,"
13","
2",3,3,1,0,"
12","
+23
"
奥斯汀-里弗斯,G,33,14-20,6-11,7-8,1,5,"
6","
4",3,2,3,0,"
41","
+11"
杰夫-格林,F,22,4-7,1-4,3-4,0,1,"
1","
3",1,0,3,1,"
12","
-2"
迈克尔-弗雷泽,G,18,1-3,1-2,2-2,0,2,"
2","
1",3,0,0,0,"
5","
-1"
卢克-理查德-巴莫特,F,5,1-2,0-0,0-0,1,0,"
1","
0",0,0,0,0,"
2","
-2"
克里斯-克莱蒙斯,G,2,0-0,0-0,0-0,0,2,"
2","
0",0,0,1,0,"
0","
-1"
布鲁诺-卡博克洛,F,2,0-0,0-0,2-2,0,0,"
0","
0",2,0,0,0,"
2","
-1"
拉塞尔-威斯布鲁克,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德马雷-卡罗尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
泰森-钱德勒,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
埃里克-戈登,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
