猛龙
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
凯尔-洛瑞,G,37,4-12,2-9,5-6,0,7,"
7","
8",3,4,9,0,"
15","
+6"
弗雷德-范弗利特,G,35,4-7,1-3,5-6,0,3,"
3","
5",4,4,3,2,"
14","
+8"
帕斯卡尔-西亚卡姆,F,36,9-16,4-9,4-6,0,1,"
1","
3",3,1,4,1,"
26","
+7"
OG-阿奴诺比,F,28,2-8,2-5,0-0,1,4,"
5","
0",2,3,1,1,"
6","
+10"
马克-加索尔,C,22,3-4,1-2,3-4,0,6,"
6","
1",2,1,1,1,"
10","
+14"
诺曼-鲍威尔,G,30,4-8,1-3,7-7,0,2,"
2","
4",3,0,3,0,"
16","
+4"
赛尔吉-伊巴卡,F-C,25,5-9,2-3,0-2,4,8,"
12","
3",4,3,2,2,"
12","
-5"
马特-托马斯,G,10,2-3,2-3,0-0,0,1,"
1","
0",1,1,1,0,"
6","
+4"
特伦斯-戴维斯,G,6,1-3,0-2,0-0,0,1,"
1","
1",1,0,0,0,"
2","
+1"
克里斯-布歇,F-C,6,0-0,0-0,1-2,0,0,"
0","
0",0,0,1,0,"
1","
-1"
朗戴-霍利斯-杰弗森,F,5,0-1,0-0,0-0,0,2,"
2","
0",0,0,0,0,"
0","
-3"
德万-埃尔南德斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
保罗-沃特森,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马尔科姆-米勒,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
斯坦利-约翰逊,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奥谢-布里塞特,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
帕特里克-麦考,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
灰熊
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
贾-莫兰特,G,41,7-19,2-4,1-1,0,4,"
4","
10",4,0,4,1,"
17","
-5
"
狄龙-布鲁克斯,G,35,11-26,3-10,0-0,1,5,"
6","
2",3,3,3,0,"
25","
-13
"
安东尼-托利弗,F,30,1-6,1-5,2-2,0,2,"
2","
2",3,2,1,0,"
5","
-7
"
凯尔-安德森,F,12,1-2,0-0,1-1,1,2,"
3","
2",5,1,2,0,"
3","
0
"
约纳斯-瓦兰丘纳斯,C,27,0-2,0-1,0-2,2,8,"
10","
1",1,1,4,1,"
0","
-8
"
格雷森-阿伦,G,34,6-14,4-10,4-4,1,3,"
4","
1",5,0,2,0,"
20","
-13"
布兰登-克拉克,F-G,26,6-10,2-4,2-4,4,5,"
9","
2",5,1,2,0,"
16","
+2"
丹东尼-梅尔顿,G,23,3-8,1-5,1-2,1,1,"
2","
3",0,6,2,0,"
8","
+4"
戈尔吉-吉昂,C,13,2-4,1-3,0-0,0,2,"
2","
1",1,0,2,1,"
5","
-5"
马尔科-古杜里奇,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
泰厄斯-琼斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
渡边雄太,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约翰-康查尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
小贾伦-杰克逊,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
Jontay Porter,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾斯蒂斯-温斯洛,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约什-杰克逊,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
