鹈鹕
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
朱-霍勒迪,G,35,2-12,0-5,3-3,0,3,"
3","
7",4,0,5,1,"
7","
+13"
朗佐-鲍尔,G,31,2-10,0-4,1-1,2,3,"
5","
10",3,0,3,2,"
5","
-5"
布兰登-英格拉姆,F,33,6-14,2-4,3-4,1,5,"
6","
5",4,1,2,0,"
17","
+1"
蔡恩-威廉森,F,27,10-20,0-0,5-6,5,2,"
7","
1",3,0,1,0,"
25","
-21"
德里克-费沃斯,C,24,5-8,0-0,0-0,5,7,"
12","
1",0,0,0,1,"
10","
+7"
JJ-雷迪克,G,32,10-16,8-12,3-4,0,5,"
5","
3",1,1,2,0,"
31","
-6"
约什-哈特,G-F,16,0-1,0-1,0-2,2,3,"
5","
1",3,0,0,0,"
0","
-24"
贾克森-海斯,C-F,10,2-2,0-0,2-2,0,3,"
3","
0",3,1,0,0,"
6","
+6"
尼科洛-梅利,F,10,1-3,0-1,0-0,0,1,"
1","
1",1,0,0,1,"
2","
-18"
弗兰克-杰克逊,G,9,2-5,1-1,0-0,1,0,"
1","
1",2,0,2,0,"
5","
-2"
尼基尔-亚历山大-沃克,G,8,1-2,1-2,0-0,0,0,"
0","
0",1,1,4,0,"
3","
+3"
伊托万-摩尔,G,4,1-3,0-0,0-0,0,0,"
0","
0",1,1,0,0,"
2","
+1"
贾利尔-奥卡福,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
肯里奇-威廉姆斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
辛达里厄斯-桑韦尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
泽尔-奇特汉,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马刺
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
德章泰-默里,G,33,5-14,3-5,5-6,0,5,"
5","
2",2,2,2,1,"
18","
+1
"
德里克-怀特,G,21,6-11,2-6,2-2,0,3,"
3","
3",1,0,1,1,"
16","
+12
"
德马尔-德罗赞,F,33,10-16,0-0,7-7,1,3,"
4","
2",3,1,3,0,"
27","
+6
"
朗尼-沃克,F,30,3-13,1-5,0-0,2,4,"
6","
6",3,0,1,1,"
7","
+16
"
雅各布-珀尔特尔,C,22,2-4,0-0,0-0,5,9,"
14","
1",5,2,3,0,"
4","
+4
"
鲁迪-盖伊,F-G,29,5-11,2-5,7-7,1,4,"
5","
3",3,3,2,1,"
19","
+17"
凯尔登-约翰逊,F-G,26,2-3,1-1,4-4,0,1,"
1","
0",5,2,2,0,"
9","
-4"
德鲁-尤班克斯,F-C,24,4-6,0-0,0-0,6,5,"
11","
3",4,2,1,2,"
8","
+2"
马科-贝里内利,G,21,3-11,2-6,6-6,0,2,"
2","
2",1,0,2,0,"
14","
-4"
奎因达里-韦瑟斯庞,G,2,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
-5"
布林-福布斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
帕蒂-米尔斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奇梅齐耶-梅图,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卢卡-沙马尼奇,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
特雷-莱尔斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
泰勒-泽勒,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
