热火
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
邓肯-罗宾逊,G,32,5-11,4-10,0-0,0,5,"
5","
0",3,0,1,0,"
14","
+24"
戈兰-德拉季奇,G,30,5-16,1-6,0-1,1,5,"
6","
9",5,1,2,0,"
11","
+22"
吉米-巴特勒,F,29,5-13,0-2,9-11,3,8,"
11","
5",2,4,2,1,"
19","
+17"
杰-克劳德,F,29,5-8,4-6,0-0,2,6,"
8","
4",0,2,3,1,"
14","
+16"
巴姆-阿德巴约,C,22,4-10,0-0,2-4,2,7,"
9","
4",0,0,2,3,"
10","
+16"
凯利-奥利尼克,F-C,29,3-11,0-5,2-3,1,6,"
7","
3",4,1,0,0,"
8","
0"
泰勒-希罗,G,25,7-11,3-6,0-0,1,4,"
5","
2",4,0,1,1,"
17","
+8"
小德里克-琼斯,F-G,21,9-11,0-0,0-0,3,2,"
5","
0",1,1,0,1,"
18","
+2"
安德烈-伊格达拉,F-G,19,0-4,0-3,0-0,0,2,"
2","
2",1,1,2,2,"
0","
+4"
盖布-文森特,G,4,1-3,1-2,0-0,0,1,"
1","
0",0,1,0,0,"
3","
+1"
所罗门-希尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
肯德里克-纳恩,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
克里斯-席尔瓦,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯尔-亚历山大,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
KZ-奥克帕拉,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迈耶斯-伦纳德,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
犹多尼斯-哈斯勒姆,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
步行者
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
马尔科姆-布罗格登,G,29,4-12,0-3,4-5,2,6,"
8","
6",2,0,2,0,"
12","
-12
"
维克托-奥拉迪波,G,28,4-9,3-5,3-3,0,5,"
5","
1",0,1,4,0,"
14","
-18
"
阿龙-霍勒迪,F,30,3-8,1-1,1-2,0,1,"
1","
1",3,1,2,1,"
8","
-17
"
TJ-沃伦,F,29,5-14,2-6,0-0,1,4,"
5","
0",4,0,1,0,"
12","
-11
"
迈尔斯-特纳,C,24,3-7,1-4,2-4,0,7,"
7","
2",4,0,3,2,"
9","
-15
"
道格-麦克德莫特,F,22,4-11,1-5,0-0,1,4,"
5","
1",0,0,0,0,"
9","
-11"
亚卡尔-桑普森,F,18,1-2,0-0,2-2,0,3,"
3","
1",3,0,1,1,"
4","
-2"
贾斯廷-霍勒迪,F-G,18,2-8,1-7,2-2,0,2,"
2","
0",2,1,0,0,"
7","
-5"
埃德蒙-萨姆纳,G,16,2-4,0-2,1-5,0,2,"
2","
5",0,0,0,0,"
5","
-9"
TJ-麦康奈尔,G,13,3-4,0-0,1-2,0,2,"
2","
2",1,2,3,0,"
7","
-3"
阿利兹-约翰逊 ,F,6,1-3,1-2,0-0,2,2,"
4","
1",0,0,1,0,"
3","
-2"
戈加-比塔泽,C-F,5,1-2,0-0,0-0,0,1,"
1","
0",0,0,0,0,"
2","
-5"
多曼塔斯-萨博尼斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰里米-兰姆,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
TJ-利夫,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
布赖恩-鲍恩二世,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
纳兹-米特鲁-朗,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
