雄鹿
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
埃里克-布莱索,G,30,4-11,1-3,2-7,0,7,"
7","
8",2,0,2,1,"
11","
-6"
韦斯利-马修斯,G,2,0-1,0-1,0-0,0,0,"
0","
0",0,0,0,0,"
0","
-2"
克里斯-米德尔顿,F,25,6-12,0-2,5-5,0,4,"
4","
3",4,0,4,0,"
17","
-11"
帕特-康诺顿,F,21,4-8,2-6,2-2,2,3,"
5","
2",3,1,1,0,"
12","
-18"
布鲁克-洛佩斯,C,25,4-11,1-5,3-3,0,1,"
1","
1",1,0,1,1,"
12","
-4"
唐特-迪温琴佐,G,28,2-9,0-3,2-2,4,5,"
9","
1",2,1,5,1,"
6","
+10"
凯尔-科沃尔,G-F,23,5-6,5-6,4-4,0,4,"
4","
2",2,1,3,0,"
19","
+5"
马文-威廉姆斯,F,20,1-2,1-2,0-0,0,5,"
5","
2",2,0,1,1,"
3","
+1"
乔治-希尔,G,19,5-11,4-8,0-0,2,0,"
2","
3",1,0,1,0,"
14","
0"
艾森-伊利亚索瓦,F,18,2-7,0-3,5-6,1,6,"
7","
0",2,0,0,1,"
9","
-11"
罗宾-洛佩斯,C,16,0-2,0-0,1-4,2,2,"
4","
1",1,0,1,1,"
1","
-11"
DJ-威尔森,F,8,0-3,0-3,2-2,0,1,"
1","
2",1,0,0,0,"
2","
+3"
斯特林-布朗,G-F,4,0-1,0-1,0-0,0,0,"
0","
0",0,1,0,0,"
0","
+4"
弗兰克-梅森,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
扬尼斯-阿德托昆博,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
萨纳西斯-阿德托昆博,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卡姆-雷诺兹,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
猛龙
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
诺曼-鲍威尔,G,27,7-13,4-5,3-5,0,8,"
8","
1",2,2,0,3,"
21","
+8
"
特伦斯-戴维斯,G,16,5-8,0-1,0-0,2,1,"
3","
0",6,1,0,0,"
10","
-8
"
帕斯卡尔-西亚卡姆,F,28,5-16,1-7,3-4,1,6,"
7","
2",2,2,0,0,"
14","
+8
"
OG-阿奴诺比,F,25,2-6,0-2,3-4,2,2,"
4","
5",4,1,2,0,"
7","
+5
"
马克-加索尔,C,20,0-5,0-4,0-0,0,5,"
5","
8",4,0,3,1,"
0","
-4
"
马特-托马斯,G,37,9-17,4-8,0-0,0,4,"
4","
1",1,0,0,0,"
22","
+13"
克里斯-布歇,F-C,29,9-15,3-7,4-5,5,6,"
11","
2",3,2,0,2,"
25","
+12"
朗戴-霍利斯-杰弗森,F,26,4-9,0-4,3-4,2,3,"
5","
5",3,1,6,0,"
11","
+8"
保罗-沃特森,G-F,21,1-4,0-2,2-2,2,2,"
4","
0",1,1,1,0,"
4","
0"
斯坦利-约翰逊,F-G,10,0-4,0-0,0-2,2,2,"
4","
0",1,1,1,0,"
0","
-2"
德万-埃尔南德斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯尔-洛瑞,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马尔科姆-米勒,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
弗雷德-范弗利特,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
奥谢-布里塞特,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
赛尔吉-伊巴卡,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
帕特里克-麦考,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
