奇才
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
杰罗姆-罗宾逊,G,33,4-11,2-6,5-7,0,4,"
4","
7",1,0,1,0,"
15","
0"
特洛伊-布朗,G,30,3-15,1-4,2-2,1,5,"
6","
3",2,0,1,0,"
9","
-17"
伊萨克-邦加,F,30,5-6,0-1,0-0,1,2,"
3","
2",3,1,3,1,"
10","
-15"
八村垒,F,29,6-18,3-9,5-6,2,3,"
5","
1",4,0,2,0,"
20","
-14"
托马斯-布莱恩特,C,26,5-9,2-3,1-1,3,5,"
8","
1",1,0,1,1,"
13","
-14"
伊斯梅尔-史密斯,G,26,8-15,1-2,2-2,0,3,"
3","
5",3,0,2,0,"
19","
-7"
安热伊斯-帕塞奇尼克斯,C,21,4-9,0-1,2-4,3,3,"
6","
1",4,1,1,0,"
10","
+2"
莫里茨-瓦格纳,F-C,20,1-3,0-2,4-4,0,3,"
3","
2",1,0,0,0,"
6","
-6"
阿德米拉尔-斯科菲尔德,F-G,14,2-5,2-5,1-2,0,3,"
3","
0",3,0,0,1,"
7","
-3"
杰里安-格兰特,G,4,0-3,0-1,0-0,0,1,"
1","
0",0,0,0,0,"
0","
+3"
乔纳森-威廉姆斯,C,3,0-0,0-0,1-2,1,1,"
2","
0",1,0,0,0,"
1","
+3"
贾罗德-尤托夫,F,3,1-1,1-1,0-0,0,0,"
0","
0",0,0,0,0,"
3","
+3"
加里森-马修斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
沙巴兹-内皮尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
伊安-马辛米,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
雄鹿
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
帕特-康诺顿,G,24,3-7,2-4,2-2,1,7,"
8","
3",0,1,0,0,"
10","
+14
"
乔治-希尔,G,23,2-8,1-4,0-0,0,2,"
2","
6",2,1,1,0,"
5","
+17
"
凯尔-科沃尔,F,25,1-6,1-5,0-0,1,6,"
7","
2",2,0,0,0,"
3","
+13
"
扬尼斯-阿德托昆博,F,10,1-3,0-0,10-12,2,7,"
9","
1",2,1,3,0,"
12","
+12
"
布鲁克-洛佩斯,C,23,9-11,5-5,1-1,1,2,"
3","
0",2,0,2,0,"
24","
+14
"
斯特林-布朗,G-F,30,9-16,5-8,0-0,1,1,"
2","
2",5,1,3,0,"
23","
-6"
DJ-威尔森,F,23,4-6,1-3,2-4,0,5,"
5","
0",4,0,2,0,"
11","
-3"
艾森-伊利亚索瓦,F,22,1-6,1-5,0-0,1,3,"
4","
0",2,0,0,0,"
3","
+6"
弗兰克-梅森,G,22,7-10,1-2,4-7,0,5,"
5","
6",3,2,1,0,"
19","
0"
罗宾-洛佩斯,C,21,3-6,1-1,1-2,1,3,"
4","
1",3,0,2,0,"
8","
+2"
萨纳西斯-阿德托昆博,F,18,4-8,0-1,0-0,1,3,"
4","
4",1,0,0,0,"
8","
-4"
韦斯利-马修斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
埃里克-布莱索,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
克里斯-米德尔顿,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
唐特-迪温琴佐,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马文-威廉姆斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
