76人
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
约什-理查德森,G,24,3-8,1-3,3-3,1,4,"
5","
0",3,2,4,1,"
10","
+8"
谢克-米尔顿,G,22,2-9,2-6,2-2,1,3,"
4","
5",3,0,1,0,"
8","
-1"
托拜厄斯-哈里斯,F,25,8-13,1-4,5-8,1,5,"
6","
5",1,0,0,2,"
22","
+10"
艾尔-霍弗德,F,18,3-6,2-5,1-2,1,3,"
4","
5",2,0,1,1,"
9","
+4"
乔尔-恩比德,C,14,1-4,0-0,3-4,1,8,"
9","
0",2,1,5,1,"
5","
+6"
马蒂斯-赛布尔,G-F,30,4-7,2-4,0-0,0,3,"
3","
1",2,2,1,0,"
10","
-13"
富尔坎-科尔克马兹,G-F,29,5-10,5-9,6-6,1,4,"
5","
4",1,2,2,0,"
21","
-5"
劳尔-内托,G,27,6-15,2-6,3-3,0,1,"
1","
5",1,1,1,1,"
17","
-4"
迈克-斯科特,F,22,4-5,2-3,2-3,2,3,"
5","
2",5,0,0,0,"
12","
-11"
诺维尔-佩莱,C,20,2-4,0-0,0-0,1,2,"
3","
0",6,1,1,3,"
4","
-7"
马里亚尔-沙约克,G-F,10,1-3,0-0,1-2,0,2,"
2","
0",3,0,1,1,"
3","
-7"
格伦-罗宾逊三世,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
亚历克-伯克斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
本-西蒙斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯尔-奥奎因,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
猛龙
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
弗雷德-范弗利特,G,26,3-11,1-3,3-3,0,2,"
2","
6",1,0,0,0,"
10","
-11
"
凯尔-洛瑞,G,25,6-11,1-4,6-9,0,1,"
1","
3",4,2,0,0,"
19","
-4
"
帕斯卡尔-西亚卡姆,F,29,5-14,2-6,3-7,4,5,"
9","
4",2,0,1,1,"
15","
-4
"
诺曼-鲍威尔,F,26,5-10,3-6,4-5,1,2,"
3","
1",2,0,2,0,"
17","
+2
"
马克-加索尔,C,19,4-8,2-4,1-1,0,5,"
5","
1",1,2,2,1,"
11","
-1
"
朗戴-霍利斯-杰弗森,F,25,2-3,1-2,3-4,0,6,"
6","
4",4,1,0,0,"
8","
+5"
马特-托马斯,G,23,2-7,2-5,0-0,1,2,"
3","
0",0,0,1,0,"
6","
+14"
克里斯-布歇,F-C,22,7-12,4-6,1-2,4,5,"
9","
0",1,0,1,4,"
19","
-8"
特伦斯-戴维斯,G,16,1-6,1-5,2-2,0,3,"
3","
2",6,2,2,0,"
5","
0"
马尔科姆-米勒,F-G,11,0-0,0-0,0-0,0,1,"
1","
0",2,0,1,0,"
0","
+6"
斯坦利-约翰逊,F-G,9,2-4,0-1,1-2,1,3,"
4","
4",0,0,0,1,"
5","
+9"
保罗-沃特森,G-F,5,1-1,0-0,2-2,0,1,"
1","
1",0,1,1,0,"
4","
+2"
德万-埃尔南德斯,F-C,4,2-3,1-1,1-3,0,0,"
0","
2",0,0,1,0,"
6","
+10"
奥谢-布里塞特,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
OG-阿奴诺比,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
赛尔吉-伊巴卡,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
帕特里克-麦考,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
