篮网
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
加莱特-坦普尔,G,37,4-10,3-7,4-4,1,9,"
10","
4",2,0,0,0,"
15","
+12"
卡里斯-勒韦尔,G,33,16-29,1-5,4-4,1,5,"
6","
9",1,2,6,1,"
37","
+4"
乔-哈里斯,F,34,9-14,1-4,0-0,1,2,"
3","
4",5,0,3,0,"
19","
-20"
罗季翁斯-库鲁茨,F,23,3-5,1-2,1-2,1,4,"
5","
2",4,0,1,1,"
8","
+4"
贾勒特-阿伦,C,37,5-8,0-0,4-9,6,5,"
11","
4",1,0,1,3,"
14","
+16"
蒂莫泰-卢瓦乌-卡巴罗,G-F,32,7-13,5-9,0-0,2,6,"
8","
1",5,0,2,0,"
19","
+6"
泰勒-约翰逊,G,24,7-13,2-4,0-0,0,1,"
1","
2",2,1,0,0,"
16","
+4"
杰雷米亚-马丁,G,9,1-2,0-0,0-0,0,0,"
0","
2",1,2,0,0,"
2","
-14"
贾斯廷-安德森,G-F,6,1-2,1-2,0-0,0,1,"
1","
0",2,0,1,0,"
3","
-6"
兰斯-托马斯,F,4,0-0,0-0,0-0,0,1,"
1","
0",0,0,0,0,"
0","
-11"
贾马尔-克劳福德,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
Donta Hall,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
扎南-穆萨,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
克里斯-奇奥萨,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
开拓者
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
CJ-麦科勒姆,G,44,9-21,0-6,7-8,1,3,"
4","
7",3,3,2,1,"
25","
+7
"
达米安-利拉德,G,44,13-22,8-14,8-9,0,3,"
3","
12",1,2,1,0,"
42","
-1
"
卡梅罗-安东尼,F,37,4-12,1-4,0-0,3,4,"
7","
1",5,1,2,0,"
9","
+13
"
扎克-科林斯,F,17,1-7,0-2,0-0,3,3,"
6","
0",0,0,0,0,"
2","
-4
"
优素福-努尔基奇,C,33,11-17,0-0,0-1,2,8,"
10","
3",5,1,1,0,"
22","
+10
"
小加里-特伦特,G-F,37,6-13,4-10,0-0,0,1,"
1","
1",5,2,1,1,"
16","
-6"
哈桑-怀特塞德,C,15,5-6,0-0,6-6,5,4,"
9","
1",2,1,1,2,"
16","
-9"
马里奥-海佐尼亚,F-G,11,1-5,0-2,0-0,0,1,"
1","
0",0,0,1,0,"
2","
-6"
安芬尼-西蒙斯,G,2,0-1,0-1,0-0,0,1,"
1","
0",0,0,0,0,"
0","
+1"
杰伦-霍尔德,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰伦-亚当斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
韦尼恩-加布里埃尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
纳西尔-利特尔,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
