快船
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
罗德尼-麦格鲁德,G,51,2-11,1-5,4-6,3,8,"
11","
2",0,2,2,0,"
9","
0"
雷吉-杰克逊,G,16,2-8,1-4,2-2,0,2,"
2","
3",3,0,3,0,"
7","
+8"
阿米尔-科菲,F,50,7-17,2-8,5-8,0,2,"
2","
4",6,4,2,1,"
21","
+11"
杰迈克尔-格林,F,27,5-11,3-6,0-0,0,8,"
8","
0",3,1,3,0,"
13","
-2"
伊维察-祖巴茨,C,11,2-3,0-0,2-2,1,3,"
4","
0",1,0,1,1,"
6","
+8"
特伦斯-曼,G-F,42,8-12,1-3,8-13,4,10,"
14","
9",5,2,3,0,"
25","
-7"
帕特里克-帕特森,F,39,4-16,4-11,5-6,3,11,"
14","
0",3,0,2,0,"
17","
-6"
乔金-诺阿,C,29,4-7,0-0,1-2,1,5,"
6","
5",1,1,4,0,"
9","
+8"
路易斯-威廉姆斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
科怀-伦纳德,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
帕特里克-贝弗利,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
蒙特雷兹-哈勒尔,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马库斯-莫里斯,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
兰德里-沙梅特,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
保罗-乔治,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
雷霆
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
丹尼斯-施罗德,G,25,6-12,3-3,2-2,0,1,"
1","
4",4,1,2,0,"
17","
-10
"
谢伊-吉尔杰斯-亚历山大,G,14,6-10,0-1,1-1,0,4,"
4","
0",0,1,3,0,"
13","
+12
"
特伦斯-弗格森,F,17,0-2,0-2,0-0,0,1,"
1","
0",4,0,0,0,"
0","
-13
"
达尼罗-加里纳利,F,9,0-3,0-1,3-3,0,1,"
1","
0",2,0,0,0,"
3","
0
"
史蒂文-亚当斯,C,6,0-2,0-0,0-0,2,2,"
4","
0",0,0,1,0,"
0","
+2
"
哈米杜-迪亚洛,G-F,40,10-22,4-8,3-5,4,7,"
11","
1",5,0,2,1,"
27","
-4"
达里厄斯-贝兹利,F-G,31,3-12,2-5,1-3,1,7,"
8","
1",0,0,1,2,"
9","
+7"
德翁特-伯顿,G-F,30,3-11,0-4,0-0,1,5,"
6","
5",2,0,4,0,"
6","
0"
安德烈-罗伯森,G-F,28,1-9,0-6,1-2,1,4,"
5","
2",4,0,0,1,"
3","
+6"
德文-霍尔,G,24,4-12,3-6,1-4,1,0,"
1","
4",2,3,1,0,"
12","
-1"
纳伦斯-诺埃尔,C-F,15,2-2,0-0,1-2,0,1,"
1","
0",3,0,2,1,"
5","
-1"
迈克-穆斯卡拉,F-C,14,1-3,1-3,0-0,0,1,"
1","
0",1,0,0,1,"
3","
-8"
凯文-赫维,F,11,2-6,1-5,0-0,1,3,"
4","
1",2,0,0,0,"
5","
-10"
克里斯-保罗,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
吕冈茨-多尔特,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿卜杜勒-纳迪尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
