步行者
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
埃德蒙-萨姆纳,G,31,3-7,0-3,1-1,0,2,"
2","
6",4,0,2,0,"
7","
+15"
马尔科姆-布罗格登,G,25,6-14,4-7,0-0,2,4,"
6","
6",3,0,3,0,"
16","
+5"
阿利兹-约翰逊 ,F,38,3-8,2-5,3-4,7,10,"
17","
4",3,0,3,1,"
11","
+10"
贾斯廷-霍勒迪,F,24,3-5,3-5,2-2,0,7,"
7","
0",3,1,2,0,"
11","
+7"
亚卡尔-桑普森,C,23,5-9,0-0,0-0,1,3,"
4","
2",1,2,2,0,"
10","
+5"
道格-麦克德莫特,F,22,8-16,5-11,2-3,1,3,"
4","
0",2,1,0,0,"
23","
+10"
TJ-麦康奈尔,G,21,4-8,0-0,0-0,0,3,"
3","
8",2,1,2,0,"
8","
+12"
TJ-利夫,F,18,3-9,0-2,0-1,0,3,"
3","
1",2,2,0,0,"
6","
+10"
阿龙-霍勒迪,G,17,5-7,1-3,0-0,0,2,"
2","
2",2,3,2,0,"
11","
+2"
戈加-比塔泽,C-F,16,2-5,0-2,0-0,1,2,"
3","
2",3,1,2,2,"
4","
+9"
布赖恩-鲍恩二世,F-G,2,1-1,0-0,0-0,0,0,"
0","
0",1,0,0,0,"
2","
0"
纳兹-米特鲁-朗,G,2,0-0,0-0,0-0,0,0,"
0","
1",1,0,1,0,"
0","
0"
迈尔斯-特纳,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
TJ-沃伦,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰里米-兰姆,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
多曼塔斯-萨博尼斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
维克托-奥拉迪波,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
热火
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
肯德里克-纳恩,G,33,8-27,1-9,6-6,1,1,"
2","
4",1,3,5,1,"
23","
-21
"
泰勒-希罗,G,28,6-16,3-8,1-1,1,0,"
1","
3",2,0,3,0,"
16","
-10
"
犹多尼斯-哈斯勒姆,F,24,3-5,1-1,0-0,1,7,"
8","
0",3,0,1,0,"
7","
-5
"
邓肯-罗宾逊,F,13,0-3,0-3,0-0,0,2,"
2","
1",1,0,2,0,"
0","
-5
"
凯利-奥利尼克,C,20,2-9,2-8,0-0,0,6,"
6","
0",0,0,0,1,"
6","
-9
"
所罗门-希尔,F,41,5-13,1-4,10-12,2,5,"
7","
3",2,1,3,0,"
21","
-8"
迈耶斯-伦纳德,F-C,29,3-7,2-5,1-2,2,5,"
7","
0",0,0,3,0,"
9","
-10"
克里斯-席尔瓦,F,24,2-4,0-0,1-4,4,7,"
11","
1",3,0,1,3,"
5","
-12"
小德里克-琼斯,F-G,16,1-2,0-0,1-2,2,0,"
2","
2",2,2,0,0,"
3","
-2"
凯尔-亚历山大,F,12,1-1,0-0,0-0,1,1,"
2","
0",1,0,1,0,"
2","
-3"
吉米-巴特勒,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰-克劳德,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
安德烈-伊格达拉,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
KZ-奥克帕拉,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
盖布-文森特,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
巴姆-阿德巴约,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
戈兰-德拉季奇,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
