火箭
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
詹姆斯-哈登,G,26,9-16,4-9,5-5,0,3,"
3","
10",1,1,7,2,"
27","
-11"
埃里克-戈登,G,23,4-10,3-6,2-2,0,2,"
2","
2",1,0,1,1,"
13","
-12"
PJ-塔克,F,29,3-6,1-4,0-0,0,1,"
1","
2",2,0,0,1,"
7","
-12"
杰夫-格林,F,25,8-10,0-2,1-1,0,0,"
0","
4",4,1,0,1,"
17","
-7"
罗伯特-科温顿,C,24,1-4,1-4,2-2,0,5,"
5","
1",1,2,1,2,"
5","
-3"
德马雷-卡罗尔,F,25,2-5,1-3,0-0,0,4,"
4","
1",2,1,1,0,"
5","
-29"
布鲁诺-卡博克洛,F,17,4-9,1-4,2-2,1,5,"
6","
0",2,2,4,1,"
11","
-23"
克里斯-克莱蒙斯,G,17,2-7,0-5,0-0,0,1,"
1","
4",4,1,1,1,"
4","
-23"
迈克尔-弗雷泽,G,17,0-4,0-4,0-0,0,1,"
1","
0",1,0,1,0,"
0","
-23"
卢克-理查德-巴莫特,F,14,1-3,0-2,1-2,0,1,"
1","
0",0,0,0,0,"
3","
-14"
奥斯汀-里弗斯,G,12,0-2,0-2,1-2,0,1,"
1","
0",0,1,1,0,"
1","
-16"
本-麦克勒摩,G,11,1-4,1-3,0-0,0,2,"
2","
1",0,1,0,0,"
3","
-17"
泰森-钱德勒,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
丹纽尔-豪斯,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
拉塞尔-威斯布鲁克,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
76人
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
约什-理查德森,G,23,2-4,1-2,0-0,0,1,"
1","
1",2,0,0,0,"
5","
0
"
谢克-米尔顿,G,19,4-7,3-6,0-0,0,2,"
2","
1",3,0,2,0,"
11","
-5
"
托拜厄斯-哈里斯,F,24,6-10,2-3,4-4,0,7,"
7","
4",0,1,0,0,"
18","
+2
"
艾尔-霍弗德,F,22,4-7,2-3,0-0,0,3,"
3","
4",3,0,3,0,"
10","
0
"
乔尔-恩比德,C,23,6-12,0-0,2-3,2,4,"
6","
1",5,1,5,1,"
14","
+9
"
亚历克-伯克斯,G,22,6-11,4-6,0-0,2,3,"
5","
5",0,2,0,0,"
16","
+37"
迈克-斯科特,F,20,3-4,1-2,3-4,1,6,"
7","
3",0,0,0,0,"
10","
+37"
劳尔-内托,G,19,4-8,1-3,5-7,0,3,"
3","
5",0,0,0,0,"
14","
+20"
马蒂斯-赛布尔,G-F,18,3-4,1-2,0-0,1,1,"
2","
1",1,4,1,2,"
7","
+36"
富尔坎-科尔克马兹,G-F,17,4-7,2-5,2-2,0,5,"
5","
1",1,0,2,0,"
12","
+27"
凯尔-奥奎因,C-F,17,3-5,0-2,0-0,1,5,"
6","
5",1,0,1,1,"
6","
+23"
诺维尔-佩莱,C,9,3-4,0-1,0-0,0,2,"
2","
0",2,0,1,0,"
6","
0"
马里亚尔-沙约克,G-F,8,1-4,1-3,2-2,1,1,"
2","
0",1,0,1,0,"
5","
+4"
格伦-罗宾逊三世,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
本-西蒙斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
