开拓者
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
达米安-利拉德,G,45,6-15,5-14,14-14,0,2,"
2","
10",2,1,1,0,"
31","
+17"
CJ-麦科勒姆,G,44,11-19,3-7,4-4,0,3,"
3","
1",1,2,2,1,"
29","
-2"
卡梅罗-安东尼,F,38,5-15,1-6,10-10,0,3,"
3","
1",2,0,2,1,"
21","
-4"
扎克-科林斯,F,7,1-2,1-2,0-0,0,1,"
1","
0",1,0,0,0,"
3","
+8"
优素福-努尔基奇,C,41,8-14,2-3,4-9,6,15,"
21","
6",5,2,5,2,"
22","
+18"
小加里-特伦特,G-F,35,3-6,1-3,1-2,1,2,"
3","
1",1,5,2,2,"
8","
+1"
哈桑-怀特塞德,C,14,2-6,0-0,0-0,1,3,"
4","
0",4,1,0,0,"
4","
-13"
韦尼恩-加布里埃尔,F,9,1-3,1-1,0-0,1,0,"
1","
1",2,0,0,0,"
3","
+2"
马里奥-海佐尼亚,F-G,7,1-4,1-4,2-2,0,1,"
1","
0",1,1,1,1,"
5","
-7"
杰伦-霍尔德,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
杰伦-亚当斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
安芬尼-西蒙斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
纳西尔-利特尔,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
灰熊
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
贾-莫兰特,G,42,13-28,3-6,6-8,1,3,"
4","
8",1,0,8,0,"
35","
-15
"
狄龙-布鲁克斯,G,38,7-18,4-5,2-3,1,1,"
2","
2",3,1,0,0,"
20","
-11
"
凯尔-安德森,F,27,4-6,1-1,1-1,1,5,"
6","
9",3,2,6,1,"
10","
+10
"
安东尼-托利弗,F,23,2-4,1-2,2-2,1,2,"
3","
0",6,0,0,1,"
7","
+21
"
约纳斯-瓦兰丘纳斯,C,34,8-16,0-4,6-6,4,13,"
17","
6",3,0,1,0,"
22","
+12
"
布兰登-克拉克,F-G,25,8-11,4-5,0-0,2,2,"
4","
3",2,0,1,2,"
20","
-27"
格雷森-阿伦,G,23,1-3,0-1,1-2,1,4,"
5","
1",2,0,2,0,"
3","
-5"
丹东尼-梅尔顿,G,14,1-4,1-1,0-0,0,4,"
4","
1",2,2,0,0,"
3","
+9"
戈尔吉-吉昂,C,14,1-2,0-0,0-0,1,3,"
4","
0",3,0,0,2,"
2","
-14"
马尔科-古杜里奇,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
泰厄斯-琼斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
渡边雄太,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约翰-康查尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
小贾伦-杰克逊,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
Jontay Porter,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
贾斯蒂斯-温斯洛,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
约什-杰克逊,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
