火箭
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
詹姆斯-哈登,G,34,12-22,6-13,7-8,2,9,"
11","
3",4,0,3,0,"
37","
+10"
埃里克-戈登,G,30,7-17,2-6,5-5,0,3,"
3","
4",3,0,2,0,"
21","
-5"
PJ-塔克,F,34,4-9,3-8,0-0,2,2,"
4","
4",4,0,0,0,"
11","
+13"
丹纽尔-豪斯,F,29,4-8,1-4,0-0,0,1,"
1","
5",4,0,0,0,"
9","
+5"
罗伯特-科温顿,C,31,1-6,1-5,0-0,0,5,"
5","
3",5,1,1,1,"
3","
-8"
杰夫-格林,F,32,8-12,3-7,3-4,0,6,"
6","
4",3,1,1,0,"
22","
+28"
本-麦克勒摩,G,24,5-8,4-7,0-0,0,1,"
1","
0",1,1,0,0,"
14","
+27"
奥斯汀-里弗斯,G,19,1-5,0-2,2-2,0,4,"
4","
2",1,0,0,0,"
4","
+11"
迈克尔-弗雷泽,G,2,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
-2"
布鲁诺-卡博克洛,F,2,1-1,0-0,0-0,0,1,"
1","
0",0,1,0,0,"
2","
-2"
德马雷-卡罗尔,F,2,0-1,0-0,0-0,0,0,"
0","
0",1,0,0,0,"
0","
-2"
拉塞尔-威斯布鲁克,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卢克-理查德-巴莫特,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
泰森-钱德勒,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
克里斯-克莱蒙斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
雷霆
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
克里斯-保罗,G,37,7-14,3-8,3-4,0,10,"
10","
9",4,2,4,0,"
20","
-7
"
谢伊-吉尔杰斯-亚历山大,G,35,2-8,1-3,4-4,0,4,"
4","
1",2,0,1,1,"
9","
-3
"
达尼罗-加里纳利,F,33,9-17,2-5,9-9,1,2,"
3","
3",2,0,1,1,"
29","
-11
"
特伦斯-弗格森,F,15,2-3,2-3,0-0,0,1,"
1","
1",1,0,0,0,"
6","
-8
"
史蒂文-亚当斯,C,28,7-13,0-1,3-6,4,8,"
12","
2",2,0,1,0,"
17","
-3
"
丹尼斯-施罗德,G,32,3-12,0-5,0-0,0,0,"
0","
4",2,0,2,0,"
6","
-19"
达里厄斯-贝兹利,F-G,17,3-5,3-4,0-0,0,9,"
9","
1",1,0,2,0,"
9","
-4"
哈米杜-迪亚洛,G-F,15,2-6,1-4,2-2,1,2,"
3","
1",0,0,1,0,"
7","
-6"
迈克-穆斯卡拉,F-C,13,1-1,1-1,0-0,0,2,"
2","
0",1,0,0,0,"
3","
-1"
纳伦斯-诺埃尔,C-F,8,1-3,0-0,0-0,1,0,"
1","
0",4,0,0,1,"
2","
-11"
安德烈-罗伯森,G-F,3,0-1,0-1,0-0,0,0,"
0","
0",1,0,0,0,"
0","
-6"
德翁特-伯顿,G-F,2,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
+2"
阿卜杜勒-纳迪尔,F,2,0-1,0-0,0-0,0,1,"
1","
0",0,0,0,0,"
0","
+2"
凯文-赫维,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
吕冈茨-多尔特,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德文-霍尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
