凯尔特人
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
马库斯-斯马特,G,30,3-11,1-7,3-3,1,3,"
4","
2",3,1,2,1,"
10","
+3"
肯巴-沃克,G,26,8-16,1-6,5-5,1,3,"
4","
2",1,1,0,0,"
22","
+3"
杰森-塔特姆,F,31,12-20,8-12,1-2,1,4,"
5","
5",2,0,0,0,"
33","
+29"
杰伦-布朗,F,28,6-13,2-7,6-6,2,3,"
5","
1",2,0,0,1,"
20","
+10"
丹尼尔-泰斯,C,12,1-5,0-2,0-0,1,2,"
3","
1",3,1,0,0,"
2","
+1"
布拉德-沃纳梅克,G,23,3-3,1-1,0-0,0,2,"
2","
4",3,0,3,3,"
7","
+28"
罗密欧-兰福德,G-F,23,2-4,1-1,1-2,0,1,"
1","
0",2,1,0,0,"
6","
+26"
埃内斯-坎特,C,22,4-7,1-1,1-5,4,5,"
9","
1",3,0,0,0,"
10","
+24"
格兰特-威廉姆斯,F,21,2-2,2-2,3-4,0,6,"
6","
2",4,0,0,1,"
9","
+13"
谢米-奥杰莱,F,9,1-1,1-1,0-0,0,1,"
1","
0",2,0,0,0,"
3","
-8"
罗伯特-威廉姆斯,C-F,7,0-1,0-1,0-0,0,1,"
1","
2",2,0,1,0,"
0","
+4"
贾文特-格林,G-F,6,1-2,1-2,0-0,0,1,"
1","
0",1,0,0,0,"
3","
+1"
塔科-法尔,C,3,1-1,0-0,1-2,0,1,"
1","
0",0,0,0,0,"
3","
+1"
特里蒙特-沃特斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
樊尚-普瓦里耶,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卡森-爱德华兹,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
戈登-海沃德,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
76人
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
谢克-米尔顿,G,29,5-8,2-5,2-3,0,3,"
3","
4",3,0,1,0,"
14","
-3
"
约什-理查德森,G,29,6-12,2-3,4-4,1,2,"
3","
3",3,0,1,0,"
18","
-6
"
托拜厄斯-哈里斯,F,35,4-15,0-2,5-8,4,7,"
11","
2",3,0,0,0,"
13","
-21
"
马蒂斯-赛布尔,F,25,1-2,0-1,0-0,0,2,"
2","
1",3,0,1,0,"
2","
-30
"
乔尔-恩比德,C,34,11-21,0-2,12-13,0,10,"
10","
3",3,0,2,1,"
34","
-21
"
艾尔-霍福德,C-F,23,2-3,0-0,0-0,0,2,"
2","
0",1,0,0,1,"
4","
-11"
富尔坎-科尔克马兹,G-F,16,0-3,0-3,3-5,0,1,"
1","
2",0,1,1,0,"
3","
-7"
亚历克-伯克斯,G,16,1-8,0-2,0-0,2,1,"
3","
2",1,0,1,0,"
2","
-13"
劳尔-内托,G,15,2-5,1-2,0-0,0,2,"
2","
3",0,0,0,0,"
5","
-17"
诺维尔-佩莱,C,7,0-0,0-0,0-0,0,0,"
0","
0",0,1,0,1,"
0","
-4"
迈克-斯科特,F,6,1-3,0-1,4-4,0,1,"
1","
0",1,0,0,0,"
6","
-1"
凯尔-奥奎因,C-F,6,0-0,0-0,0-0,0,1,"
1","
1",3,0,2,0,"
0","
-1"
格伦-罗宾逊三世,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
本-西蒙斯,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
马里亚尔-沙约克,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
