湖人
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
丹尼-格林,G,22,1-6,1-4,0-0,0,2,"
2","
1",3,4,1,0,"
3","
+21"
肯塔维厄斯-考德威尔-波普,G,22,5-8,4-6,2-2,0,2,"
2","
0",0,0,0,0,"
16","
+24"
安东尼-戴维斯,F,29,13-21,3-4,2-2,3,8,"
11","
3",1,1,2,1,"
31","
+32"
勒布朗-詹姆斯,F,27,4-11,0-3,2-2,0,6,"
6","
7",1,2,6,0,"
10","
+23"
贾维尔-麦基,C,13,5-6,0-0,0-0,5,3,"
8","
3",2,0,0,0,"
10","
+15"
JR-史密斯,G-F,22,4-12,3-9,0-0,0,0,"
0","
2",3,0,4,0,"
11","
-7"
凯尔-库兹马,F,21,2-6,1-2,2-2,0,3,"
3","
1",1,0,0,0,"
7","
+16"
德怀特-霍华德,C,19,4-5,0-0,1-2,1,4,"
5","
0",5,0,0,1,"
9","
-7"
马基夫-莫里斯,F,19,1-5,0-4,0-0,2,4,"
6","
2",2,0,0,1,"
2","
+3"
亚历克斯-卡鲁索,G,17,1-4,1-4,0-0,3,2,"
5","
3",3,1,1,0,"
3","
+11"
迪昂-韦特斯,G,15,2-3,0-0,0-0,0,0,"
0","
1",0,1,0,0,"
4","
+2"
奎因-库克,G,8,2-3,1-1,0-0,0,0,"
0","
3",0,0,0,0,"
5","
-10"
贾里德-杜德利,F,8,0-2,0-1,0-0,0,2,"
2","
0",1,0,0,0,"
0","
-8"
拉简-隆多,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
塔伦-霍顿-塔克,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德文泰-卡考克,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
科斯塔斯-阿德托昆博,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
开拓者
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
CJ-麦科勒姆,G,33,6-16,1-5,0-2,1,4,"
5","
3",1,0,1,0,"
13","
-28
"
达米安-利拉德,G,30,6-14,1-7,5-5,0,3,"
3","
1",1,1,4,0,"
18","
-29
"
卡梅罗-安东尼,F,27,1-6,0-1,0-0,0,0,"
0","
1",1,0,3,0,"
2","
-26
"
韦尼恩-加布里埃尔,F,21,3-8,1-4,0-0,4,1,"
5","
1",6,0,2,0,"
7","
-11
"
优素福-努尔基奇,C,29,4-10,1-3,0-0,1,7,"
8","
2",3,1,1,0,"
9","
-28
"
哈桑-怀特塞德,C,22,1-3,0-0,4-6,1,8,"
9","
0",0,1,2,3,"
6","
-14"
小加里-特伦特,G-F,21,3-7,2-4,0-0,1,0,"
1","
0",3,1,2,0,"
8","
-1"
马里奥-海佐尼亚,F-G,21,2-6,0-0,0-0,0,3,"
3","
1",1,1,1,0,"
4","
+2"
安芬尼-西蒙斯,G,15,3-7,2-3,3-3,0,1,"
1","
2",0,1,1,0,"
11","
+6"
杰伦-霍尔德,F,12,3-4,0-0,0-0,2,2,"
4","
1",1,0,0,0,"
6","
+7"
杰伦-亚当斯,G,10,2-4,0-2,0-0,0,2,"
2","
2",0,0,0,0,"
4","
+7"
纳西尔-利特尔,F-G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
扎克-科林斯,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
