雄鹿
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
埃里克-布莱索,G,26,6-12,0-3,1-1,2,0,"
2","
7",3,1,4,1,"
13","
+3"
韦斯利-马修斯,G,22,2-5,2-5,1-2,0,0,"
0","
1",3,0,0,0,"
7","
+2"
扬尼斯-阿德托昆博,F,32,10-23,1-5,7-8,5,15,"
20","
5",4,0,7,0,"
28","
+7"
克里斯-米德尔顿,F,31,1-8,0-4,0-0,0,5,"
5","
6",4,1,4,0,"
2","
+1"
布鲁克-洛佩斯,C,33,8-12,4-8,0-0,0,3,"
3","
0",4,1,1,1,"
20","
+12"
帕特-康诺顿,G,24,5-8,5-8,0-0,2,9,"
11","
3",1,0,1,2,"
15","
+16"
乔治-希尔,G,19,1-2,0-0,0-0,0,4,"
4","
2",3,0,1,0,"
2","
+11"
马文-威廉姆斯,F,17,1-3,0-2,0-0,0,6,"
6","
0",1,1,0,0,"
2","
+8"
凯尔-科沃尔,G-F,16,3-6,2-4,1-1,0,3,"
3","
1",0,0,0,0,"
9","
+8"
唐特-迪温琴佐,G,11,4-9,1-2,2-4,2,1,"
3","
1",1,1,2,0,"
11","
+7"
罗宾-洛佩斯,C,10,1-1,0-0,0-0,0,0,"
0","
0",2,0,0,0,"
2","
0"
DJ-威尔森,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
艾森-伊利亚索瓦,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
弗兰克-梅森,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
萨纳西斯-阿德托昆博,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
斯特林-布朗,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
魔术
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
埃文-富尼耶,G,35,4-13,1-6,3-4,0,3,"
3","
2",0,3,1,0,"
12","
-7
"
马克尔-富尔茨,G,26,4-11,1-1,2-2,0,2,"
2","
3",5,2,1,1,"
11","
-5
"
加里-克拉克,F,30,1-5,1-5,0-0,1,6,"
7","
2",2,1,1,1,"
3","
-8
"
詹姆斯-恩尼斯,F,25,3-9,0-3,2-2,4,6,"
10","
2",4,1,1,0,"
8","
-4
"
尼古拉-武切维奇,C,35,13-23,2-8,4-4,2,8,"
10","
2",2,0,3,1,"
32","
-8
"
特伦斯-罗斯,G-F,29,4-14,2-7,2-3,0,1,"
1","
1",2,1,1,1,"
12","
-16"
DJ-奥古斯丁,G,28,0-5,0-1,10-10,0,2,"
2","
5",2,0,2,0,"
10","
-8"
肯-伯奇,C-F,18,2-3,0-0,1-2,3,1,"
4","
0",1,0,0,0,"
5","
-9"
韦斯利-艾旺杜,F,14,0-6,0-2,3-4,0,3,"
3","
1",0,1,1,1,"
3","
-10"
穆罕默德-班巴,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
维克-劳,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乔纳森-艾萨克,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
梅尔文-弗雷泽,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿龙-戈登,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迈克尔-卡特-威廉姆斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
BJ-约翰逊,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
