爵士
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
多诺万-米切尔,G,27,5-13,2-6,8-9,0,4,"
4","
1",0,1,0,1,"
20","
+19"
迈克-康利,G,25,9-13,7-8,2-2,0,0,"
0","
4",3,1,0,0,"
27","
+24"
罗伊斯-奥尼尔,F,28,1-3,1-2,0-0,2,6,"
8","
4",2,1,4,0,"
3","
+14"
乔-英格尔斯,F,22,0-2,0-1,2-2,0,2,"
2","
8",2,1,0,0,"
2","
+13"
鲁迪-戈贝尔,C,32,11-15,0-0,2-5,5,9,"
14","
0",3,1,1,0,"
24","
+21"
乔丹-克拉克森,G,24,4-12,1-6,2-2,0,3,"
3","
4",0,2,0,0,"
11","
+33"
朱万-摩根,F,22,0-1,0-1,1-2,1,3,"
4","
3",4,1,0,0,"
1","
+23"
乔治-尼昂,F,16,6-9,4-6,0-0,1,1,"
2","
0",1,0,1,0,"
16","
+26"
米耶-奥尼,G,10,2-3,1-2,0-0,2,2,"
4","
0",2,0,1,0,"
5","
-1"
伊曼纽尔-穆迪埃,G,10,3-5,1-1,0-0,0,4,"
4","
1",0,0,1,0,"
7","
-1"
雷琼-塔克,G-F,9,2-5,1-3,0-0,0,0,"
0","
0",0,0,1,0,"
5","
-2"
贾雷尔-布兰特利,F,9,0-2,0-1,1-2,1,1,"
2","
2",3,0,1,1,"
1","
-2"
托尼-布拉德利,C-F,8,0-1,0-0,2-2,1,2,"
3","
0",0,1,0,0,"
2","
+18"
贾斯廷-赖特-福尔曼,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
埃德-戴维斯,C-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
尼格尔-威廉姆斯-戈斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
掘金
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
托里-克雷格,G,27,3-5,2-3,0-0,2,2,"
4","
0",4,0,3,0,"
8","
-19
"
贾马尔-默里,G,27,5-16,2-8,0-0,1,4,"
5","
6",3,1,1,1,"
12","
-12
"
保罗-米尔萨普,F,17,3-5,2-2,0-0,1,1,"
2","
1",2,0,1,1,"
8","
-9
"
小迈克尔-波特,F,15,3-6,1-2,0-0,1,4,"
5","
0",3,0,2,0,"
7","
-20
"
尼古拉-约基奇,C,32,6-13,2-6,1-2,0,5,"
5","
6",1,0,2,1,"
15","
-21
"
杰拉米-格兰特,F,25,2-7,2-5,0-0,1,4,"
5","
1",4,0,2,2,"
6","
-21"
蒙特-莫里斯,G,24,2-7,0-3,0-0,0,0,"
0","
2",0,0,2,0,"
4","
-32"
PJ-多齐尔,G-F,21,2-9,0-4,3-3,0,6,"
6","
2",5,0,3,0,"
7","
-25"
特洛伊-丹尼尔斯,G,14,0-4,0-3,1-2,1,1,"
2","
2",0,0,0,0,"
1","
-7"
梅森-普拉姆利,F-C,13,3-4,0-0,0-0,5,1,"
6","
0",1,0,1,0,"
6","
-13"
凯塔-贝茨-迪奥普,F,12,1-4,0-0,0-0,2,1,"
3","
0",0,0,0,0,"
2","
-5"
波尔-波尔,C-F,9,3-7,1-2,4-4,2,0,"
2","
0",1,1,0,0,"
11","
+2"
诺阿-冯莱,F,3,0-1,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
-3"
威尔-巴顿,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
弗拉特科-钱查尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
加里-哈里斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
泰勒-库克,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
