魔术
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
埃文-富尼耶,G,32,4-10,2-6,3-3,1,1,"
2","
0",0,1,3,0,"
13","
-28"
马克尔-富尔茨,G,28,2-9,1-2,0-0,0,1,"
1","
5",3,1,5,0,"
5","
-19"
加里-克拉克,F,35,2-4,2-4,0-0,1,7,"
8","
3",2,2,0,0,"
6","
-15"
詹姆斯-恩尼斯,F,9,0-2,0-0,1-2,0,2,"
2","
0",2,0,0,0,"
1","
-14"
尼古拉-武切维奇,C,36,8-19,2-8,2-2,1,4,"
5","
2",3,2,3,0,"
20","
-20"
DJ-奥古斯丁,G,27,8-13,4-8,4-4,0,3,"
3","
6",1,0,3,0,"
24","
-7"
韦斯利-艾旺杜,F,24,2-7,2-3,0-0,1,1,"
2","
3",0,1,0,1,"
6","
+6"
特伦斯-罗斯,G-F,23,8-13,4-7,0-1,0,1,"
1","
0",2,1,2,0,"
20","
+3"
肯-伯奇,C-F,20,2-5,0-0,2-2,2,5,"
7","
4",2,1,1,0,"
6","
+6"
维克-劳,F,4,1-1,1-1,0-0,0,2,"
2","
1",0,0,0,0,"
3","
+9"
BJ-约翰逊,F,4,1-2,1-1,0-0,0,2,"
2","
0",0,0,0,0,"
3","
+9"
梅尔文-弗雷泽,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
阿龙-戈登,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
穆罕默德-班巴,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迈克尔-卡特-威廉姆斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
乔纳森-艾萨克,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
雄鹿
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
埃里克-布莱索,G,26,5-9,2-3,2-2,0,5,"
5","
8",2,3,4,0,"
14","
+21
"
韦斯利-马修斯,G,25,3-6,3-6,0-0,0,1,"
1","
0",2,1,1,0,"
9","
+20
"
克里斯-米德尔顿,F,31,7-17,3-7,0-1,1,7,"
8","
6",0,1,3,0,"
17","
+30
"
扬尼斯-阿德托昆博,F,31,12-14,2-3,9-12,1,10,"
11","
7",2,2,2,1,"
35","
+20
"
布鲁克-洛佩斯,C,30,7-10,2-4,0-0,1,5,"
6","
0",3,1,2,0,"
16","
+19
"
帕特-康诺顿,G,21,2-2,1-1,0-0,0,1,"
1","
2",2,0,0,0,"
5","
+5"
唐特-迪温琴佐,G,19,3-6,0-2,0-0,0,2,"
2","
1",1,1,2,1,"
6","
-16"
乔治-希尔,G,19,3-6,1-3,1-2,0,0,"
0","
3",2,1,2,0,"
8","
+2"
凯尔-科沃尔,G-F,18,3-8,3-7,0-0,0,2,"
2","
0",4,0,2,1,"
9","
-11"
罗宾-洛佩斯,C,8,1-2,0-0,0-0,0,3,"
3","
0",0,0,0,0,"
2","
-13"
马文-威廉姆斯,F,6,0-1,0-0,0-0,0,2,"
2","
0",2,0,0,1,"
0","
+11"
斯特林-布朗,G-F,4,0-1,0-1,0-0,0,1,"
1","
0",0,0,0,0,"
0","
-9"
艾森-伊利亚索瓦,F,4,0-0,0-0,0-0,0,2,"
2","
0",0,1,0,0,"
0","
-9"
萨纳西斯-阿德托昆博,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
DJ-威尔森,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
弗兰克-梅森,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
