雷霆
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
克里斯-保罗,G,37,10-19,0-5,6-6,0,6,"
6","
3",3,3,3,0,"
26","
+3"
吕冈茨-多尔特,G,35,3-10,3-9,0-2,1,4,"
5","
2",5,1,2,0,"
9","
-7"
谢伊-吉尔杰斯-亚历山大,F,44,7-17,2-5,2-2,2,10,"
12","
6",2,0,1,0,"
18","
-1"
达尼罗-加里纳利,F,29,3-10,1-3,2-2,1,2,"
3","
0",1,1,2,0,"
9","
-6"
史蒂文-亚当斯,C,26,4-5,0-0,4-6,4,4,"
8","
1",1,0,3,0,"
12","
-7"
丹尼斯-施罗德,G,31,10-16,4-7,6-7,0,1,"
1","
3",2,0,2,0,"
30","
+11"
达里厄斯-贝兹利,F-G,19,3-5,1-2,0-0,0,5,"
5","
0",0,0,1,0,"
7","
+9"
纳伦斯-诺埃尔,C-F,15,2-3,0-0,2-3,1,4,"
5","
1",2,0,0,0,"
6","
+9"
特伦斯-弗格森,G-F,3,0-1,0-1,0-0,0,1,"
1","
0",0,1,0,0,"
0","
+4"
阿卜杜勒-纳迪尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德翁特-伯顿,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迈克-穆斯卡拉,F-C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
安德烈-罗伯森,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
凯文-赫维,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
哈米杜-迪亚洛,G-F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德文-霍尔,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
火箭
球员,位置,时间,投篮,3分,罚球,前场,后场,篮板,助攻,犯规,抢断,失误,封盖,得分,+/-
詹姆斯-哈登,G,43,11-25,6-15,4-5,1,7,"
8","
15",5,4,6,0,"
32","
+2
"
埃里克-戈登,G,31,8-15,3-8,4-4,0,1,"
1","
3",2,2,1,0,"
23","
-5
"
丹纽尔-豪斯,F,39,8-15,4-10,1-1,1,5,"
6","
1",3,1,1,0,"
21","
+4
"
PJ-塔克,F,38,4-10,3-8,0-0,2,9,"
11","
1",5,0,3,0,"
11","
+2
"
罗伯特-科温顿,C,34,5-11,4-8,0-0,1,5,"
6","
1",3,0,2,2,"
14","
+1
"
杰夫-格林,F,32,4-10,2-6,0-0,1,4,"
5","
3",2,0,1,0,"
10","
-13"
奥斯汀-里弗斯,G,15,0-2,0-1,0-0,1,1,"
2","
0",1,0,0,0,"
0","
-8"
本-麦克勒摩,G,8,1-3,1-2,0-0,1,0,"
1","
1",2,0,0,0,"
3","
+2"
克里斯-克莱蒙斯,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
卢克-理查德-巴莫特,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
拉塞尔-威斯布鲁克,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
布鲁诺-卡博克洛,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
德马雷-卡罗尔,F,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
泰森-钱德勒,C,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
迈克尔-弗雷泽,G,0,0-0,0-0,0-0,0,0,"
0","
0",0,0,0,0,"
0","
0"
